sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
49,62955,29.861582,77.894617,0.152,-1.025,-0.043,-0.69
50,63470,29.861582,77.894617,0.178,-0.997,-0.017,-0.43
51,63977,29.861582,77.894614,0.16,-1,-0.034,-0.52
52,64493,29.861582,77.894614,0.168,-1.011,-0.052,-0.52
53,65001,29.86158,77.894614,0.17,-1.014,-0.036,-0.61
54,65516,29.86158,77.894614,0.16,-1.001,-0.045,-0.35
55,66023,29.861578,77.894615,0.163,-1.004,-0.046,-0.69
56,66537,29.861578,77.894615,0.178,-1.012,-0.038,-0.61
57,67045,29.861578,77.894616,0.164,-1.019,-0.039,-0.26
58,67559,29.861578,77.894616,0.162,-1.01,-0.046,-0.78
59,68069,29.861579,77.894615,0.17,-0.998,-0.044,-0.69
60,68583,29.861579,77.894615,0.161,-0.992,-0.034,-0.78
61,69094,29.86158,77.894613,0.124,-1.031,-0.041,-0.69
62,69608,29.86158,77.894613,0.144,-1.029,-0.055,-0.35
63,70116,29.861582,77.89461,0.151,-1.024,-0.028,-0.43
64,70632,29.861582,77.89461,0.14,-1.014,-0.054,-0.26
65,71139,29.861584,77.894608,0.146,-1.017,-0.058,-0.09
66,71654,29.861584,77.894608,0.115,-1.015,-0.048,-0.52
67,72161,29.861584,77.894608,0.106,-1.015,-0.066,-0.69
68,72677,29.861585,77.894606,0.104,-1.021,-0.078,-0.43
69,73183,29.861585,77.894606,0.138,-1.03,-0.132,-0.52
70,73701,29.861586,77.894607,0.126,-1.016,-0.065,-0.43
71,74205,29.861586,77.894607,0.225,-0.944,-0.02,-0.17
72,74724,29.861592,77.894611,0.235,-1.033,-0.199,-0.35
73,75227,29.861592,77.894611,0.152,-1.061,-0.028,-0.52
74,75747,29.861596,77.894614,0.273,-0.998,-0.084,-0.17
75,76250,29.861596,77.894614,0.224,-0.941,-0.086,-0.26
76,76771,29.861601,77.894615,0.303,-1.053,-0.011,-0.52
77,77273,29.861601,77.894615,0.273,-0.907,0.091,-0.52
78,77794,29.861607,77.894616,0.291,-0.906,-0.107,0.43
79,78294,29.861607,77.894616,0.289,-1.031,-0.112,0.35
80,78794,29.861608,77.89462,0.234,-0.958,-0.016,0
81,79294,29.861608,77.89462,0.053,-1.084,-0.074,0.26
82,79794,29.861614,77.894623,0.23,-1.033,-0.066,0.17
83,80294,29.861614,77.894623,0.223,-0.983,-0.069,0.35
84,80794,29.86162,77.894624,0.134,-1.005,-0.034,0.26
85,81294,29.86162,77.894624,0.115,-1.079,0.07,0.35
86,81814,29.861626,77.894626,0.203,-0.974,0.033,0.09
