sequence_no,latitude,longitude,ax,ay,az,baro_alt
1,30.37530000,69.35031206,-0.13306965,12.50200352,9.85630888,999.98153534
2,30.37541300,69.35031041,-0.24372138,6.32444878,9.90547083,1001.21605155
3,30.37552593,69.35030548,-0.28317698,0.09420579,9.74007162,1002.45728076
4,30.37563872,69.35029725,-0.23901116,0.03179491,9.83814846,1003.73749431
5,30.37575129,69.35028574,-0.32627250,-0.10371066,9.77746787,1004.97523939
6,30.37586357,69.35027096,-0.32547517,-0.05985015,9.78564373,1006.28141226
7,30.37597551,69.35025291,-0.23381299,0.01983334,9.78038030,1007.54079789
8,30.37608701,69.35023161,-0.27320966,-0.08674198,9.76680046,1008.78921237
9,30.37619802,69.35020706,-0.33366607,-0.03698138,9.81242608,1010.01116892
10,30.37630846,69.35017929,-0.28147938,-0.02821713,9.76845249,1011.25791583
11,30.37641826,69.35014831,-0.32999837,-0.12102954,9.82352284,1012.47197589
12,30.37652736,69.35011414,-0.32814028,-0.08534631,9.80748809,1013.69204068
13,30.37663568,69.35007681,-0.29058944,-0.25206840,9.79805260,1014.95214348
14,30.37674316,69.35003633,-0.39599414,-0.14880256,9.76462182,1016.14963020
15,30.37684972,69.34999274,-0.38402890,-0.11772809,9.78116143,1017.36176671
16,30.37695531,69.34994605,-0.32316217,-0.17493896,9.84776956,1018.52584022
17,30.37705985,69.34989630,-0.34276778,-0.03830827,9.83504586,1019.69151335
18,30.37716328,69.34984353,-0.27330778,-0.19873919,9.76112224,1020.88079551
19,30.37726554,69.34978775,-0.33113272,-0.15645727,9.81496662,1022.00888087
20,30.37736655,69.34972902,-0.35287760,-0.13505602,9.84756936,1023.17178687
21,30.37746626,69.34966736,-0.20533259,-0.07657794,9.72652974,1024.29791390
22,30.37756460,69.34960282,-0.28608047,-0.22738940,9.83716801,1025.38324354
23,30.37766150,69.34953543,-0.26741832,-0.10429450,9.77686881,1026.47637945
24,30.37775692,69.34946524,-0.33786416,-0.16869483,9.83852993,1027.55953911
25,30.37785079,69.34939230,-0.28950951,-0.22492883,9.77183704,1028.61822745
26,30.37794304,69.34931664,-0.25224220,-0.15928407,9.71975589,1029.61495250
27,30.37803362,69.34923832,-0.31067314,-0.17885691,9.72862288,1030.60976209
28,30.37812248,69.34915739,-0.22951381,-0.22512212,9.81240425,1031.59474418
29,30.37820956,69.34907389,-0.27334906,-0.19779933,9.82298613,1032.56313781
30,30.37829479,69.34898789,-0.25276655,-0.22660613,9.76478417,1033.52476586
31,30.37837814,69.34889943,-0.26298149,-0.20758463,9.84192962,1034.45626243
32,30.37845954,69.34880857,-0.13484944,-0.18593932,9.72692400,1035.33563521
33,30.37853895,69.34871536,-0.22256173,-0.14539201,9.80669601,1036.22687903
34,30.37861631,69.34861987,-0.26905579,-0.29208870,9.74944919,1037.09972821
35,30.37869157,69.34852216,-0.16918983,-0.12890594,9.77740819,1037.94801110
36,30.37876470,69.34842229,-0.26537326,-0.33837289,9.81236993,1038.78263044
37,30.37883563,69.34832032,-0.18777283,-0.25341658,9.76697933,1039.58771160
38,30.37890433,69.34821632,-0.28995925,-0.22131502,9.79077222,1040.36019494
39,30.37897076,69.34811034,-0.25202353,-0.24142647,9.86031464,1041.09650239
40,30.37903486,69.34800247,-0.16929241,-0.29119486,9.78115541,1041.77493525
41,30.37909661,69.34789276,-0.13562024,-0.27488556,9.85178461,1042.46866790
42,30.37915596,69.34778129,-0.15727427,-0.29338200,9.75351466,1043.13101392
43,30.37921288,69.34766812,-0.16481946,-0.30228297,9.83649021,1043.76727066
44,30.37926732,69.34755334,-0.16718615,-0.23424509,9.88207843,1044.34479210
45,30.37931925,69.34743700,-0.21905489,-0.26261009,9.68641777,1044.89807466
