sequence_no,KF_lat,KF_long
3,29.862442,77.8944626
4,29.8624401,77.8944626
5,29.8624458,77.8944702
6,29.8624477,77.8944702
7,29.8624477,77.8944778
8,29.8624458,77.8944778
9,29.8624439,77.8944778
10,29.8624439,77.8944778
11,29.8624439,77.8944855
12,29.8624439,77.8944855
13,29.8624439,77.8944855
14,29.8624458,77.8944855
15,29.8624477,77.8944855
16,29.8624477,77.8944855
17,29.8624496,77.8944855
18,29.8620167,77.8945465
19,29.8624516,77.8944855
20,29.8624687,77.8944855
21,29.8624477,77.8944931
22,29.8624496,77.8944931
23,29.8624516,77.8944931
24,29.8624535,77.8944931
25,29.8624535,77.8944931
26,29.8624535,77.8944931
27,29.8624535,77.8944931
28,29.8624516,77.8944931
29,29.8624516,77.8944931
30,29.8624516,77.8945007
31,29.8624535,77.8945007
32,29.8624554,77.8945007
33,29.8624554,77.8945007
34,29.8624554,77.8945007
35,29.8624573,77.8945007
36,29.8624592,77.8945007
37,29.8624611,77.8945007
38,29.8624611,77.8945007
39,29.8624649,77.8945007
40,29.8624649,77.8945007
41,29.8624668,77.8945007
42,29.8624668,77.8945007
43,29.8624649,77.8945084
44,29.8624668,77.8945084
45,29.8620262,77.8945618
46,29.8624725,77.8944931
47,29.8624878,77.8945084
48,29.8624783,77.8945084
49,29.8624763,77.8945084
50,29.8624763,77.894516
51,29.8624744,77.894516
52,29.8624744,77.894516
53,29.8624763,77.894516
54,29.8624763,77.894516
55,29.8624763,77.894516
56,29.8624763,77.8945236
57,29.8624763,77.8945236
58,29.8624763,77.8945236
59,29.8624744,77.8945236
60,29.8624744,77.8945236
61,29.8624744,77.8945236
62,29.8624725,77.8945236
63,29.8624744,77.8945236
64,29.8624687,77.894516
65,29.8620243,77.894516
66,29.8624687,77.8945084
67,29.8624954,77.8945236
68,29.8624744,77.8945236
69,29.8624935,77.8945236
70,29.8624496,77.8945236
71,29.8624878,77.894516
72,29.8624935,77.8945084
73,29.8625011,77.8945007
74,29.8624763,77.8944931
75,29.8624802,77.8944855
76,29.8624821,77.8944702
77,29.8624821,77.894455
78,29.8620319,77.8945313
79,29.8624802,77.8944321
80,29.8624935,77.8944473
81,29.8624878,77.894455
82,29.862545,77.8944321
83,29.8624878,77.8944244
84,29.8624821,77.8944092
85,29.8624783,77.8944016
86,29.8624802,77.8943787
87,29.8624802,77.894371
88,29.862484,77.8943558
89,29.8624859,77.8943405
90,29.8624878,77.8943253
91,29.8624897,77.89431
92,29.8624878,77.8942947
93,29.8624878,77.8942871
94,29.8624859,77.8942642
95,29.8624859,77.8942566
96,29.8624878,77.8942337
97,29.8624859,77.8942261
98,29.8624859,77.8942108
99,29.8624859,77.8941956
100,29.862484,77.8941803
101,29.8624821,77.8941727
102,29.8624802,77.8941498
103,29.8624783,77.8941422
104,29.8624744,77.8941193
105,29.8624744,77.894104
106,29.8624687,77.8940887
107,29.8624725,77.8940735
108,29.8624725,77.8940506
109,29.8624744,77.8940353
110,29.8624783,77.8940201
111,29.8624783,77.8940048
112,29.8624802,77.8939819
113,29.8624802,77.8939743
114,29.8624878,77.8939514
115,29.8624916,77.8939438
116,29.8620872,77.8939285
117,29.8625088,77.8939209
118,29.8625259,77.8939056
119,29.8625355,77.893898
120,29.8625488,77.8938904
121,29.8625565,77.8938828
122,29.8625793,77.8938675
123,29.8625946,77.8938599
124,29.8626099,77.8938522
125,29.8626156,77.8938446
126,29.8626308,77.8938446
127,29.8626385,77.893837
128,29.8626556,77.893837
129,29.8626671,77.8938293
130,29.862133,77.8938293
131,29.8626995,77.8938217
132,29.8627396,77.893837
133,29.8627453,77.8938446
134,29.8627548,77.8938446
135,29.8627605,77.8938446
136,29.8627739,77.8938446
137,29.8627834,77.8938446
138,29.8628006,77.8938446
139,29.862196,77.893837
140,29.8628368,77.8938446
141,29.862875,77.8938446
142,29.8628845,77.8938446
143,29.8628845,77.8938446
144,29.8628941,77.8938446
145,29.8629017,77.8938446
146,29.8629189,77.8938446
147,29.8629303,77.8938446
148,29.8629475,77.8938446
149,29.862957,77.8938446
150,29.8629761,77.8938446
151,29.8629856,77.8938446
152,29.8630047,77.8938446
153,29.8630142,77.8938522
154,29.8630314,77.8938522
155,29.8630409,77.8938599
156,29.86306,77.8938599
157,29.8630714,77.8938675
158,29.8630886,77.8938751
159,29.8631001,77.8938751
160,29.8631191,77.8938828
161,29.8631287,77.8938828
162,29.8631477,77.8938904
163,29.8631592,77.8938904
164,29.8631783,77.8938904
165,29.8631859,77.8938904
166,29.8632145,77.8938904
167,29.863205,77.8938904
168,29.8632355,77.8938904
169,29.8632431,77.8938904
170,29.8632679,77.8938904
171,29.8632832,77.893898
172,29.8633022,77.893898
173,29.8633118,77.893898
174,29.8633308,77.893898
175,29.8633423,77.8939056
176,29.8633614,77.8939056
177,29.8633728,77.8939056
178,29.8633938,77.8939056
179,29.8634052,77.8939133
180,29.8634262,77.8939133
181,29.8634377,77.8939209
182,29.8634586,77.8939209
183,29.8634682,77.8939285
184,29.863493,77.8939285
185,29.8635025,77.8939362
186,29.8635368,77.8939362
187,29.8635712,77.8939362
188,29.8625851,77.8942795
189,29.8635921,77.8939285
190,29.8636303,77.8939514
191,29.8636398,77.8939514
192,29.8636513,77.893959
193,29.8636608,77.893959
194,29.863678,77.8939667
195,29.8636932,77.8939667
196,29.8637085,77.8939667
197,29.8637161,77.8939667
198,29.8637447,77.8939743
199,29.8637581,77.8939743
200,29.8637791,77.8939819
201,29.8637905,77.8939819
202,29.8638153,77.8939819
203,29.8638287,77.8939819
204,29.8638535,77.8939819
205,29.8638668,77.8939819
206,29.8638897,77.8939819
207,29.8639011,77.8939819
208,29.8639202,77.8939819
209,29.8639336,77.8939896
210,29.8639603,77.8939896
211,29.863966,77.8939896
212,29.863987,77.8939819
213,29.8639984,77.8939819
214,29.8640194,77.8939819
215,29.8628159,77.8939819
216,29.8640537,77.8939743
217,29.8640919,77.8939819
218,29.8640747,77.8939819
219,29.8640766,77.8939896
220,29.8640881,77.8939896
221,29.8640957,77.8939896
222,29.8641071,77.8939896
223,29.8641148,77.8939972
224,29.8641224,77.8940048
225,29.8641281,77.8940048
226,29.8641338,77.8940201
227,29.8641396,77.8940277
228,29.8641472,77.8940353
229,29.864151,77.894043
230,29.8641529,77.8940582
231,29.8641548,77.8940659
232,29.8641586,77.8940811
233,29.8641586,77.8940887
234,29.8641605,77.8941116
235,29.8641605,77.8941193
236,29.8641586,77.8941345
237,29.8641567,77.8941498
238,29.8641548,77.894165
239,29.8641548,77.8941803
240,29.8641529,77.8941879
241,29.864151,77.8941956
242,29.8641472,77.8942032
243,29.8641453,77.8942108
244,29.8641434,77.8942184
245,29.8641434,77.8942337
246,29.8641434,77.894249
247,29.8641453,77.8942566
248,29.8641472,77.8942795
249,29.8641491,77.8942947
250,29.8641491,77.89431
251,29.8641491,77.8943253
252,29.8641491,77.8943405
253,29.8641491,77.8943481
254,29.8641453,77.8943634
255,29.8641396,77.894371
256,29.8641357,77.8943939
257,29.8641167,77.8944016
258,29.8641186,77.8944244
259,29.8640156,77.8945236
260,29.8641281,77.8944702
261,29.8641243,77.8944702
262,29.8641224,77.8944855
263,29.8641186,77.8945007
264,29.8641167,77.894516
265,29.8641148,77.8945313
266,29.8641129,77.8945465
267,29.8641109,77.8945541
268,29.8641071,77.8945694
269,29.8641033,77.894577
270,29.8641033,77.8945999
271,29.8641033,77.8946075
272,29.8641052,77.8946228
273,29.864109,77.8946381
274,29.864109,77.8946609
275,29.864109,77.8946686
276,29.864109,77.8946991
277,29.864109,77.8947144
278,29.8641109,77.8947449
279,29.8641129,77.8947601
280,29.864109,77.8947906
281,29.864109,77.8948059
282,29.8641071,77.8948364
283,29.8641052,77.8948517
284,29.8632622,77.8948746
285,29.8641014,77.8948822
286,29.8641109,77.8949051
287,29.8641052,77.8949203
288,29.8640919,77.8949356
289,29.8640862,77.8949509
290,29.8640823,77.8949738
291,29.8640823,77.894989
292,29.8640804,77.8950119
293,29.8640804,77.8950195
294,29.8640976,77.8950424
295,29.86409,77.8950577
296,29.8640881,77.8950806
297,29.8640862,77.8950882
298,29.8640862,77.8951111
299,29.8640862,77.8951263
300,29.8640919,77.8951492
301,29.8640957,77.8951645
302,29.8641033,77.8951874
303,29.864109,77.8952026
304,29.8641415,77.8952179
305,29.8641415,77.8952332
306,29.8641396,77.895256
307,29.8641338,77.8952637
308,29.8641319,77.8952866
309,29.86413,77.8952942
310,29.8641281,77.8953171
311,29.8641262,77.8953247
312,29.8641224,77.8953476
313,29.8641186,77.8953552
314,29.8642578,77.894989
315,29.8640995,77.8953629
316,29.8640938,77.895401
317,29.8640862,77.8953934
318,29.8640709,77.8953934
319,29.8640633,77.8953934
320,29.8640499,77.8953934
321,29.8640404,77.8953857
322,29.8640232,77.8953857
323,29.8640137,77.8953857
324,29.8639965,77.8953857
325,29.863987,77.8953781
326,29.8639755,77.8953705
327,29.863966,77.8953705
328,29.8639526,77.8953629
329,29.863945,77.8953629
330,29.8639355,77.8953629
331,29.8639278,77.8953629
332,29.8639145,77.8953629
333,29.8639069,77.8953629
334,29.8638916,77.8953629
335,29.8638802,77.8953552
336,29.8638592,77.8953552
337,29.8638458,77.8953552
338,29.8638306,77.8953552
339,29.8638191,77.8953552
340,29.863802,77.8953552
341,29.8637924,77.8953552
342,29.8637753,77.8953552
343,29.8637657,77.8953552
344,29.8637505,77.8953552
345,29.8637409,77.8953552
346,29.8637295,77.8953552
347,29.8637218,77.8953552
348,29.8637085,77.8953552
349,29.863699,77.8953552
350,29.8626328,77.8953552
351,29.8636742,77.8953552
352,29.8636608,77.8953323
353,29.8636646,77.8953476
354,29.8636398,77.89534
355,29.8636303,77.8953476
356,29.863615,77.8953476
357,29.8636074,77.8953552
358,29.8635941,77.8953476
359,29.8625832,77.8953476
360,29.8635674,77.8953323
361,29.8635788,77.8953094
362,29.8635597,77.8953094
363,29.8635483,77.8953171
364,29.8635311,77.8953018
365,29.8635216,77.8953094
366,29.8635044,77.8953018
367,29.8634949,77.8953094
368,29.8634777,77.8953018
369,29.8625259,77.8953018
370,29.8641605,77.8949585
371,29.8634319,77.8952942
372,29.8633862,77.8953018
373,29.8633881,77.8953094
374,29.8633842,77.8953094
375,29.8633823,77.8953094
376,29.8633728,77.8953094
377,29.8633671,77.8953094
378,29.8633518,77.8953094
379,29.8633442,77.8953018
380,29.8633289,77.8953094
381,29.8633194,77.8953094
382,29.8632984,77.8953094
383,29.863287,77.8953094
384,29.8632679,77.8953094
385,29.8632565,77.8953094
386,29.8632374,77.8953094
387,29.8632259,77.8953094
388,29.8632221,77.8953094
389,29.8632126,77.8953094
390,29.8631935,77.8953094
391,29.8631821,77.8953094
392,29.8631649,77.8953094
393,29.8623734,77.8953094
394,29.863142,77.8953094
395,29.8631229,77.8953094
396,29.8631115,77.8953094
397,29.8631039,77.8953094
398,29.8630886,77.8953094
399,29.863081,77.8953094
400,29.8630638,77.8953094
401,29.8630543,77.8953094
402,29.8630409,77.8953094
403,29.8630295,77.8953018
404,29.863018,77.8953018
405,29.8630085,77.8952942
406,29.8629932,77.8952942
407,29.8629837,77.8952866
408,29.8629627,77.8952789
409,29.8629475,77.8952789
410,29.862936,77.8952789
411,29.8629284,77.8952789
412,29.862915,77.8952789
413,29.8629074,77.8952789
414,29.862896,77.8952713
415,29.8628902,77.8952713
416,29.8628826,77.8952713
417,29.8628807,77.8952713
418,29.8628731,77.8952713
419,29.8628674,77.8952713
420,29.8628578,77.8952713
421,29.8628483,77.8952713
422,29.862833,77.8952789
423,29.8622608,77.8952789
424,29.8628006,77.8952789
425,29.8628139,77.8952866
426,29.8627796,77.8952866
427,29.8627663,77.8952866
428,29.8627472,77.8952789
429,29.8627377,77.8952789
430,29.8621483,77.8949432
431,29.8626957,77.895256
432,29.8626823,77.8952484
433,29.8621292,77.8952484
434,29.8626518,77.895256
435,29.8626423,77.8952637
436,29.8626308,77.8952637
437,29.862627,77.8952637
438,29.8626099,77.895256
439,29.8626003,77.8952637
440,29.8625908,77.8952484
441,29.862587,77.8952484
442,29.8625679,77.8952332
443,29.8625584,77.8952255
444,29.8625431,77.8952179
445,29.8625355,77.8952103
446,29.8625278,77.8951874
447,29.8625202,77.8951797
448,29.8625107,77.8951569
449,29.8625011,77.8951492
450,29.8624897,77.8951263
451,29.8624821,77.8951187
452,29.8624744,77.8951035
453,29.8624687,77.8950882
454,29.8624649,77.8950729
455,29.862463,77.8950653
456,29.8624611,77.89505
457,29.8624592,77.8950424
458,29.8624573,77.8950272
459,29.8624554,77.8950119
460,29.8624516,77.8949966
461,29.8624516,77.894989
462,29.8624516,77.8949738
463,29.8624535,77.8949585
464,29.8624516,77.8949509
465,29.8624496,77.8949432
466,29.8624554,77.894928
467,29.8624573,77.8949203
468,29.8624611,77.8949051
469,29.862463,77.8948975
470,29.8624649,77.8948822
471,29.8624668,77.8948746
472,29.8624687,77.8948593
473,29.8624687,77.8948517
474,29.8624687,77.8948364
475,29.8624687,77.8948288
476,29.8624668,77.8948135
477,29.8624668,77.8947983
478,29.8624649,77.894783
479,29.8624649,77.8947678
480,29.8624668,77.8947525
481,29.8624706,77.8947372
482,29.8624687,77.894722
483,29.8624687,77.8947144
484,29.8624706,77.8946915
485,29.8624725,77.8946838
486,29.8624725,77.8946609
487,29.8624725,77.8946533
488,29.8624725,77.8946381
489,29.8624725,77.8946228
490,29.8624706,77.8946075
491,29.8624687,77.8945923
492,29.8624706,77.894577
493,29.8624706,77.8945694
494,29.8624706,77.8945541
495,29.8624725,77.8945389
496,29.8624706,77.8945236
497,29.8624668,77.894516
498,29.8624668,77.894516
499,29.8624687,77.8945084
500,29.8624687,77.8945084
501,29.8624706,77.894516
502,29.8624725,77.894516
503,29.8624725,77.8945236
504,29.8624744,77.8945389
505,29.8624763,77.8945465
506,29.8624744,77.8945541
507,29.8624725,77.8945541
508,29.8624763,77.8945465
509,29.8624783,77.8945389
510,29.8624802,77.8945389
511,29.8624802,77.8945313
512,29.8620319,77.894577
513,29.8624802,77.8945236
514,29.8624992,77.8945084
515,29.8624897,77.8945084
516,29.862484,77.894516
517,29.8624573,77.894516
518,29.8624668,77.8945236
519,29.8624763,77.8945236
520,29.8624802,77.8945236
521,29.8624783,77.8945236
522,29.8624783,77.894516
523,29.8624763,77.8945236
524,29.8624783,77.8945236
525,29.8624802,77.8945236
526,29.8624802,77.894516
527,29.8624802,77.894516
528,29.8624802,77.894516
529,29.8624783,77.894516
530,29.8624763,77.8945236
531,29.8624744,77.8945236
532,29.8624725,77.894516
533,29.8624706,77.894516
534,29.8624706,77.894516
535,29.8624687,77.8945236
536,29.8624668,77.894516
537,29.8624668,77.894516
538,29.8624649,77.894516
539,29.8624649,77.894516
540,29.862463,77.894516
541,29.8620625,77.8945084
542,29.8624592,77.8945084
543,29.8621941,77.8945007
544,29.8624668,77.8945007
545,29.8624802,77.8945007
546,29.8624821,77.8945084
547,29.8624763,77.8945084
548,29.8624706,77.8945084
549,29.8624649,77.894516
550,29.8624611,77.894516
551,29.8624573,77.894516
552,29.8624554,77.894516
