sequence_no,KF_lat,KF_long
2,29.862442,77.8944626
3,29.8624439,77.8944626
4,29.8624477,77.8944702
5,29.8624535,77.8944702
6,29.8624611,77.8944778
7,29.8624668,77.8944855
8,29.8624706,77.8944855
9,29.8624725,77.8944931
10,29.8624744,77.8944931
11,29.8624763,77.8945007
12,29.8624744,77.8945084
13,29.8624725,77.894516
14,29.8624706,77.894516
15,29.8624706,77.8945236
16,29.8624706,77.8945236
17,29.8624706,77.8945313
18,29.8624706,77.8945313
19,29.8624687,77.8945389
20,29.8624668,77.8945465
21,29.862463,77.8945541
22,29.8624573,77.8945541
23,29.8624535,77.8945541
24,29.8624516,77.8945541
25,29.8624535,77.8945541
26,29.8624516,77.8945541
27,29.8624496,77.8945618
28,29.8624439,77.8945618
29,29.8624363,77.894577
30,29.8624229,77.8945847
31,29.8624115,77.8945923
32,29.8624039,77.8945999
33,29.862402,77.8945999
34,29.862402,77.8945999
35,29.862402,77.8945923
36,29.862402,77.8945923
37,29.8624039,77.8945847
38,29.8624096,77.894577
39,29.8624172,77.8945694
40,29.8624249,77.8945618
41,29.8624363,77.8945541
42,29.8624477,77.8945541
43,29.8624592,77.8945541
44,29.8624649,77.8945541
45,29.8624706,77.8945541
46,29.8624744,77.8945541
47,29.8624802,77.8945465
48,29.8624821,77.8945465
49,29.862484,77.8945465
50,29.862484,77.8945465
51,29.8624821,77.8945541
52,29.8624802,77.8945618
53,29.8624783,77.8945618
54,29.8624763,77.8945694
55,29.8624744,77.8945694
56,29.8624744,77.8945694
57,29.8624725,77.894577
58,29.8624725,77.894577
59,29.8624706,77.8945847
60,29.8624706,77.8945847
61,29.8624706,77.8945847
62,29.8624706,77.8945847
63,29.8624687,77.894577
64,29.8624649,77.894577
65,29.8624573,77.8945694
66,29.8624401,77.8945541
67,29.862421,77.8945389
68,29.8624039,77.8945313
69,29.8623943,77.8945236
70,29.8623829,77.894516
71,29.8623772,77.894516
72,29.8623772,77.8945007
73,29.8623905,77.8944931
74,29.8624077,77.8944855
75,29.8624229,77.8944702
76,29.8624363,77.8944626
77,29.8624516,77.8944473
78,29.8624649,77.8944321
79,29.8624763,77.8944244
80,29.862484,77.8944168
81,29.8624897,77.8944092
82,29.8624916,77.8944092
83,29.8624954,77.8944016
84,29.8624973,77.8943939
85,29.8624992,77.8943863
86,29.8624992,77.8943787
87,29.8625031,77.8943634
88,29.8625031,77.8943558
89,29.8625069,77.8943405
90,29.8625088,77.8943329
91,29.8625107,77.8943176
92,29.8625107,77.8943024
93,29.8625088,77.8942871
94,29.862505,77.8942795
95,29.8625031,77.8942566
96,29.8624992,77.894249
97,29.8624992,77.8942337
98,29.8624973,77.8942184
99,29.8624973,77.8942032
100,29.8624954,77.8941956
101,29.8624916,77.8941803
102,29.8624897,77.894165
103,29.862484,77.8941498
104,29.8624802,77.8941422
105,29.8624783,77.8941193
106,29.8624763,77.8940964
107,29.8624763,77.8940811
108,29.8624802,77.8940659
109,29.862484,77.894043
110,29.8624878,77.8940277
111,29.8624916,77.8940048
112,29.8624973,77.8939972
113,29.8625011,77.8939743
114,29.862505,77.893959
115,29.8625126,77.8939438
116,29.8625183,77.8939362
117,29.8625259,77.8939209
118,29.8625317,77.8939133
119,29.8625431,77.8939056
120,29.8625546,77.893898
121,29.8625717,77.8938828
122,29.8625832,77.8938751
123,29.8626041,77.8938675
124,29.8626194,77.8938599
125,29.8626404,77.8938446
126,29.8626518,77.8938446
127,29.8626709,77.893837
128,29.8626823,77.893837
129,29.8626995,77.8938293
130,29.862709,77.8938293
131,29.8627243,77.8938293
132,29.8627357,77.8938293
133,29.8627529,77.8938217
134,29.8627644,77.8938217
135,29.8627834,77.8938217
136,29.8627968,77.8938217
137,29.8628139,77.8938217
138,29.8628254,77.8938293
139,29.8628426,77.8938293
140,29.8628521,77.8938293
141,29.8628674,77.893837
142,29.8628788,77.893837
143,29.8628979,77.893837
144,29.8629093,77.8938446
145,29.8629284,77.8938446
146,29.8629417,77.8938446
147,29.8629627,77.8938446
148,29.862978,77.8938446
149,29.8629971,77.8938522
150,29.8630104,77.8938522
151,29.8630276,77.8938522
152,29.863039,77.8938599
153,29.8630543,77.8938599
154,29.8630638,77.8938599
155,29.8630791,77.8938675
156,29.8630886,77.8938675
157,29.8631039,77.8938751
158,29.8631153,77.8938828
159,29.8631306,77.8938904
160,29.863142,77.8938904
161,29.8631592,77.893898
162,29.8631687,77.8939056
163,29.8631859,77.8939056
164,29.8631954,77.8939133
165,29.8632145,77.8939133
166,29.8632259,77.8939133
167,29.8632431,77.8939133
168,29.8632545,77.8939133
169,29.8632755,77.8939133
170,29.8632927,77.8939133
171,29.8633156,77.8939133
172,29.8633289,77.8939133
173,29.863348,77.8939133
174,29.8633595,77.8939133
175,29.8633785,77.8939133
176,29.8633881,77.8939133
177,29.8634071,77.8939209
178,29.8634205,77.8939209
179,29.8634396,77.8939209
180,29.8634529,77.8939209
181,29.8634739,77.8939285
182,29.8634872,77.8939285
183,29.8635063,77.8939362
184,29.8635178,77.8939438
185,29.8635387,77.8939438
186,29.863554,77.8939514
187,29.8635769,77.893959
188,29.8635941,77.893959
189,29.8636169,77.893959
190,29.8636341,77.893959
191,29.8636608,77.893959
192,29.863678,77.893959
193,29.8637028,77.893959
194,29.863718,77.893959
195,29.863739,77.893959
196,29.8637505,77.893959
197,29.8637695,77.893959
198,29.863781,77.893959
199,29.8638058,77.8939667
200,29.8638191,77.8939667
201,29.8638401,77.8939743
202,29.8638496,77.8939743
203,29.8638706,77.8939819
204,29.863884,77.8939819
205,29.8639069,77.8939819
206,29.8639202,77.8939819
207,29.8639412,77.8939819
208,29.8639545,77.8939896
209,29.8639717,77.8939896
210,29.8639832,77.8939896
211,29.8640022,77.8939972
212,29.8640156,77.8939972
213,29.8640385,77.8939896
214,29.8640518,77.8939896
215,29.8640728,77.8939819
216,29.8640842,77.8939819
