sequence_no,KF_lat,KF_long
1,30.37529660,69.35032468
2,30.37540933,69.35031070
3,30.37553576,69.35029916
4,30.37564936,69.35027580
5,30.37574933,69.35027109
6,30.37586932,69.35027568
7,30.37598264,69.35028563
8,30.37608506,69.35025378
9,30.37619754,69.35019670
10,30.37630681,69.35018017
11,30.37640498,69.35015377
12,30.37653973,69.35010503
13,30.37663473,69.35008392
14,30.37675114,69.35004175
15,30.37684254,69.34999977
16,30.37695346,69.34994625
17,30.37707842,69.34989839
18,30.37715528,69.34984792
19,30.37727850,69.34977645
20,30.37736635,69.34972729
21,30.37747146,69.34965500
22,30.37755343,69.34959183
23,30.37765193,69.34954105
24,30.37775357,69.34946494
25,30.37785877,69.34937798
26,30.37794336,69.34932919
27,30.37802509,69.34924055
28,30.37813144,69.34915680
29,30.37821599,69.34907908
30,30.37831060,69.34898631
31,30.37837621,69.34891227
32,30.37847394,69.34882684
33,30.37853078,69.34871403
34,30.37862999,69.34863356
35,30.37870030,69.34852380
36,30.37875004,69.34839883
37,30.37884150,69.34833632
38,30.37890566,69.34820736
39,30.37897672,69.34811957
40,30.37903956,69.34800137
41,30.37909426,69.34790478
42,30.37916282,69.34779602
43,30.37921919,69.34765378
44,30.37926807,69.34754958
45,30.37931477,69.34743529
46,30.37936342,69.34731738
47,30.37941200,69.34719640
48,30.37946187,69.34707963
49,30.37948776,69.34696828
50,30.37955526,69.34684503
51,30.37958057,69.34670701
52,30.37961116,69.34659180
53,30.37963433,69.34646099
54,30.37967264,69.34631917
55,30.37967602,69.34618754
56,30.37970138,69.34607764
57,30.37972181,69.34593214
58,30.37975750,69.34583923
59,30.37975414,69.34568396
60,30.37977480,69.34555532
61,30.37979004,69.34543390
62,30.37979275,69.34529760
63,30.37978454,69.34516256
64,30.37979817,69.34502281
65,30.37978706,69.34491443
66,30.37979215,69.34477906
67,30.37978348,69.34464000
68,30.37978087,69.34452640
69,30.37974766,69.34438586
70,30.37974551,69.34423452
71,30.37971792,69.34413364
72,30.37970290,69.34398833
73,30.37967870,69.34387420
74,30.37965176,69.34375765
75,30.37960796,69.34361965
76,30.37956901,69.34348249
77,30.37952912,69.34336562
78,30.37951473,69.34325925
79,30.37945468,69.34312053
80,30.37941086,69.34300416
81,30.37936572,69.34288868
82,30.37932081,69.34276982
83,30.37926821,69.34263378
84,30.37921387,69.34253501
85,30.37916189,69.34241834
86,30.37908913,69.34229746
87,30.37902783,69.34221989
88,30.37896558,69.34210291
89,30.37890984,69.34198459
90,30.37885004,69.34187326
91,30.37875168,69.34178232
92,30.37867216,69.34166889
93,30.37861923,69.34158072
94,30.37853805,69.34148976
95,30.37845540,69.34138580
96,30.37837508,69.34127822
97,30.37829919,69.34121421
98,30.37820862,69.34110691
99,30.37812540,69.34103932
100,30.37803820,69.34098168
101,30.37793292,69.34086787
102,30.37786539,69.34080638
103,30.37775526,69.34073480
104,30.37765067,69.34066817
105,30.37756598,69.34061842
106,30.37746720,69.34052867
107,30.37734913,69.34048560
108,30.37724984,69.34040886
109,30.37715926,69.34034538
110,30.37706003,69.34032213
111,30.37696003,69.34025641
112,30.37684906,69.34021659
113,30.37673518,69.34017588
114,30.37664936,69.34011957
115,30.37651932,69.34008213
116,30.37641751,69.34004885
117,30.37630315,69.34001265
118,30.37618069,69.33998892
119,30.37607110,69.33994965
120,30.37597790,69.33995270
121,30.37586745,69.33993565
122,30.37576134,69.33992002
123,30.37563554,69.33990711
124,30.37550927,69.33990647
125,30.37540680,69.33987868
126,30.37529158,69.33988060
127,30.37518595,69.33989089
128,30.37508420,69.33989182
129,30.37495239,69.33990404
130,30.37484616,69.33991156
131,30.37472080,69.33992868
132,30.37462219,69.33994346
133,30.37450775,69.33996945
134,30.37439700,69.33999808
135,30.37429154,69.34002857
136,30.37418839,69.34004514
137,30.37407995,69.34009380
138,30.37397679,69.34011743
139,30.37386888,69.34015830
140,30.37374237,69.34019283
141,30.37366019,69.34025903
142,30.37353666,69.34030397
143,30.37344946,69.34035370
144,30.37334372,69.34043213
145,30.37322166,69.34046267
146,30.37313604,69.34052951
147,30.37303096,69.34059641
148,30.37293307,69.34067602
149,30.37283382,69.34074001
150,30.37274905,69.34080918
151,30.37265421,69.34087313
152,30.37257047,69.34097501
153,30.37248010,69.34104509
154,30.37239446,69.34113146
155,30.37231002,69.34119676
156,30.37223006,69.34130164
157,30.37213091,69.34138844
158,30.37205797,69.34149827
159,30.37199059,69.34158871
160,30.37190200,69.34167022
161,30.37183015,69.34177310
162,30.37175913,69.34188159
163,30.37169583,69.34199023
164,30.37163484,69.34208499
165,30.37155442,69.34218945
166,30.37150500,69.34230762
167,30.37145166,69.34243495
168,30.37139042,69.34253704
169,30.37133352,69.34264545
170,30.37127950,69.34276019
171,30.37123786,69.34289072
172,30.37118961,69.34301306
173,30.37114635,69.34311568
174,30.37111075,69.34325344
175,30.37105382,69.34336973
176,30.37103464,69.34349522
177,30.37099703,69.34360620
178,30.37095965,69.34374429
179,30.37092923,69.34386149
180,30.37092589,69.34399655
181,30.37087296,69.34412762
182,30.37086186,69.34424833
183,30.37083765,69.34438205
184,30.37084719,69.34451864
185,30.37081651,69.34463624
186,30.37080763,69.34478528
187,30.37080033,69.34489310
188,30.37079423,69.34503830
189,30.37080223,69.34516268
190,30.37080951,69.34531060
191,30.37081091,69.34541796
192,30.37082834,69.34554353
193,30.37083301,69.34568845
194,30.37085197,69.34582953
195,30.37086174,69.34595435
196,30.37089119,69.34609266
197,30.37090446,69.34620772
198,30.37094361,69.34632242
199,30.37095799,69.34645902
200,30.37098812,69.34657493
201,30.37102259,69.34671379
202,30.37105831,69.34684224
