sequence_no,KF_lat,KF_long
1,30.37528146,69.35031792
2,30.37540559,69.35032239
3,30.37551303,69.35030243
4,30.37563952,69.35032181
5,30.37575001,69.35027309
6,30.37586544,69.35027421
7,30.37596352,69.35025146
8,30.37609855,69.35022719
9,30.37620522,69.35021015
10,30.37630604,69.35016255
11,30.37640900,69.35017566
12,30.37651185,69.35011759
13,30.37662656,69.35009110
14,30.37673774,69.35006736
15,30.37685674,69.35001142
16,30.37695931,69.34995376
17,30.37706126,69.34989379
18,30.37715885,69.34983026
19,30.37725559,69.34978176
20,30.37736479,69.34974574
21,30.37747944,69.34965785
22,30.37753978,69.34961441
23,30.37764352,69.34954417
24,30.37773158,69.34946609
25,30.37785463,69.34939501
26,30.37795241,69.34930764
27,30.37801805,69.34923401
28,30.37812235,69.34915860
29,30.37821728,69.34909124
30,30.37830184,69.34896801
31,30.37838038,69.34891630
32,30.37845250,69.34880793
33,30.37852170,69.34871607
34,30.37862200,69.34863293
35,30.37870581,69.34853541
36,30.37875257,69.34843216
37,30.37884589,69.34833690
38,30.37890766,69.34821471
39,30.37897561,69.34811880
40,30.37903450,69.34799484
41,30.37909269,69.34788723
42,30.37914109,69.34776638
43,30.37921406,69.34765904
44,30.37926713,69.34754895
45,30.37932366,69.34743552
46,30.37936403,69.34733381
47,30.37941292,69.34718517
48,30.37944649,69.34709255
49,30.37950852,69.34695740
50,30.37954307,69.34683046
51,30.37959169,69.34672514
52,30.37960681,69.34660142
53,30.37962250,69.34646719
54,30.37965420,69.34633181
55,30.37967667,69.34619796
56,30.37971889,69.34607051
57,30.37974635,69.34595924
58,30.37975510,69.34580787
59,30.37975701,69.34569103
60,30.37978029,69.34554176
61,30.37978684,69.34543288
62,30.37977830,69.34530237
63,30.37979653,69.34518905
64,30.37979215,69.34502880
65,30.37982387,69.34491240
66,30.37977836,69.34476881
67,30.37978151,69.34463630
68,30.37976767,69.34451759
69,30.37975515,69.34440067
70,30.37973298,69.34426362
71,30.37972104,69.34409949
72,30.37968435,69.34399679
73,30.37967581,69.34385850
74,30.37964394,69.34374360
75,30.37961834,69.34362212
76,30.37957828,69.34347205
77,30.37954180,69.34335688
78,30.37951743,69.34323928
79,30.37945601,69.34312450
80,30.37941363,69.34298349
81,30.37936164,69.34288906
82,30.37931738,69.34275963
83,30.37926597,69.34262613
84,30.37921717,69.34251634
85,30.37916803,69.34242343
86,30.37911116,69.34230911
87,30.37903436,69.34219484
88,30.37896983,69.34210094
89,30.37892239,69.34198820
90,30.37879880,69.34189236
91,30.37874771,69.34180673
92,30.37868466,69.34165952
93,30.37860467,69.34157847
94,30.37853475,69.34148106
95,30.37844638,69.34137468
96,30.37836927,69.34130355
97,30.37832332,69.34120615
98,30.37820487,69.34113096
99,30.37811996,69.34105597
100,30.37803231,69.34094738
101,30.37793562,69.34087361
102,30.37785646,69.34082833
103,30.37775148,69.34075315
104,30.37766404,69.34065905
105,30.37757660,69.34058514
106,30.37745324,69.34051209
107,30.37736091,69.34047088
108,30.37728564,69.34043065
109,30.37714565,69.34037833
110,30.37705737,69.34029393
111,30.37694602,69.34023044
112,30.37685751,69.34018786
113,30.37674722,69.34016486
114,30.37661993,69.34012890
115,30.37653793,69.34008341
116,30.37642153,69.34005273
117,30.37631065,69.34001825
118,30.37620467,69.33999740
119,30.37609250,69.33997671
120,30.37599003,69.33996163
121,30.37585561,69.33992336
122,30.37575069,69.33988284
123,30.37562542,69.33991743
124,30.37550201,69.33988522
125,30.37541291,69.33989317
126,30.37531225,69.33990082
127,30.37519189,69.33989797
128,30.37506991,69.33989905
129,30.37496650,69.33989071
130,30.37485611,69.33990281
131,30.37472109,69.33991821
132,30.37461960,69.33997490
133,30.37451249,69.33997450
134,30.37441435,69.34000795
135,30.37429011,69.34003118
136,30.37417302,69.34006348
137,30.37406634,69.34008374
138,30.37395113,69.34010412
139,30.37384040,69.34015837
140,30.37373917,69.34020590
141,30.37364331,69.34024854
142,30.37354628,69.34029667
143,30.37344983,69.34036034
144,30.37332985,69.34042632
145,30.37323704,69.34047544
146,30.37313594,69.34054358
147,30.37302654,69.34059204
148,30.37294657,69.34067576
149,30.37283531,69.34074541
150,30.37273829,69.34081983
151,30.37265125,69.34087564
152,30.37255313,69.34096792
153,30.37246759,69.34102544
154,30.37240978,69.34110098
155,30.37230877,69.34120440
