sequence_no,KF_lat,KF_long
1,30.37535063,69.35026448
2,30.37538291,69.35032389
3,30.37551285,69.35030067
4,30.37571954,69.35029020
5,30.37578615,69.35030277
6,30.37588303,69.35030809
7,30.37598127,69.35026254
8,30.37608909,69.35024031
9,30.37617495,69.35014087
10,30.37626264,69.35021077
11,30.37639308,69.35012834
12,30.37656196,69.35016896
13,30.37663388,69.35015032
14,30.37675504,69.34994094
15,30.37687377,69.35006740
16,30.37697605,69.34990551
17,30.37695432,69.34983517
18,30.37719182,69.34982847
19,30.37726912,69.34980298
20,30.37741310,69.34978532
21,30.37754514,69.34982726
22,30.37757992,69.34951737
23,30.37769448,69.34951278
24,30.37775568,69.34948473
25,30.37787816,69.34936018
26,30.37796314,69.34921604
27,30.37799256,69.34922281
28,30.37820418,69.34915336
29,30.37825829,69.34909400
30,30.37840529,69.34896341
31,30.37836005,69.34897521
32,30.37848459,69.34881927
33,30.37844577,69.34875903
34,30.37855870,69.34855882
35,30.37871709,69.34837319
36,30.37873867,69.34846424
37,30.37883000,69.34833756
38,30.37889611,69.34825285
39,30.37891769,69.34811519
40,30.37908210,69.34798093
41,30.37915625,69.34787516
42,30.37925845,69.34783629
43,30.37917138,69.34762225
44,30.37926003,69.34753374
45,30.37928312,69.34743202
46,30.37933085,69.34733530
47,30.37946325,69.34732296
48,30.37955968,69.34704557
49,30.37948702,69.34709839
50,30.37953588,69.34684002
51,30.37954281,69.34670754
52,30.37955474,69.34655648
53,30.37958685,69.34650788
54,30.37970491,69.34642366
55,30.37972667,69.34614872
56,30.37972301,69.34606554
57,30.37972493,69.34592812
58,30.37965014,69.34578223
59,30.37972984,69.34562661
60,30.37977820,69.34557804
61,30.37973480,69.34546579
62,30.37980520,69.34530876
63,30.37984968,69.34513138
64,30.37977890,69.34504267
65,30.37979577,69.34495473
66,30.37975656,69.34479391
67,30.37979558,69.34469390
68,30.37978026,69.34449572
69,30.37966875,69.34442395
70,30.37969932,69.34428591
71,30.37964296,69.34408608
72,30.37972527,69.34398363
73,30.37972300,69.34382500
74,30.37965412,69.34374524
75,30.37953137,69.34360200
76,30.37955353,69.34349045
77,30.37945663,69.34336099
78,30.37956061,69.34320604
79,30.37943050,69.34314625
80,30.37941579,69.34293303
81,30.37934091,69.34287800
82,30.37937933,69.34262784
83,30.37920896,69.34258437
84,30.37928117,69.34256755
85,30.37917097,69.34239970
86,30.37906436,69.34231870
87,30.37899199,69.34213847
88,30.37902511,69.34199759
89,30.37889076,69.34191649
90,30.37885231,69.34187354
91,30.37875274,69.34174914
92,30.37874370,69.34177294
93,30.37861646,69.34168274
94,30.37855689,69.34152895
95,30.37847704,69.34133978
96,30.37845864,69.34130328
97,30.37831476,69.34118185
98,30.37812599,69.34109123
99,30.37823188,69.34101931
100,30.37807166,69.34095839
101,30.37791982,69.34086352
102,30.37782607,69.34079972
103,30.37781649,69.34062486
104,30.37766394,69.34062798
105,30.37755859,69.34062979
106,30.37733745,69.34055785
107,30.37737867,69.34039050
108,30.37725441,69.34042046
109,30.37725697,69.34035280
110,30.37705441,69.34022547
111,30.37692390,69.34025436
112,30.37686367,69.34022655
113,30.37677751,69.34015436
114,30.37665704,69.34021516
115,30.37653585,69.34004530
116,30.37645413,69.34005828
117,30.37624313,69.34004001
118,30.37613591,69.34001268
119,30.37611616,69.33993372
120,30.37600435,69.33996859
121,30.37585861,69.33993966
122,30.37564472,69.34004035
123,30.37558042,69.33997164
124,30.37535930,69.33988656
125,30.37553472,69.33996068
126,30.37532469,69.33982724
127,30.37522749,69.33989808
128,30.37507592,69.33998054
129,30.37490286,69.33979074
130,30.37487969,69.33996912
131,30.37469346,69.33995252
132,30.37461468,69.33990545
133,30.37443476,69.34001100
134,30.37433294,69.33991933
135,30.37434452,69.34006848
136,30.37421631,69.34004598
137,30.37400067,69.34013741
138,30.37398950,69.34005143
139,30.37383619,69.34019142
140,30.37375995,69.34024949
141,30.37373855,69.34019304
142,30.37353139,69.34039228
143,30.37343544,69.34028894
144,30.37335887,69.34053146
145,30.37320836,69.34058317
146,30.37318840,69.34048280
147,30.37297879,69.34068964
148,30.37289091,69.34068124
149,30.37279629,69.34075317
150,30.37274715,69.34082596
151,30.37278068,69.34078178
152,30.37253180,69.34095857
153,30.37244809,69.34102562
154,30.37242700,69.34115598
155,30.37226814,69.34108396
156,30.37219398,69.34129763
157,30.37213405,69.34144706
158,30.37198150,69.34144362
159,30.37197264,69.34160976
160,30.37192014,69.34170768
161,30.37184782,69.34176091
162,30.37170842,69.34189432
163,30.37180128,69.34203015
164,30.37154366,69.34199993
165,30.37149982,69.34223168
166,30.37142355,69.34228817
167,30.37135130,69.34241737
168,30.37134865,69.34250346
169,30.37124776,69.34261232
170,30.37130188,69.34280144
171,30.37120352,69.34290322
172,30.37121842,69.34298068
173,30.37110934,69.34302561
174,30.37107383,69.34326206
175,30.37105830,69.34339232
176,30.37104394,69.34360170
177,30.37095670,69.34357426
178,30.37095648,69.34374965
179,30.37095160,69.34385156
180,30.37083963,69.34384153
181,30.37084525,69.34408100
182,30.37086483,69.34427655
183,30.37084229,69.34434295
184,30.37082676,69.34460578
185,30.37083706,69.34467083
186,30.37080185,69.34475357
187,30.37086594,69.34496371
188,30.37083851,69.34501379
189,30.37078077,69.34522491
190,30.37080922,69.34531256
191,30.37084885,69.34545519
192,30.37080566,69.34552225
193,30.37080129,69.34569130
194,30.37079999,69.34583938
195,30.37075981,69.34595886
196,30.37088306,69.34611269
197,30.37094193,69.34630568
198,30.37091549,69.34632162
199,30.37083838,69.34641603
200,30.37099074,69.34662436
201,30.37101568,69.34667990
202,30.37093736,69.34691888
203,30.37105146,69.34693112
204,30.37108304,69.34703085
205,30.37119107,69.34721727
206,30.37124253,69.34725459
207,30.37133508,69.34740872
208,30.37133392,69.34759328
209,30.37145621,69.34756238
210,30.37140175,69.34779335
211,30.37149117,69.34786231
212,30.37155087,69.34799942
213,30.37162489,69.34816171
214,30.37163407,69.34823377
215,30.37173389,69.34835243
216,30.37186363,69.34838987
217,30.37187066,69.34859712
218,30.37191692,69.34864115
219,30.37200049,69.34860195
220,30.37220594,69.34887753
221,30.37220795,69.34882233
222,30.37225038,69.34905135
223,30.37241932,69.34901485
224,30.37245115,69.34918108
225,30.37262136,69.34929734
226,30.37261470,69.34929905
227,30.37272502,69.34940822
228,30.37280839,69.34949570
229,30.37294063,69.34942780
230,30.37292464,69.34970418
231,30.37318500,69.34965203
232,30.37334421,69.34975063
233,30.37333170,69.34979152
234,30.37344120,69.34989183
235,30.37346312,69.34989681
236,30.37367969,69.34987242
237,30.37366795,69.35003908
238,30.37385506,69.34990221
239,30.37399504,69.35012421
240,30.37401842,69.35001098
241,30.37410595,69.35020771
242,30.37429376,69.35020982
243,30.37440741,69.35020589
244,30.37450233,69.35020068
245,30.37465303,69.35024875
246,30.37477360,69.35021803
247,30.37482392,69.35031651
248,30.37494996,69.35031874
249,30.37514072,69.35035514
250,30.37518993,69.35025405
