sequence_no,KF_lat,KF_long
1,30.37522793,69.35037439
2,30.37543954,69.35027734
3,30.37558907,69.35031359
4,30.37564152,69.35028066
5,30.37574519,69.35034071
6,30.37586225,69.35016612
7,30.37598282,69.35026746
8,30.37605315,69.35027744
9,30.37618434,69.35020869
10,30.37630191,69.35017886
11,30.37634900,69.35016430
12,30.37648686,69.35008467
13,30.37666839,69.35002950
14,30.37671039,69.35003200
15,30.37686620,69.35000350
16,30.37697305,69.34995100
17,30.37697983,69.34981785
18,30.37717977,69.34976379
19,30.37724129,69.34981308
20,30.37736440,69.34970739
21,30.37750272,69.34964227
22,30.37756925,69.34969263
23,30.37766866,69.34946246
24,30.37766576,69.34942221
25,30.37786412,69.34936330
26,30.37796215,69.34936177
27,30.37801236,69.34922257
28,30.37805258,69.34908631
29,30.37820465,69.34901691
30,30.37833281,69.34898005
31,30.37834428,69.34888672
32,30.37849178,69.34879002
33,30.37851012,69.34869964
34,30.37860050,69.34854223
35,30.37866046,69.34854008
36,30.37874521,69.34840470
37,30.37886479,69.34832267
38,30.37894762,69.34818467
39,30.37899968,69.34812162
40,30.37904954,69.34797239
41,30.37909758,69.34789071
42,30.37918735,69.34779336
43,30.37922235,69.34767376
44,30.37930390,69.34753016
45,30.37933076,69.34737431
46,30.37932740,69.34727407
47,30.37942139,69.34716771
48,30.37948924,69.34708265
49,30.37953139,69.34693033
50,30.37953032,69.34687617
51,30.37957075,69.34672886
52,30.37967959,69.34649426
53,30.37962199,69.34648264
54,30.37965668,69.34618670
55,30.37972773,69.34614431
56,30.37967751,69.34608606
57,30.37975723,69.34594097
58,30.37976680,69.34586509
59,30.37975711,69.34569127
60,30.37974734,69.34550464
61,30.37978870,69.34543078
62,30.37976004,69.34528831
63,30.37980481,69.34516701
64,30.37981527,69.34497609
65,30.37981941,69.34486806
66,30.37982572,69.34470968
67,30.37975951,69.34461240
68,30.37977309,69.34454014
69,30.37976812,69.34437393
70,30.37980337,69.34423786
71,30.37971287,69.34402687
72,30.37971470,69.34405680
73,30.37966924,69.34382429
74,30.37960626,69.34371192
75,30.37959042,69.34364874
76,30.37955872,69.34350514
77,30.37958625,69.34333789
78,30.37952773,69.34332806
79,30.37940934,69.34308120
80,30.37938867,69.34306864
81,30.37934173,69.34289103
82,30.37928812,69.34282115
83,30.37926319,69.34262393
84,30.37920778,69.34257582
85,30.37918402,69.34242472
86,30.37909521,69.34224567
87,30.37902059,69.34216662
88,30.37899230,69.34215428
89,30.37889543,69.34204439
90,30.37890410,69.34187368
91,30.37881778,69.34179890
92,30.37867349,69.34169769
93,30.37859264,69.34158232
94,30.37861999,69.34139925
95,30.37836503,69.34139686
96,30.37835205,69.34130292
97,30.37828228,69.34122370
98,30.37818252,69.34108251
99,30.37817553,69.34107674
100,30.37804130,69.34089644
101,30.37793661,69.34090037
102,30.37783002,69.34074607
