sequence_no,KF_lat,KF_long
1,30.37511312,69.35034147
2,30.37543099,69.35021045
3,30.37550466,69.35027587
4,30.37561282,69.35030455
5,30.37574485,69.35041605
6,30.37588605,69.35007453
7,30.37607972,69.35031134
8,30.37605768,69.35029523
9,30.37622269,69.35027772
10,30.37631328,69.35011396
11,30.37627660,69.35011973
12,30.37646975,69.35010692
13,30.37658315,69.34996241
14,30.37673935,69.34999015
15,30.37687826,69.35003161
16,30.37707810,69.35000057
17,30.37692612,69.34976378
18,30.37727584,69.34982432
19,30.37723054,69.34979966
20,30.37740412,69.34975737
21,30.37753052,69.34962153
22,30.37749298,69.34969493
23,30.37762091,69.34945421
24,30.37762326,69.34942462
25,30.37787434,69.34943027
26,30.37803874,69.34947982
27,30.37796751,69.34915880
28,30.37811262,69.34905148
29,30.37812412,69.34897085
30,30.37831194,69.34893155
31,30.37834821,69.34894733
32,30.37846897,69.34874188
33,30.37847641,69.34861091
34,30.37859455,69.34851562
35,30.37864780,69.34852949
36,30.37866427,69.34835350
37,30.37882364,69.34839824
38,30.37893748,69.34814596
39,30.37905726,69.34806201
40,30.37905374,69.34794310
41,30.37906997,69.34786301
42,30.37915347,69.34766575
43,30.37931038,69.34766980
44,30.37932531,69.34755776
45,30.37946214,69.34737559
46,30.37934849,69.34734297
47,30.37942854,69.34712066
48,30.37942938,69.34695691
49,30.37954690,69.34688241
50,30.37956204,69.34691336
51,30.37957187,69.34676141
52,30.37962140,69.34646424
53,30.37956372,69.34648657
54,30.37968901,69.34615462
55,30.37979235,69.34608400
56,30.37971963,69.34597978
57,30.37973341,69.34592988
58,30.37978077,69.34592093
59,30.37973651,69.34568033
60,30.37978380,69.34542336
61,30.37971447,69.34536698
62,30.37976877,69.34528475
63,30.37974355,69.34512747
64,30.37987390,69.34493619
65,30.37990342,69.34491780
66,30.37988352,69.34473773
67,30.37972789,69.34452058
68,30.37980091,69.34461495
69,30.37978961,69.34440212
70,30.37980646,69.34419451
71,30.37966460,69.34387174
72,30.37970479,69.34402739
73,30.37965661,69.34376929
74,30.37953970,69.34366685
75,30.37961403,69.34368308
76,30.37954164,69.34343559
77,30.37956417,69.34331554
78,30.37949351,69.34326756
79,30.37935194,69.34302752
80,30.37931964,69.34315379
81,30.37938453,69.34284321
82,30.37923396,69.34277861
83,30.37934536,69.34269350
84,30.37915251,69.34274291
85,30.37920419,69.34241878
86,30.37919264,69.34221148
87,30.37904149,69.34212305
88,30.37897028,69.34217087
89,30.37896467,69.34207874
90,30.37899697,69.34185013
91,30.37874908,69.34183281
92,30.37864587,69.34176655
93,30.37854655,69.34158926
94,30.37864737,69.34143102
95,30.37830733,69.34144744
96,30.37837360,69.34132348
97,30.37831340,69.34124440
98,30.37820037,69.34115646
99,30.37817545,69.34113288
100,30.37802073,69.34082339
101,30.37787749,69.34091475
102,30.37787548,69.34077716
103,30.37774345,69.34083697
104,30.37767458,69.34068872
105,30.37745586,69.34066822
106,30.37752813,69.34047792
107,30.37730238,69.34045405
108,30.37732681,69.34017078
109,30.37723253,69.34032726
110,30.37715772,69.34021568
111,30.37695262,69.34015590
112,30.37680944,69.34021250
113,30.37678405,69.34016199
114,30.37657840,69.34013670
115,30.37645762,69.34009235
116,30.37642147,69.34009386
117,30.37635213,69.33997699
118,30.37622097,69.34003525
119,30.37607618,69.33987794
120,30.37602233,69.33988676
121,30.37604528,69.33998342
122,30.37574995,69.33994184
123,30.37559924,69.33993473
124,30.37546033,69.33986260
125,30.37547127,69.33986811
126,30.37519908,69.33997135
127,30.37513932,69.33986045
128,30.37519808,69.33983755
129,30.37484699,69.33995152
130,30.37467120,69.33991802
131,30.37470115,69.33996627
132,30.37465941,69.33996810
133,30.37449799,69.34009898
134,30.37442989,69.33996853
135,30.37426614,69.34009958
136,30.37419366,69.33996207
137,30.37417309,69.34015438
138,30.37404748,69.34013856
139,30.37389732,69.34018427
140,30.37378186,69.34016586
141,30.37357434,69.34032775
142,30.37355503,69.34017680
143,30.37347578,69.34020855
144,30.37331686,69.34047648
145,30.37316567,69.34062527
146,30.37317097,69.34066300
147,30.37310238,69.34059306
148,30.37294111,69.34065729
149,30.37283600,69.34062986
150,30.37272364,69.34088087
151,30.37254004,69.34090468
152,30.37249231,69.34087702
153,30.37248861,69.34102451
154,30.37246852,69.34120968
155,30.37230912,69.34128578
156,30.37226776,69.34136006
