sequence_no,KF_lat,KF_long
1,30.37541040,69.35034042
2,30.37548530,69.35021283
3,30.37546699,69.35037694
4,30.37551751,69.35038594
5,30.37551271,69.35010300
6,30.37582156,69.35014957
7,30.37617289,69.35026596
8,30.37612415,69.35020275
9,30.37615501,69.35020622
10,30.37634863,69.35009913
11,30.37629512,69.35023054
12,30.37650684,69.35018667
13,30.37664767,69.35008271
14,30.37674048,69.35014144
15,30.37691820,69.35003625
16,30.37698672,69.34986572
17,30.37711750,69.34993128
18,30.37711082,69.34975417
19,30.37734077,69.34987080
20,30.37750187,69.34972497
21,30.37739214,69.34965020
22,30.37749788,69.34953932
23,30.37777490,69.34965045
24,30.37774744,69.34945238
25,30.37797042,69.34935473
26,30.37791334,69.34928646
27,30.37815692,69.34929064
28,30.37813887,69.34919336
29,30.37823623,69.34911504
30,30.37842651,69.34903090
31,30.37835390,69.34910324
32,30.37838837,69.34877224
33,30.37850861,69.34866968
34,30.37865937,69.34854619
35,30.37857130,69.34858192
36,30.37882289,69.34852988
37,30.37879864,69.34831147
38,30.37900375,69.34813937
39,30.37878289,69.34803468
40,30.37897704,69.34806513
41,30.37896555,69.34796396
42,30.37909385,69.34783381
43,30.37923796,69.34760817
44,30.37925807,69.34757600
45,30.37930304,69.34744868
46,30.37935999,69.34734054
47,30.37943670,69.34728275
48,30.37938341,69.34710120
49,30.37956441,69.34702103
50,30.37959980,69.34684091
51,30.37961314,69.34673872
52,30.37966001,69.34664478
53,30.37966999,69.34632338
54,30.37983902,69.34630301
55,30.37969329,69.34616118
56,30.37969865,69.34601636
57,30.37968222,69.34592131
58,30.37967597,69.34595868
59,30.37967278,69.34560761
60,30.37971303,69.34565044
61,30.37978765,69.34527183
62,30.37982580,69.34526775
63,30.37980586,69.34518458
64,30.37973948,69.34509359
65,30.37987113,69.34497489
66,30.37985260,69.34485158
67,30.37977110,69.34461386
68,30.37971997,69.34447243
69,30.37980319,69.34446696
70,30.37975642,69.34423828
71,30.37960396,69.34400807
72,30.37969387,69.34389296
73,30.37969461,69.34378610
74,30.37957134,69.34379260
75,30.37962767,69.34363444
76,30.37946100,69.34356124
77,30.37965065,69.34333133
78,30.37960450,69.34326328
79,30.37944211,69.34318458
80,30.37944629,69.34297600
81,30.37917520,69.34292960
82,30.37922811,69.34270724
83,30.37924538,69.34261850
84,30.37912773,69.34250133
85,30.37921501,69.34231181
86,30.37925902,69.34235745
87,30.37894020,69.34215760
88,30.37890431,69.34209513
89,30.37892572,69.34203381
90,30.37896818,69.34192697
91,30.37866894,69.34184410
92,30.37871493,69.34167276
93,30.37876786,69.34154462
94,30.37840935,69.34148162
95,30.37836002,69.34123861
96,30.37834821,69.34116899
97,30.37825873,69.34109183
98,30.37828186,69.34103673
99,30.37814820,69.34108331
100,30.37789664,69.34088084
101,30.37799124,69.34085223
102,30.37781026,69.34093447
103,30.37786678,69.34070585
104,30.37761743,69.34073879
105,30.37751994,69.34051529
106,30.37751694,69.34051921
107,30.37743536,69.34038784
108,30.37730910,69.34038660
109,30.37703310,69.34044093
110,30.37711001,69.34014717
111,30.37687767,69.34030014
112,30.37687407,69.34023524
113,30.37663319,69.34011422
114,30.37667712,69.33999316
115,30.37646701,69.34009818
116,30.37631983,69.34000850
117,30.37637090,69.34004856
118,30.37622202,69.34000049
119,30.37604144,69.34012430
120,30.37609707,69.33993079
121,30.37583216,69.33983918
122,30.37575760,69.33993807
123,30.37566458,69.33993092
124,30.37547991,69.34003010
125,30.37545425,69.33997634
126,30.37525888,69.33993128
127,30.37515573,69.34003660
128,30.37518629,69.33979148
129,30.37487894,69.33985221
130,30.37465528,69.33983653
131,30.37486879,69.33990173
132,30.37483333,69.33982802
133,30.37448208,69.34003706
134,30.37424648,69.33998039
135,30.37426708,69.33989002
136,30.37415940,69.33996321
137,30.37405877,69.34012234
138,30.37387547,69.34020922
139,30.37390367,69.34035857
140,30.37379173,69.34048733
141,30.37352228,69.34029808
142,30.37359498,69.34021614
143,30.37360088,69.34016144
144,30.37334643,69.34044264
145,30.37320403,69.34040043
146,30.37312069,69.34049947
147,30.37308328,69.34054603
148,30.37279603,69.34065778
149,30.37285426,69.34084151
150,30.37271465,69.34082874
151,30.37280378,69.34087467
152,30.37254959,69.34087083
153,30.37260975,69.34089233
154,30.37229919,69.34108707
155,30.37235049,69.34121398
156,30.37224658,69.34147318
157,30.37206886,69.34141033
158,30.37207346,69.34158403
159,30.37207992,69.34153923
160,30.37187973,69.34157180
161,30.37169546,69.34169137
162,30.37176027,69.34181439
163,30.37162024,69.34218570
164,30.37159882,69.34201539
165,30.37155635,69.34227881
166,30.37136377,69.34222527
167,30.37131248,69.34250953
168,30.37142564,69.34257224
169,30.37129061,69.34263617
170,30.37107238,69.34276423
171,30.37129392,69.34282449
172,30.37120515,69.34304646
173,30.37108116,69.34308210
174,30.37099044,69.34313067
175,30.37112564,69.34324817
176,30.37105101,69.34350809
177,30.37118192,69.34376562
178,30.37099246,69.34375958
179,30.37096160,69.34385945
180,30.37089141,69.34402529
181,30.37094846,69.34424870
182,30.37091341,69.34427602
183,30.37094778,69.34434631
184,30.37079100,69.34461746
185,30.37078678,69.34468481
186,30.37077505,69.34491890
187,30.37087153,69.34492250
188,30.37092591,69.34492072
189,30.37076801,69.34503782
190,30.37077407,69.34545228
191,30.37083967,69.34558981
192,30.37080334,69.34554208
193,30.37091190,69.34565352
194,30.37066740,69.34595737
195,30.37079987,69.34584569
196,30.37082305,69.34599365
197,30.37072132,69.34626696
198,30.37085489,69.34629703
199,30.37088713,69.34646115
200,30.37097380,69.34657255
201,30.37111280,69.34674455
202,30.37103939,69.34696920
203,30.37101500,69.34696984
204,30.37113480,69.34714484
205,30.37126817,69.34701267
206,30.37115183,69.34731976
207,30.37120626,69.34736371
208,30.37137831,69.34744428
209,30.37136961,69.34759123
210,30.37149709,69.34775542
211,30.37150380,69.34798436
212,30.37162351,69.34788319
213,30.37154651,69.34811738
214,30.37169567,69.34817376
215,30.37174828,69.34829174
216,30.37173712,69.34851825
217,30.37178197,69.34857434
218,30.37203889,69.34874825
219,30.37203283,69.34870447
220,30.37205792,69.34874627
221,30.37221413,69.34888164
222,30.37239650,69.34901360
223,30.37220596,69.34909324
224,30.37235683,69.34905855
225,30.37249159,69.34925010
226,30.37277457,69.34934113
227,30.37277203,69.34963222
228,30.37290491,69.34964435
229,30.37284517,69.34945841
230,30.37294399,69.34958051
231,30.37316944,69.34953486
232,30.37323679,69.34967929
233,30.37337762,69.34982311
234,30.37342067,69.34996276
235,30.37356200,69.34983398
236,30.37365717,69.34989065
237,30.37381215,69.34979676
238,30.37392127,69.35002682
239,30.37383215,69.34998235
240,30.37388943,69.35007011
241,30.37426197,69.35007236
242,30.37438763,69.35017699
243,30.37432029,69.35004852
244,30.37436408,69.35010062
245,30.37463408,69.35045912
246,30.37481353,69.35015722
247,30.37499638,69.35018874
248,30.37500531,69.35047527
249,30.37504629,69.35058246
250,30.37511746,69.35020400
