sequence_no,KF_lat,KF_long
3,29.862442,77.8944626
4,29.8624439,77.8944626
5,29.8624458,77.8944702
6,29.8624516,77.8944702
7,29.8624554,77.8944778
8,29.8624592,77.8944778
9,29.8624611,77.8944778
10,29.862463,77.8944778
11,29.862463,77.8944855
12,29.862463,77.8944855
13,29.862463,77.8944931
14,29.8624611,77.8944931
15,29.862463,77.8945007
16,29.862463,77.8945007
17,29.862463,77.8945007
18,29.862463,77.8945007
19,29.862463,77.8945084
20,29.8624611,77.8945084
21,29.8624592,77.894516
22,29.8624573,77.894516
23,29.8624554,77.894516
24,29.8624554,77.894516
25,29.8624554,77.894516
26,29.8624535,77.894516
27,29.8624516,77.894516
28,29.8624496,77.8945236
29,29.8624458,77.8945313
30,29.8624382,77.8945389
31,29.8624306,77.8945465
32,29.8624268,77.8945465
33,29.8624249,77.8945465
34,29.8624268,77.8945465
35,29.8624287,77.8945389
36,29.8624287,77.8945389
37,29.8624287,77.8945389
38,29.8624325,77.8945313
39,29.8624382,77.8945313
40,29.8624439,77.8945236
41,29.8624496,77.894516
42,29.8624554,77.894516
43,29.862463,77.894516
44,29.8624687,77.8945236
45,29.8624725,77.894516
46,29.8624763,77.894516
47,29.8624783,77.894516
48,29.8624802,77.894516
49,29.8624802,77.894516
50,29.8624802,77.8945236
51,29.8624802,77.8945236
52,29.8624783,77.8945236
53,29.8624783,77.8945313
54,29.8624763,77.8945313
55,29.8624744,77.8945313
56,29.8624744,77.8945389
57,29.8624725,77.8945465
58,29.8624725,77.8945465
59,29.8624725,77.8945465
60,29.8624725,77.8945465
61,29.8624744,77.8945465
62,29.8624744,77.8945465
63,29.8624725,77.8945465
64,29.8624687,77.8945465
65,29.862463,77.8945389
66,29.8624535,77.8945313
67,29.8624401,77.8945236
68,29.8624325,77.894516
69,29.8624268,77.894516
70,29.862421,77.8945084
71,29.8624172,77.8945084
72,29.862421,77.8945007
73,29.8624287,77.8944855
74,29.8624401,77.8944778
75,29.8624496,77.8944702
