sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
2,3219,29.862439,77.894489,0.58,0.085,0.804,0.09
3,3719,29.862439,77.894489,0.583,0.104,0.81,0.09
4,4219,29.862443,77.894492,0.579,0.1,0.8,0.09
5,4719,29.862443,77.894492,0.587,0.099,0.796,0.17
6,5219,29.862444,77.894493,0.58,0.086,0.811,0.17
7,5719,29.862444,77.894493,0.571,0.083,0.822,-0.17
8,6219,29.862444,77.894493,0.594,0.08,0.804,0.17
9,6719,29.862444,77.894493,0.587,0.11,0.806,0.09
10,7219,29.862445,77.894495,0.59,0.04,0.803,0.09
11,7719,29.862445,77.894495,0.55,0.075,0.847,0.43
12,8219,29.862447,77.894496,0.582,0.089,0.798,1.04
13,8719,29.862447,77.894496,0.617,0.062,0.723,0.52
14,9219,29.862447,77.894496,0.543,0.114,0.886,-318.7
15,9719,29.862447,77.894496,0.674,0.024,0.79,-318.7
16,10219,29.862448,77.894496,0.701,-0.002,0.77,0.26
17,10719,29.862448,77.894496,0.74,0.004,0.693,0.78
18,11219,29.862449,77.894497,0.707,-0.021,0.708,0.52
19,11719,29.862449,77.894497,0.702,-0.01,0.712,0.52
20,12219,29.862449,77.894498,0.738,0.021,0.672,1.04
21,12719,29.862449,77.894498,0.729,0.028,0.699,1.04
22,13219,29.86245,77.894498,0.698,-0.005,0.689,0.43
23,13719,29.86245,77.894498,0.804,-0.109,0.611,0.95
24,14219,29.862449,77.894499,0.735,-0.006,0.672,-0.43
25,14719,29.862449,77.894499,0.763,-0.04,0.664,-0.26
26,15219,29.862449,77.894499,0.743,-0.044,0.672,-0.17
27,15719,29.862449,77.894499,0.713,-0.008,0.702,0.09
28,16219,29.862449,77.8945,0.76,-0.023,0.707,0.52
29,16719,29.862449,77.8945,0.748,-0.018,0.7,0.17
30,17219,29.862449,77.894501,0.736,-0.043,0.683,1.21
31,17719,29.862449,77.894501,0.766,-0.019,0.655,0.78
32,18219,29.862449,77.894502,0.759,-0.038,0.738,8842.58
33,18719,29.862449,77.894502,0.419,-0.005,0.694,2.77
34,19219,29.862447,77.894504,0.813,-0.343,0.532,1.12
35,19719,29.862447,77.894504,0.837,-0.368,0.466,2.25
36,20219,29.862447,77.894504,0.828,-0.48,0.423,13.51
37,20719,29.862447,77.894504,0.281,-0.339,0.555,1.21
38,21219,29.862449,77.894504,0.531,-0.319,0.678,0.26
39,21719,29.862449,77.894504,0.603,-0.42,0.685,0.95
40,22219,29.86245,77.894505,0.667,-0.355,0.65,0.95
41,22719,29.86245,77.894505,0.688,-0.24,0.729,1.21
42,23219,29.862449,77.894505,0.637,-0.436,0.672,1.04
43,23719,29.862449,77.894505,0.757,-0.264,0.723,0.95
44,24219,29.86245,77.894506,0.865,0.153,0.683,0.61
45,24719,29.86245,77.894506,0.662,-0.184,0.738,0.52
46,25219,29.862452,77.894509,0.522,-0.313,0.798,0.95
47,25719,29.862452,77.894509,0.588,-0.148,0.764,0.87
48,26219,29.862454,77.894511,0.647,-0.174,0.715,1.64
49,26719,29.862454,77.894511,0.587,-0.004,0.641,0.69
50,27219,29.862455,77.894506,0.508,0.101,0.69,0.09
51,27719,29.862455,77.894506,0.489,-0.229,0.762,0.09
52,28219,29.862458,77.894505,0.527,-0.038,0.844,-0.17
53,28719,29.862458,77.894505,0.506,-0.046,0.769,0.26
54,29219,29.862456,77.894505,0.246,-0.456,0.766,0.35
55,29719,29.862456,77.894505,0.365,-0.716,0.859,0.35
56,30219,29.862458,77.894505,0.289,-0.454,0.874,0.52
57,30719,29.862458,77.894505,0.356,-0.389,0.793,0.35
58,31219,29.862461,77.894505,0.435,-0.469,0.89,0.35
59,31719,29.862461,77.894505,0.514,-0.511,1.375,0.43
60,32219,29.862464,77.894503,0.553,0.161,0.946,0.69
61,32719,29.862464,77.894503,0.222,0.03,0.599,0.95
62,33219,29.862467,77.89449,0.504,0.108,0.714,0.78
63,33719,29.862467,77.89449,0.574,0.155,0.821,0.78
64,34219,29.862469,77.894472,0.607,0.029,0.72,0.87
65,34719,29.862469,77.894472,0.49,0.191,0.728,1.12
66,35219,29.86247,77.894452,0.602,-0.018,0.784,1.21
67,35719,29.86247,77.894452,0.646,-0.012,0.892,1.21
68,36219,29.862474,77.894431,0.627,-0.02,0.708,0.87
69,36719,29.862474,77.894431,0.586,0.072,0.773,1.04
70,37219,29.862479,77.894408,0.617,0.077,0.787,0.78
71,37719,29.862479,77.894408,0.535,0.132,0.706,1.12
72,38219,29.862482,77.894382,0.563,0.076,0.756,0.87
73,38719,29.862482,77.894382,0.576,0.058,0.812,0.87
74,39219,29.862483,77.894357,0.599,-0.01,0.777,1.3
75,39719,29.862483,77.894357,0.577,-0.012,0.765,1.12
76,40219,29.862482,77.89433,0.577,0.031,0.808,1.3
77,40719,29.862482,77.89433,0.621,-0.03,0.831,1.12
78,41219,29.862485,77.894304,0.612,0.04,0.845,1.12
79,41719,29.862485,77.894304,0.502,0.12,0.779,1.3
80,42219,29.862489,77.894281,0.616,-0.019,0.81,1.21
81,42719,29.862489,77.894281,0.6,0.072,0.744,1.38
82,43219,29.862495,77.894257,0.592,0.067,0.771,0.95
83,43719,29.862495,77.894257,0.517,-0.014,0.735,1.38
84,44219,29.862499,77.894235,0.605,0.031,0.75,1.04
85,44719,29.862499,77.894235,0.575,0.01,0.775,1.47
86,45219,29.8625,77.894213,0.608,0.044,0.803,1.04
87,45719,29.8625,77.894213,0.592,0.081,0.656,0.95
88,46219,29.862503,77.894193,0.472,0.029,0.931,0.87
89,46719,29.862503,77.894193,0.596,0.197,0.916,0.09
90,47219,29.862511,77.894168,0.275,0.039,0.489,1.04
91,47719,29.862511,77.894168,0.653,-0.01,0.803,0.69
92,48219,29.862514,77.894141,0.665,-0.031,0.793,1.64
93,48719,29.862514,77.894141,0.592,0.072,0.742,2.42
94,49219,29.862519,77.894113,0.57,0.07,0.72,2.34
95,49719,29.862519,77.894113,0.626,0.095,0.871,2.25
96,50219,29.862526,77.894074,0.675,0.05,0.967,2.16
97,50719,29.862526,77.894074,0.593,0.022,0.721,2.6
98,51219,29.862521,77.894046,0.655,-0.021,0.788,2.6
99,51719,29.862521,77.894046,0.615,0.045,0.778,2.6
100,52219,29.862518,77.894015,0.538,0.05,0.723,3.46
101,52719,29.862518,77.894015,0.692,0.062,0.976,2.6
102,53219,29.862524,77.89398,0.661,0.024,0.841,2.94
103,53719,29.862524,77.89398,0.681,-0.01,0.869,2.25
104,54219,29.862544,77.893942,0.597,-0.046,0.709,2.51
105,54719,29.862544,77.893942,0.586,-0.061,0.789,2.68
106,55219,29.862567,77.893913,0.634,0.04,0.825,3.38
107,55719,29.862567,77.893913,0.623,0.049,0.805,2.77
108,56219,29.862591,77.893888,0.532,-0.015,0.717,3.2
109,56719,29.862591,77.893888,0.684,0.069,0.83,2.68
110,57219,29.862616,77.893864,0.558,0.072,0.758,3.72
111,57719,29.862616,77.893864,0.499,-0.032,0.791,3.63
112,58219,29.862641,77.893843,0.505,0.046,0.603,4.85
113,58719,29.862641,77.893843,0.606,0.068,0.828,3.98
114,59219,29.862669,77.893823,0.636,0.115,0.999,4.15
115,59719,29.862669,77.893823,0.516,0.126,0.849,4.33
116,60219,29.862703,77.893812,0.792,0.03,1.048,4.41
117,60719,29.862703,77.893812,0.666,0.085,0.846,5.02
118,61219,29.862734,77.893803,0.554,0.05,0.778,4.93
119,61719,29.862734,77.893803,0.487,-0.016,0.632,5.97
120,62219,29.862767,77.893795,0.704,0.001,0.724,-318.7
121,62719,29.862767,77.893795,0.67,0.069,0.866,-318.7
122,63219,29.8628,77.89379,0.6,0.011,0.675,-318.7
