sequence_no,KF_lat,KF_long
1,30.37529486,69.34592909
2,30.37533902,69.34595090
3,30.37534474,69.34597252
4,30.37538780,69.34600752
5,30.37542976,69.34600542
6,30.37546125,69.34602498
7,30.37549066,69.34602903
8,30.37553412,69.34603718
9,30.37555900,69.34606317
10,30.37559442,69.34605976
11,30.37563999,69.34609125
12,30.37566723,69.34607273
13,30.37571864,69.34607901
14,30.37575504,69.34608953
15,30.37578574,69.34607968
16,30.37583663,69.34609458
17,30.37588669,69.34607009
18,30.37592242,69.34606343
19,30.37596495,69.34605627
20,30.37599228,69.34604920
21,30.37605884,69.34601938
22,30.37609739,69.34599821
23,30.37614304,69.34598097
24,30.37617861,69.34595222
25,30.37622702,69.34594411
26,30.37625967,69.34590751
27,30.37630801,69.34589152
28,30.37634224,69.34584274
29,30.37639731,69.34581416
30,30.37641681,69.34577166
31,30.37647219,69.34572555
32,30.37650862,69.34568518
33,30.37654217,69.34564005
34,30.37657499,69.34559470
35,30.37659673,69.34555588
36,30.37664119,69.34548476
37,30.37666488,69.34542304
38,30.37669409,69.34536248
39,30.37671396,69.34533129
40,30.37675199,69.34524827
41,30.37676959,69.34520784
42,30.37679857,69.34514067
43,30.37680733,69.34506337
44,30.37683940,69.34501137
45,30.37682394,69.34493322
46,30.37684407,69.34484566
47,30.37686003,69.34480793
48,30.37687659,69.34473686
49,30.37687641,69.34463447
50,30.37686560,69.34457602
51,30.37686964,69.34449971
52,30.37687039,69.34443182
53,30.37686019,69.34434341
54,30.37685137,69.34426050
55,30.37683735,69.34419589
56,30.37683822,69.34410532
57,30.37681465,69.34401917
58,30.37678199,69.34396042
59,30.37676900,69.34386601
60,30.37673601,69.34379487
61,30.37670468,69.34371727
62,30.37667929,69.34363659
63,30.37664583,69.34356438
64,30.37661403,69.34350038
65,30.37657975,69.34342347
66,30.37651498,69.34334315
67,30.37647089,69.34329322
68,30.37643207,69.34321775
69,30.37638756,69.34314099
70,30.37631952,69.34306958
71,30.37626067,69.34303463
72,30.37620159,69.34295640
73,30.37612034,69.34291390
74,30.37606507,69.34285449
75,30.37599613,69.34281246
76,30.37594058,69.34274553
77,30.37586594,69.34269960
78,30.37578685,69.34265687
79,30.37570417,69.34261883
80,30.37563329,69.34257786
81,30.37554761,69.34254114
82,30.37547387,69.34250207
83,30.37538311,69.34247847
84,30.37530261,69.34243809
85,30.37523670,69.34242159
86,30.37512192,69.34241996
87,30.37502416,69.34240900
88,30.37494604,69.34239656
89,30.37486159,69.34241303
90,30.37475800,69.34237965
91,30.37466332,69.34239352
92,30.37457026,69.34241233
93,30.37448155,69.34243271
94,30.37439214,69.34243985
95,30.37431268,69.34247265
96,30.37420616,69.34249537
97,30.37410706,69.34251868
98,30.37401422,69.34255588
99,30.37392019,69.34261166
100,30.37383333,69.34264684
101,30.37372986,69.34269086
102,30.37363865,69.34273939
103,30.37355375,69.34279613
104,30.37345672,69.34284449
105,30.37338731,69.34293470
106,30.37330781,69.34298910
107,30.37323555,69.34307288
108,30.37314393,69.34315569
109,30.37306554,69.34323952
110,30.37298987,69.34332300
111,30.37291926,69.34341187
112,30.37286190,69.34350610
113,30.37280048,69.34362026
114,30.37272132,69.34372139
115,30.37267174,69.34381678
116,30.37261263,69.34391489
117,30.37256226,69.34404643
118,30.37248961,69.34414876
119,30.37246696,69.34427651
120,30.37241314,69.34438870
121,30.37236272,69.34451880
122,30.37233550,69.34464238
123,30.37229561,69.34475863
124,30.37227269,69.34489699
125,30.37223953,69.34503182
126,30.37224130,69.34517638
127,30.37222273,69.34530357
128,30.37221103,69.34543520
129,30.37220187,69.34560448
130,30.37220967,69.34571693
131,30.37220198,69.34583481
132,30.37222823,69.34598423
133,30.37222895,69.34614428
134,30.37224153,69.34626820
135,30.37225767,69.34641591
136,30.37230697,69.34656823
137,30.37232026,69.34669679
138,30.37236079,69.34684297
139,30.37240839,69.34696101
140,30.37244607,69.34710420
141,30.37251424,69.34725345
142,30.37256587,69.34738558
143,30.37263714,69.34752074
144,30.37269993,69.34763652
145,30.37277168,69.34776808
146,30.37284426,69.34791001
147,30.37291218,69.34802104
148,30.37300052,69.34813383
149,30.37310627,69.34824974
150,30.37319777,69.34836871
151,30.37329539,69.34846144
152,30.37340236,69.34857847
153,30.37349598,69.34867503
154,30.37359668,69.34876169
155,30.37369600,69.34884231
156,30.37384134,69.34894993
157,30.37394979,69.34904972
158,30.37408215,69.34910467
159,30.37421658,69.34917883
160,30.37431887,69.34925716
161,30.37446543,69.34931716
162,30.37457098,69.34937436
163,30.37473561,69.34941147
164,30.37487126,69.34945000
165,30.37501856,69.34949727
166,30.37516083,69.34951908
167,30.37531397,69.34954259
168,30.37543853,69.34956891
169,30.37560160,69.34956896
170,30.37574511,69.34959859
171,30.37589247,69.34958070
172,30.37604631,69.34960154
173,30.37620848,69.34956185
174,30.37633686,69.34955413
175,30.37649235,69.34951076
176,30.37664039,69.34948562
177,30.37677540,69.34942493
178,30.37693928,69.34938827
179,30.37708152,69.34932009
180,30.37722183,69.34926558
181,30.37736538,69.34919959
182,30.37751466,69.34912782
183,30.37765505,69.34903387
184,30.37778397,69.34894691
185,30.37792543,69.34886633
186,30.37807336,69.34875837
187,30.37820256,69.34864819
188,30.37832376,69.34854518
189,30.37844244,69.34841175
190,30.37857231,69.34828394
191,30.37867902,69.34816036
192,30.37877189,69.34802216
193,30.37889552,69.34786869
194,30.37901125,69.34772140
195,30.37910759,69.34755710
196,30.37920010,69.34742210
197,30.37928322,69.34725261
198,30.37938043,69.34707276
199,30.37943645,69.34690879
200,30.37952070,69.34674207
201,30.37959935,69.34653385
202,30.37965168,69.34637133
203,30.37970839,69.34619500
204,30.37976034,69.34598442
205,30.37980942,69.34579880
206,30.37985761,69.34560570
207,30.37988992,69.34539722
208,30.37990316,69.34520591
209,30.37992252,69.34499743
210,30.37993695,69.34480638
211,30.37993613,69.34459600
212,30.37994070,69.34439317
213,30.37994946,69.34416774
214,30.37991061,69.34397746
215,30.37988626,69.34377214
216,30.37986724,69.34354343
217,30.37982636,69.34334261
218,30.37979498,69.34316414
219,30.37973045,69.34294197
220,30.37968788,69.34272688
221,30.37960349,69.34254152
222,30.37955591,69.34233095
223,30.37948428,69.34214429
224,30.37938144,69.34195993
225,30.37929263,69.34176028
226,30.37918956,69.34156641
227,30.37910199,69.34138793
228,30.37897345,69.34121587
229,30.37886307,69.34102837
230,30.37872254,69.34087295
231,30.37862892,69.34070607
232,30.37848069,69.34055299
233,30.37835127,69.34039661
234,30.37821339,69.34024229
235,30.37804972,69.34008968
236,30.37789414,69.33997740
237,30.37772494,69.33982972
238,30.37755507,69.33973083
239,30.37738894,69.33958922
240,30.37723058,69.33948598
241,30.37704192,69.33939950
242,30.37687682,69.33930391
243,30.37668337,69.33918987
244,30.37648068,69.33912880
245,30.37629672,69.33905952
246,30.37608835,69.33900837
247,30.37591958,69.33894332
248,30.37570528,69.33891368
249,30.37550556,69.33887022
250,30.37530543,69.33884607
