sequence_no,KF_lat,KF_long
1,30.37529266,69.34592402
2,30.37532904,69.34594684
3,30.37534815,69.34599881
4,30.37538901,69.34599781
5,30.37541613,69.34600041
6,30.37545869,69.34602072
7,30.37549744,69.34603811
8,30.37551222,69.34604856
9,30.37557179,69.34604576
10,30.37560060,69.34605593
11,30.37563746,69.34608623
12,30.37567694,69.34609245
13,30.37571626,69.34608843
14,30.37576615,69.34607084
15,30.37581369,69.34609329
16,30.37584756,69.34607146
17,30.37587541,69.34607142
18,30.37592856,69.34606560
19,30.37595432,69.34605856
20,30.37601522,69.34602762
21,30.37604390,69.34602474
22,30.37608715,69.34599419
23,30.37612725,69.34598000
24,30.37618701,69.34595609
25,30.37621744,69.34593178
26,30.37626852,69.34591054
27,30.37630440,69.34587303
28,30.37635195,69.34585114
29,30.37638209,69.34580053
30,30.37643497,69.34577623
31,30.37647176,69.34571461
32,30.37649473,69.34568526
33,30.37654083,69.34566593
34,30.37656466,69.34558654
35,30.37660983,69.34555006
36,30.37662778,69.34549212
37,30.37668704,69.34543266
38,30.37668500,69.34538218
39,30.37672721,69.34531790
40,30.37673606,69.34525097
41,30.37676803,69.34520793
42,30.37677891,69.34515049
43,30.37680770,69.34506852
44,30.37681459,69.34500243
45,30.37683821,69.34493195
46,30.37686195,69.34485947
47,30.37685327,69.34478855
48,30.37687722,69.34471866
49,30.37686374,69.34464704
50,30.37689556,69.34455119
51,30.37688242,69.34449513
52,30.37686542,69.34441349
53,30.37687467,69.34434286
54,30.37685680,69.34426966
55,30.37684477,69.34418035
56,30.37682850,69.34410447
57,30.37681412,69.34403430
58,30.37677628,69.34395067
59,30.37676923,69.34387997
60,30.37673960,69.34380008
61,30.37671831,69.34370673
62,30.37669337,69.34365638
63,30.37664681,69.34355941
64,30.37659461,69.34349147
65,30.37655804,69.34342963
66,30.37652591,69.34334158
67,30.37648179,69.34328004
68,30.37642229,69.34321568
69,30.37637335,69.34314485
70,30.37631552,69.34308333
71,30.37625306,69.34303159
72,30.37619980,69.34296077
73,30.37613215,69.34290539
74,30.37607078,69.34284158
75,30.37600748,69.34279102
76,30.37593419,69.34273767
77,30.37585355,69.34270629
78,30.37579949,69.34264727
79,30.37571546,69.34261436
80,30.37561874,69.34257629
81,30.37554971,69.34254358
82,30.37546404,69.34251608
83,30.37539511,69.34249375
84,30.37531350,69.34245429
85,30.37523038,69.34244735
86,30.37512294,69.34241667
87,30.37503283,69.34241578
88,30.37494606,69.34241743
89,30.37485870,69.34239914
90,30.37475850,69.34239451
91,30.37467600,69.34241050
92,30.37457050,69.34242750
93,30.37448824,69.34242078
94,30.37438711,69.34243615
95,30.37427952,69.34246233
96,30.37420167,69.34249056
97,30.37411746,69.34251491
98,30.37402282,69.34255962
99,30.37391862,69.34258733
100,30.37382123,69.34265196
101,30.37373861,69.34268797
102,30.37366516,69.34275675
103,30.37356411,69.34281012
104,30.37346890,69.34286500
105,30.37337706,69.34291963
106,30.37330899,69.34299787
107,30.37322519,69.34307125
108,30.37315182,69.34314017
109,30.37306308,69.34323546
110,30.37298933,69.34332490
111,30.37293000,69.34342265
112,30.37284517,69.34350019
113,30.37278291,69.34360790
114,30.37270852,69.34371692
115,30.37266616,69.34381683
116,30.37260719,69.34393549
117,30.37255521,69.34402393
118,30.37249757,69.34414349
119,30.37245681,69.34426767
120,30.37241929,69.34439891
121,30.37237108,69.34451451
122,30.37233680,69.34464206
123,30.37230314,69.34477924
124,30.37226519,69.34489443
125,30.37225129,69.34503559
126,30.37225886,69.34516520
127,30.37222313,69.34531173
128,30.37221476,69.34543188
129,30.37220690,69.34556109
130,30.37220118,69.34571820
131,30.37219720,69.34584709
132,30.37221992,69.34600046
133,30.37223536,69.34614856
134,30.37226783,69.34626959
135,30.37228448,69.34641125
136,30.37230447,69.34657491
137,30.37233781,69.34669487
138,30.37238001,69.34683229
139,30.37240954,69.34697170
140,30.37245297,69.34711376
141,30.37251218,69.34724663
142,30.37257504,69.34738986
143,30.37263614,69.34751393
144,30.37271006,69.34763315
145,30.37276544,69.34776516
146,30.37284288,69.34789140
147,30.37293048,69.34801854
148,30.37302868,69.34813589
149,30.37308489,69.34825394
150,30.37319145,69.34836821
151,30.37327019,69.34846636
152,30.37338483,69.34856368
153,30.37349272,69.34866773
154,30.37361315,69.34876713
155,30.37370663,69.34888352
156,30.37384970,69.34894695
157,30.37395549,69.34904072
158,30.37407616,69.34910169
159,30.37419884,69.34918255
160,30.37433091,69.34925440
161,30.37446437,69.34929317
162,30.37460125,69.34936809
163,30.37474302,69.34940299
164,30.37486584,69.34943981
165,30.37500919,69.34949982
166,30.37516380,69.34951754
167,30.37529872,69.34954007
168,30.37544030,69.34955653
169,30.37557855,69.34956315
170,30.37574184,69.34957967
171,30.37588761,69.34958000
172,30.37604159,69.34957346
173,30.37619066,69.34956064
174,30.37634248,69.34952797
175,30.37648421,69.34951182
176,30.37663382,69.34946722
177,30.37677447,69.34944042
178,30.37692924,69.34937829
179,30.37708585,69.34933938
180,30.37723037,69.34926220
181,30.37737110,69.34921489
