sequence_no,KF_lat,KF_long
1,30.37528243,69.34601608
2,30.37530674,69.34600868
3,30.37542184,69.34594211
4,30.37537072,69.34605056
5,30.37540818,69.34605416
6,30.37543001,69.34603432
7,30.37547806,69.34600620
8,30.37549717,69.34603006
9,30.37558111,69.34605852
10,30.37557033,69.34608770
11,30.37561869,69.34605653
12,30.37566534,69.34607260
13,30.37579462,69.34605684
14,30.37577842,69.34607345
15,30.37583979,69.34610177
16,30.37581741,69.34609275
17,30.37583889,69.34606996
18,30.37585795,69.34607900
19,30.37599539,69.34613190
20,30.37601607,69.34599549
21,30.37608595,69.34601744
22,30.37606206,69.34607893
23,30.37609061,69.34602678
24,30.37619253,69.34585972
25,30.37616646,69.34596970
26,30.37629034,69.34592727
27,30.37628946,69.34594126
28,30.37631365,69.34583126
29,30.37639073,69.34574499
30,30.37632416,69.34576782
31,30.37644991,69.34573515
32,30.37643436,69.34567032
33,30.37648426,69.34559298
34,30.37658364,69.34560162
35,30.37658104,69.34546889
36,30.37665495,69.34548962
37,30.37665868,69.34543866
38,30.37670552,69.34541037
39,30.37670528,69.34534453
40,30.37675410,69.34518623
41,30.37679365,69.34521594
42,30.37673417,69.34516668
43,30.37679491,69.34508965
44,30.37690052,69.34505923
45,30.37685313,69.34494485
46,30.37680269,69.34486433
47,30.37684910,69.34477002
48,30.37691788,69.34472767
49,30.37690818,69.34471723
50,30.37683866,69.34462600
51,30.37686304,69.34450331
52,30.37684027,69.34438118
53,30.37679107,69.34436226
54,30.37686798,69.34431479
55,30.37685169,69.34423685
56,30.37677530,69.34416147
57,30.37679509,69.34406727
58,30.37677286,69.34390555
59,30.37678940,69.34376254
60,30.37670772,69.34379817
61,30.37665811,69.34373533
62,30.37668445,69.34361366
63,30.37658438,69.34354844
64,30.37663780,69.34350683
65,30.37651022,69.34344418
66,30.37655605,69.34340688
67,30.37649890,69.34321828
68,30.37643697,69.34323373
69,30.37639054,69.34315198
70,30.37632282,69.34297533
71,30.37626633,69.34303855
72,30.37619617,69.34299410
73,30.37611117,69.34288205
74,30.37609041,69.34278510
75,30.37600028,69.34277272
76,30.37592283,69.34271481
77,30.37583235,69.34264757
78,30.37577181,69.34273340
79,30.37571335,69.34256421
80,30.37558886,69.34266257
81,30.37552811,69.34255011
82,30.37538952,69.34248298
83,30.37541459,69.34245859
84,30.37528977,69.34232258
85,30.37524254,69.34249012
86,30.37509775,69.34243436
87,30.37505519,69.34239150
88,30.37494626,69.34227307
89,30.37486561,69.34240260
90,30.37486076,69.34242070
91,30.37466365,69.34232833
92,30.37456562,69.34241243
93,30.37449351,69.34242250
94,30.37430835,69.34234872
95,30.37428749,69.34249113
96,30.37420642,69.34251453
97,30.37406914,69.34250556
98,30.37406567,69.34261600
99,30.37391348,69.34265119
100,30.37382116,69.34263982
101,30.37369297,69.34264750
102,30.37364611,69.34273031
103,30.37356812,69.34284463
104,30.37346991,69.34287738
105,30.37340979,69.34295183
106,30.37332963,69.34293813
107,30.37325523,69.34311707
108,30.37313747,69.34316630
109,30.37313060,69.34317385
110,30.37303827,69.34337974
111,30.37287907,69.34345638
112,30.37285355,69.34349389
113,30.37277368,69.34363980
114,30.37274252,69.34370949
115,30.37266042,69.34379795
116,30.37257933,69.34388887
117,30.37254429,69.34407466
118,30.37251095,69.34418826
119,30.37246575,69.34427168
120,30.37238269,69.34438250
121,30.37231827,69.34453009
122,30.37233014,69.34472733
123,30.37229836,69.34479979
124,30.37226821,69.34498896
125,30.37229695,69.34499258
126,30.37221540,69.34511270
127,30.37218053,69.34527845
128,30.37216544,69.34543647
129,30.37221448,69.34558162
130,30.37214726,69.34575686
131,30.37219684,69.34587976
132,30.37224074,69.34601180
