sequence_no,KF_lat,KF_long
2,29.8624496,77.8945007
3,29.8624439,77.8944931
4,29.8624439,77.8945007
5,29.8624458,77.8945084
6,29.8624458,77.8945084
7,29.8624458,77.8945084
8,29.8624458,77.8945084
9,29.8624458,77.8945084
10,29.8624477,77.8945084
11,29.8624477,77.8945084
12,29.8624496,77.8945084
13,29.8624496,77.8945084
14,29.8624496,77.8945084
15,29.8624496,77.8945084
16,29.8624496,77.8945084
17,29.8624496,77.8945084
18,29.8624496,77.894516
19,29.8624496,77.8945084
20,29.8624516,77.894516
21,29.8624516,77.8945084
22,29.8624516,77.8945084
23,29.8624496,77.8945084
24,29.8624516,77.8945084
25,29.8624516,77.8945084
26,29.8624516,77.8945084
27,29.8624516,77.8945084
28,29.8624516,77.8945084
29,29.8624516,77.8945084
30,29.8624516,77.8945084
31,29.8624516,77.8945084
32,29.8624516,77.8945084
33,29.8624516,77.8945084
34,29.8624477,77.8945084
35,29.8624458,77.8945084
36,29.8624439,77.8945084
37,29.8624439,77.8945084
38,29.8624439,77.894516
39,29.8624439,77.894516
40,29.8624458,77.8945236
41,29.8624458,77.894516
42,29.8624458,77.8945236
43,29.8624439,77.894516
44,29.8624496,77.894516
45,29.8624516,77.894516
46,29.8624477,77.894516
47,29.8624516,77.894516
48,29.8624496,77.894516
49,29.8624535,77.8945236
50,29.8624554,77.8945236
51,29.8624554,77.8945236
52,29.8624554,77.8945236
53,29.8624573,77.8945236
54,29.8624535,77.8945236
55,29.8624496,77.8945236
56,29.8624516,77.8945236
57,29.8624516,77.8945236
58,29.8624535,77.8945236
59,29.8624516,77.8945236
60,29.8624668,77.894516
61,29.8624725,77.894516
62,29.8624725,77.8945084
63,29.8624725,77.8945084
64,29.8624706,77.8944778
65,29.8624725,77.8944855
66,29.8624725,77.8944626
67,29.8624725,77.8944702
68,29.8624725,77.8944397
69,29.8624744,77.8944473
70,29.8624783,77.8944168
71,29.8624802,77.8944244
72,29.8624821,77.8943863
73,29.862484,77.8943939
74,29.862484,77.8943634
75,29.862484,77.894371
76,29.862484,77.8943405
77,29.862484,77.8943481
78,29.8624859,77.89431
79,29.8624878,77.8943176
80,29.8624878,77.8942871
81,29.8624897,77.8942947
82,29.8624935,77.8942642
83,29.8624954,77.8942719
84,29.8624973,77.8942413
85,29.8624992,77.894249
86,29.8625011,77.8942184
87,29.8625011,77.8942261
88,29.8625031,77.8942032
89,29.862505,77.8942108
90,29.8625088,77.8941727
91,29.8625107,77.8941803
92,29.8625126,77.8941498
93,29.8625145,77.8941574
94,29.8625164,77.8941193
95,29.8625183,77.8941269
96,29.8625221,77.8940811
97,29.8625259,77.8940887
98,29.862524,77.8940506
99,29.862524,77.8940582
100,29.8625221,77.8940201
101,29.8625221,77.8940277
102,29.8625221,77.8939896
103,29.862524,77.8939972
104,29.8625317,77.8939514
105,29.8625374,77.893959
106,29.8625526,77.8939209
107,29.8625622,77.8939285
108,29.8625755,77.893898
109,29.8625851,77.8939056
110,29.8626003,77.8938751
111,29.8626099,77.8938828
112,29.8626251,77.8938522
113,29.8626347,77.8938599
114,29.8626537,77.8938293
115,29.8626652,77.893837
116,29.8626862,77.8938217
117,29.8626976,77.8938293
118,29.8627186,77.8938141
119,29.8627281,77.8938217
120,29.8627491,77.8937988
121,29.8627605,77.8938065
122,29.8627834,77.8938065
123,29.8627968,77.8938065
124,29.8628178,77.8938065
125,29.8628292,77.8938065
126,29.8628502,77.8938065
127,29.8628578,77.8938065
128,29.8628769,77.8938141
129,29.8628902,77.8938141
130,29.8629093,77.8938141
131,29.8629208,77.8938141
132,29.8629436,77.8938141
133,29.862957,77.8938141
134,29.8629799,77.8938141
135,29.8629913,77.8938141
136,29.8630142,77.8938141
137,29.8630257,77.8938141
138,29.8630466,77.8938217
139,29.8630581,77.8938217
140,29.8630829,77.8938217
141,29.8630962,77.8938217
142,29.8631172,77.8938217
143,29.8631287,77.8938217
144,29.8631592,77.8938293
145,29.8631706,77.8938293
146,29.8631954,77.8938293
147,29.8632069,77.8938293
148,29.8632393,77.8938293
149,29.8632507,77.8938293
150,29.8632736,77.893837
151,29.8632851,77.8938293
152,29.8633099,77.893837
153,29.8633232,77.893837
154,29.863348,77.893837
155,29.8633595,77.893837
156,29.8633842,77.8938446
157,29.8633976,77.8938446
158,29.8634224,77.8938446
159,29.8634357,77.8938446
160,29.8634624,77.8938446
161,29.8634758,77.8938446
162,29.8635025,77.8938522
163,29.8635139,77.8938446
164,29.8635406,77.8938599
165,29.863554,77.8938522
166,29.8635864,77.8938599
167,29.8635979,77.8938599
168,29.8636227,77.8938599
169,29.863636,77.8938599
170,29.8636589,77.8938522
171,29.8636723,77.8938599
172,29.8636951,77.8938599
173,29.8637066,77.8938599
174,29.8637371,77.8938675
175,29.8637505,77.8938599
176,29.8637753,77.8938751
177,29.8637886,77.8938675
178,29.8638248,77.8938904
179,29.8638382,77.8938828
180,29.8638668,77.893898
181,29.8638802,77.8938904
182,29.8639069,77.8939056
183,29.8639202,77.893898
184,29.8639507,77.8939133
185,29.8639622,77.8939133
186,29.8639851,77.8939209
187,29.8639984,77.8939133
188,29.8640232,77.8939209
189,29.8640366,77.8939209
190,29.8640575,77.893898
191,29.864069,77.8939056
192,29.8640919,77.8938675
193,29.8641033,77.8938751
194,29.8641148,77.893837
195,29.8641224,77.8938446
196,29.8641281,77.8937988
197,29.8641319,77.8938065
198,29.8641319,77.8937607
199,29.8641338,77.8937683
200,29.8641376,77.8937302
201,29.8641396,77.8937378
202,29.8641434,77.893692
203,29.8641472,77.8936996
204,29.8641472,77.8936615
205,29.8641453,77.8936691
206,29.8641472,77.8936234
207,29.8641472,77.893631
208,29.8641491,77.8935699
209,29.8641491,77.8935852
210,29.8641491,77.8935318
211,29.864151,77.8935394
212,29.8641491,77.8934937
213,29.8641491,77.8935013
214,29.8641472,77.8934479
215,29.8641472,77.8934555
