sequence_no,KF_lat,KF_long
1,30.37529386,69.34589379
2,30.37540305,69.34604740
3,30.37535490,69.34590395
4,30.37537618,69.34594929
5,30.37537794,69.34608652
6,30.37550626,69.34608626
7,30.37550147,69.34605855
8,30.37545240,69.34606782
9,30.37559672,69.34604571
10,30.37558287,69.34616262
11,30.37567337,69.34615500
12,30.37571412,69.34617605
13,30.37559309,69.34600447
14,30.37573686,69.34603034
15,30.37579656,69.34602534
16,30.37590063,69.34605392
17,30.37575492,69.34614011
18,30.37591019,69.34602635
19,30.37596707,69.34610273
20,30.37609900,69.34604519
21,30.37609210,69.34608474
22,30.37624925,69.34595638
23,30.37602511,69.34601815
24,30.37614498,69.34598398
25,30.37625783,69.34598497
26,30.37621440,69.34604312
27,30.37628881,69.34583798
28,30.37633165,69.34580062
29,30.37631434,69.34588979
30,30.37637368,69.34580939
31,30.37646423,69.34566170
32,30.37654351,69.34569938
33,30.37650108,69.34572966
34,30.37648446,69.34556263
35,30.37663118,69.34558132
36,30.37656606,69.34561500
37,30.37666709,69.34555502
38,30.37668963,69.34546321
39,30.37672526,69.34538695
40,30.37677959,69.34526988
41,30.37696933,69.34508430
42,30.37680030,69.34518961
43,30.37690380,69.34522018
44,30.37689445,69.34494662
45,30.37693924,69.34493050
46,30.37673373,69.34482754
47,30.37687896,69.34481126
48,30.37693507,69.34488099
49,30.37677121,69.34472988
50,30.37684629,69.34455844
51,30.37690717,69.34445073
52,30.37686140,69.34446671
53,30.37684308,69.34428347
54,30.37673999,69.34420690
55,30.37694167,69.34420860
56,30.37683915,69.34414621
57,30.37684534,69.34420127
58,30.37678704,69.34396751
59,30.37677806,69.34394573
60,30.37668221,69.34384181
61,30.37680053,69.34367931
62,30.37666639,69.34359396
63,30.37663873,69.34367556
64,30.37662581,69.34349219
65,30.37651316,69.34336628
66,30.37656123,69.34334583
67,30.37649890,69.34337738
68,30.37651118,69.34333572
69,30.37640070,69.34323568
70,30.37626503,69.34312312
71,30.37630008,69.34298306
72,30.37620188,69.34309000
73,30.37614713,69.34290876
74,30.37609195,69.34293109
75,30.37593305,69.34277591
76,30.37598357,69.34276776
77,30.37591314,69.34260807
78,30.37562590,69.34262579
79,30.37564319,69.34267849
80,30.37556976,69.34259664
81,30.37560979,69.34266099
82,30.37541497,69.34246895
83,30.37541794,69.34235986
84,30.37531503,69.34241875
85,30.37521118,69.34236521
86,30.37516385,69.34248201
87,30.37502123,69.34247445
88,30.37495691,69.34234413
89,30.37483666,69.34241549
90,30.37481740,69.34248241
91,30.37460850,69.34246641
92,30.37454479,69.34242635
93,30.37444673,69.34257364
94,30.37431550,69.34258208
95,30.37426410,69.34252616
96,30.37414345,69.34252876
97,30.37409284,69.34253972
98,30.37391419,69.34245692
99,30.37393385,69.34273733
100,30.37377688,69.34270375
101,30.37367192,69.34269712
102,30.37361731,69.34269126
103,30.37354045,69.34276103
104,30.37351171,69.34280072
105,30.37325028,69.34292217
106,30.37337446,69.34300330
107,30.37317345,69.34319403
108,30.37310845,69.34303908
109,30.37315037,69.34318878
110,30.37297578,69.34329846
111,30.37287210,69.34337905
112,30.37279176,69.34349315
113,30.37277908,69.34354108
114,30.37270865,69.34387778
115,30.37262415,69.34386568
116,30.37263560,69.34391849
117,30.37265260,69.34411511
118,30.37243684,69.34412481
119,30.37246508,69.34435604
120,30.37234283,69.34452730
121,30.37237041,69.34442722
122,30.37227484,69.34461441
123,30.37233908,69.34469286
124,30.37226429,69.34484324
125,30.37222062,69.34500915
126,30.37226939,69.34520578
127,30.37221891,69.34527603
128,30.37227265,69.34548323
129,30.37214046,69.34557716
130,30.37222672,69.34570948
131,30.37214120,69.34595998
132,30.37211245,69.34599241
133,30.37226472,69.34605617
134,30.37231039,69.34633436
135,30.37240415,69.34632003
136,30.37206560,69.34662495
137,30.37228041,69.34665361
138,30.37232960,69.34682314
139,30.37239813,69.34698121
140,30.37243858,69.34703641
141,30.37263398,69.34719568
142,30.37246401,69.34732737
143,30.37270362,69.34767945
144,30.37268814,69.34768258
145,30.37281901,69.34782865
146,30.37283889,69.34798007
147,30.37306606,69.34808163
148,30.37299092,69.34826031
149,30.37291099,69.34818738
150,30.37314138,69.34836983
151,30.37326777,69.34849605
152,30.37354883,69.34860930
153,30.37349388,69.34862432
154,30.37358251,69.34871245
155,30.37369474,69.34882854
156,30.37374905,69.34895788
157,30.37388077,69.34904688
158,30.37392472,69.34926531
159,30.37416433,69.34923344
160,30.37439936,69.34935306
161,30.37441345,69.34932835
162,30.37464040,69.34947565
163,30.37458310,69.34935532
164,30.37493155,69.34949052
165,30.37510232,69.34939419
166,30.37515738,69.34944670
167,30.37532040,69.34955974
168,30.37536134,69.34948300
169,30.37562438,69.34960811
170,30.37565349,69.34958997
171,30.37588821,69.34966088
172,30.37606631,69.34960016
173,30.37615435,69.34954452
174,30.37627698,69.34954927
175,30.37645826,69.34956527
176,30.37654539,69.34948613
177,30.37672426,69.34938642
178,30.37694849,69.34937188
179,30.37699846,69.34937062
