sequence_no,KF_lat,KF_long
2,29.8624649,77.8945236
3,29.8624477,77.8944931
4,29.8624516,77.894516
5,29.8624554,77.8945389
6,29.8624592,77.8945618
7,29.8624611,77.894577
8,29.8624611,77.8945847
9,29.8624611,77.8945923
10,29.8624611,77.8945923
11,29.8624611,77.8945923
12,29.8624611,77.8945923
13,29.8624611,77.8945923
14,29.862463,77.8945923
15,29.862463,77.8945923
16,29.8624611,77.8945999
17,29.8624592,77.8945999
18,29.8624592,77.8946075
19,29.8624573,77.8946152
20,29.8624554,77.8946152
21,29.8624554,77.8946228
22,29.8624535,77.8946228
23,29.8624516,77.8946304
24,29.8624496,77.8946304
25,29.8624496,77.8946304
26,29.8624477,77.8946304
27,29.8624477,77.8946304
28,29.8624458,77.8946304
29,29.8624458,77.8946381
30,29.8624458,77.8946304
31,29.8624458,77.8946304
32,29.8624458,77.8946381
33,29.8624458,77.8946304
34,29.8624439,77.8946304
35,29.8624382,77.8946304
36,29.8624287,77.8946304
37,29.8624191,77.8946304
38,29.8624115,77.8946228
39,29.8624058,77.8946152
40,29.8624001,77.8946152
41,29.8623962,77.8946152
42,29.8623943,77.8946152
43,29.8623924,77.8946152
44,29.8623962,77.8946228
45,29.862402,77.8946304
46,29.8624077,77.8946304
47,29.8624115,77.8946304
48,29.8624172,77.8946228
49,29.862421,77.8946228
50,29.8624287,77.8946228
51,29.8624344,77.8946152
52,29.8624401,77.8946152
53,29.8624439,77.8946075
54,29.862442,77.8945999
55,29.8624363,77.8945923
56,29.8624249,77.8945847
57,29.8624153,77.894577
58,29.8624096,77.894577
59,29.862402,77.894577
60,29.862402,77.8945694
61,29.8624096,77.8945694
62,29.8624191,77.8945618
63,29.8624325,77.8945618
64,29.8624458,77.8945541
65,29.8624573,77.8945541
66,29.8624668,77.8945465
67,29.8624744,77.8945465
68,29.8624802,77.8945389
69,29.862484,77.8945313
70,29.8624878,77.894516
71,29.8624897,77.8945084
72,29.8624954,77.8944931
73,29.8624973,77.8944855
74,29.8624973,77.8944626
75,29.8624973,77.894455
76,29.8624954,77.8944397
77,29.8624935,77.8944321
78,29.8624935,77.8944168
79,29.8624935,77.8944016
80,29.8624954,77.8943863
81,29.8624954,77.8943787
82,29.8624992,77.8943634
83,29.8625011,77.8943481
84,29.862505,77.8943405
85,29.8625069,77.8943253
86,29.8625069,77.8943176
87,29.8625088,77.8943024
88,29.8625107,77.8942947
89,29.8625126,77.8942871
90,29.8625183,77.8942719
91,29.8625202,77.8942566
92,29.862524,77.8942413
93,29.862524,77.8942337
94,29.8625278,77.8942184
95,29.8625298,77.8942108
96,29.8625336,77.8941879
97,29.8625355,77.8941727
98,29.8625355,77.8941574
99,29.8625336,77.8941422
100,29.8625317,77.8941269
101,29.8625298,77.8941116
102,29.8625317,77.8940964
103,29.8625317,77.8940887
104,29.8625374,77.8940659
105,29.8625412,77.8940506
106,29.8625526,77.8940277
107,29.8625622,77.8940201
108,29.8625774,77.8939972
109,29.8625889,77.8939896
110,29.862606,77.8939743
111,29.8626194,77.8939667
112,29.8626347,77.8939438
113,29.862648,77.8939362
114,29.8626671,77.8939209
115,29.8626804,77.8939133
116,29.8627014,77.8939056
117,29.8627167,77.8939056
118,29.8627377,77.8939056
119,29.862751,77.8939056
120,29.8627701,77.893898
121,29.8627815,77.8938904
122,29.8628006,77.8938904
123,29.8628159,77.8938904
124,29.8628368,77.8938904
125,29.8628521,77.893898
126,29.8628731,77.893898
127,29.8628826,77.8938904
128,29.862896,77.8938904
129,29.8629017,77.8938828
130,29.8629169,77.8938751
131,29.8629265,77.8938751
132,29.8629475,77.8938751
133,29.8629627,77.8938828
134,29.8629875,77.8938904
135,29.8630028,77.8938904
136,29.8630276,77.893898
137,29.8630428,77.893898
138,29.8630638,77.8939056
139,29.8630791,77.8939056
140,29.8631001,77.8939056
141,29.8631134,77.8939133
142,29.8631344,77.8939133
143,29.8631458,77.8939209
144,29.8631668,77.8939209
145,29.8631821,77.8939209
146,29.863203,77.8939209
147,29.8632183,77.8939285
148,29.8632431,77.8939209
149,29.8632622,77.8939209
150,29.863287,77.8939285
151,29.8633022,77.8939285
152,29.8633251,77.8939285
153,29.8633423,77.8939285
154,29.8633652,77.8939285
155,29.8633804,77.8939285
156,29.8634033,77.8939285
157,29.8634186,77.8939285
158,29.8634415,77.8939362
159,29.8634567,77.8939362
160,29.8634796,77.8939362
161,29.8634949,77.8939362
162,29.8635197,77.8939362
163,29.8635349,77.8939362
164,29.8635559,77.8939438
165,29.8635712,77.8939438
166,29.8635941,77.8939514
167,29.8636112,77.8939514
168,29.8636341,77.8939514
169,29.8636513,77.8939514
170,29.8636761,77.893959
171,29.8636932,77.893959
172,29.8637161,77.8939667
173,29.8637314,77.893959
174,29.8637505,77.893959
175,29.8637638,77.8939667
176,29.8637867,77.8939667
177,29.863802,77.8939743
178,29.8638287,77.8939819
179,29.8638477,77.8939896
180,29.8638763,77.8939972
181,29.8638954,77.8940048
182,29.8639221,77.8940048
183,29.8639393,77.8940048
184,29.8639641,77.8940048
185,29.8639812,77.8940048
186,29.8640022,77.8940048
187,29.8640175,77.8940048
188,29.8640404,77.8940048
189,29.8640575,77.8939972
190,29.8640766,77.8939896
191,29.86409,77.8939819
192,29.864109,77.8939743
193,29.8641205,77.893959
194,29.8641338,77.8939438
195,29.8641434,77.8939285
196,29.8641491,77.8939056
197,29.864151,77.8938904
198,29.864151,77.8938675
199,29.8641491,77.8938446
200,29.864151,77.8938217
201,29.8641491,77.8938065
202,29.8641529,77.8937836
203,29.8641529,77.8937759
204,29.8641529,77.8937531
205,29.864151,77.8937454
206,29.864151,77.8937225
207,29.864151,77.8937149
208,29.8641529,77.893692
209,29.8641529,77.8936768
210,29.8641529,77.8936462
211,29.8641529,77.893631
212,29.864151,77.8936005
213,29.8641491,77.8935852
214,29.8641472,77.8935547
215,29.8641453,77.8935394
216,29.8641415,77.8935089
217,29.8641415,77.8934937
218,29.8641415,77.8934708
219,29.8641396,77.8934555
220,29.8641415,77.893425
221,29.8641434,77.8934097
222,29.8641491,77.8933792
223,29.8641548,77.893364
224,29.8641644,77.8933411
225,29.8641701,77.8933258
226,29.8641739,77.8933029
227,29.8641777,77.8932877
228,29.8641815,77.8932648
229,29.8641834,77.8932495
230,29.8641872,77.893219
231,29.8641911,77.8932037
