sequence_no,KF_lat,KF_long
1,30.37527908,69.34591294
2,30.37531580,69.34600468
3,30.37535750,69.34599552
4,30.37539442,69.34598467
5,30.37542141,69.34603150
6,30.37544652,69.34604066
7,30.37551062,69.34603113
8,30.37552520,69.34606311
9,30.37558656,69.34605300
10,30.37561166,69.34607233
11,30.37564582,69.34607239
12,30.37567056,69.34606530
13,30.37574476,69.34607186
14,30.37573050,69.34610975
15,30.37579737,69.34611226
16,30.37585998,69.34606994
17,30.37587278,69.34607357
18,30.37591423,69.34608820
19,30.37594931,69.34607080
20,30.37597593,69.34603859
21,30.37605333,69.34601303
22,30.37611114,69.34599030
23,30.37611023,69.34594359
24,30.37618965,69.34595550
25,30.37623712,69.34594164
26,30.37620442,69.34591448
27,30.37630263,69.34585305
28,30.37635338,69.34581900
29,30.37638770,69.34582762
30,30.37641890,69.34574668
31,30.37646741,69.34572370
32,30.37651227,69.34573197
33,30.37658114,69.34567787
34,30.37651770,69.34556166
35,30.37662053,69.34553430
36,30.37663809,69.34546919
37,30.37665498,69.34543224
38,30.37664454,69.34538474
39,30.37675942,69.34535575
40,30.37674672,69.34524210
41,30.37678062,69.34519090
42,30.37676560,69.34512521
43,30.37681214,69.34508927
44,30.37683077,69.34496844
45,30.37678666,69.34495089
46,30.37683190,69.34490566
47,30.37688425,69.34479907
48,30.37689403,69.34472009
49,30.37688803,69.34465873
50,30.37689902,69.34459200
51,30.37687122,69.34446751
52,30.37680721,69.34441563
53,30.37686994,69.34433567
54,30.37687073,69.34423846
55,30.37683070,69.34415859
56,30.37684136,69.34411059
57,30.37679881,69.34404926
58,30.37683613,69.34396984
59,30.37674543,69.34383286
60,30.37673193,69.34380666
61,30.37669162,69.34370451
62,30.37667839,69.34365100
63,30.37664111,69.34356707
64,30.37661874,69.34349905
65,30.37657955,69.34343162
66,30.37652637,69.34331797
67,30.37648618,69.34327222
68,30.37641565,69.34317454
69,30.37639195,69.34316074
70,30.37632409,69.34304016
71,30.37626102,69.34298974
72,30.37618258,69.34297193
73,30.37613019,69.34291023
74,30.37608086,69.34283676
75,30.37598585,69.34282132
76,30.37595950,69.34277285
77,30.37583406,69.34265902
78,30.37578337,69.34268591
79,30.37569735,69.34259133
80,30.37560579,69.34258427
81,30.37552938,69.34254298
82,30.37546367,69.34252698
83,30.37540073,69.34250975
84,30.37528902,69.34242406
85,30.37523135,69.34242744
86,30.37513487,69.34238726
87,30.37506596,69.34239894
88,30.37496992,69.34240871
89,30.37483123,69.34238185
90,30.37475907,69.34236540
91,30.37464057,69.34241484
92,30.37453551,69.34237098
93,30.37446461,69.34241169
94,30.37440474,69.34246213
95,30.37428962,69.34244288
96,30.37422360,69.34247364
97,30.37409526,69.34252333
98,30.37401088,69.34257977
99,30.37391285,69.34255799
100,30.37382742,69.34260126
101,30.37373107,69.34268474
102,30.37362076,69.34272925
103,30.37354698,69.34278556
104,30.37348783,69.34281916
105,30.37340258,69.34289608
106,30.37332657,69.34299209
107,30.37321443,69.34306358
108,30.37316281,69.34316442
109,30.37307352,69.34320085
110,30.37297627,69.34333631
111,30.37291933,69.34342867
112,30.37285317,69.34351997
113,30.37278243,69.34359814
114,30.37272644,69.34371057
115,30.37264048,69.34378043
116,30.37258205,69.34392996
117,30.37253601,69.34402078
118,30.37252433,69.34415612
119,30.37245793,69.34424089
120,30.37242247,69.34438422
121,30.37234406,69.34455485
122,30.37231853,69.34460831
123,30.37231300,69.34476373
124,30.37227851,69.34496261
125,30.37223673,69.34505396
126,30.37218545,69.34515447
127,30.37222076,69.34528850
128,30.37221832,69.34545364
129,30.37221680,69.34562100
130,30.37218264,69.34573614
131,30.37219599,69.34588315
132,30.37220962,69.34603651
133,30.37223542,69.34614311
134,30.37225656,69.34627099
135,30.37228469,69.34637901
136,30.37229192,69.34654192
137,30.37227747,69.34671992
138,30.37236254,69.34684709
139,30.37240545,69.34696044
140,30.37246737,69.34713058
141,30.37254973,69.34724036
142,30.37258848,69.34741289
143,30.37263225,69.34750378
144,30.37271546,69.34765068
145,30.37275669,69.34775269
146,30.37285847,69.34787364
147,30.37293467,69.34805565
148,30.37302222,69.34810419
149,30.37306583,69.34826183
150,30.37316611,69.34838892
151,30.37328205,69.34844819
152,30.37341556,69.34857571
153,30.37350318,69.34867524
154,30.37358403,69.34879737
155,30.37373732,69.34889496
156,30.37388169,69.34892637
157,30.37391723,69.34901177
158,30.37407167,69.34910917
159,30.37418119,69.34918676
160,30.37434706,69.34929898
161,30.37448131,69.34933098
162,30.37458231,69.34939512
163,30.37473115,69.34938841
164,30.37485285,69.34944421
165,30.37498120,69.34952498
166,30.37513150,69.34951679
167,30.37531960,69.34956905
168,30.37544169,69.34956213
169,30.37559076,69.34957175
170,30.37574015,69.34959132
171,30.37592166,69.34958893
172,30.37601806,69.34960763
173,30.37617116,69.34956375
174,30.37636430,69.34952550
175,30.37645606,69.34953325
176,30.37664239,69.34946998
