sequence_no,KF_lat,KF_long
1,30.37523917,69.34588710
2,30.37531170,69.34602748
3,30.37535520,69.34600113
4,30.37540179,69.34601911
5,30.37540871,69.34602328
6,30.37546472,69.34603752
7,30.37551514,69.34604884
8,30.37549262,69.34606476
9,30.37556450,69.34604553
10,30.37559357,69.34608460
11,30.37570798,69.34607165
12,30.37572101,69.34607480
13,30.37570924,69.34605995
14,30.37572397,69.34614756
15,30.37582272,69.34608150
16,30.37585952,69.34608666
17,30.37591002,69.34608756
18,30.37595212,69.34607733
19,30.37595749,69.34603106
20,30.37597811,69.34601447
21,30.37604567,69.34602638
22,30.37611075,69.34602448
23,30.37615392,69.34595906
24,30.37617593,69.34595035
25,30.37626500,69.34592110
26,30.37614988,69.34589551
27,30.37627732,69.34579766
28,30.37632166,69.34586528
29,30.37641054,69.34582896
30,30.37639610,69.34574606
31,30.37648198,69.34572287
32,30.37650971,69.34570392
33,30.37659251,69.34573030
34,30.37651677,69.34560785
35,30.37659694,69.34553246
36,30.37668725,69.34541875
37,30.37666248,69.34540571
38,30.37664731,69.34544785
39,30.37677056,69.34534340
40,30.37675573,69.34524659
41,30.37676155,69.34519397
42,30.37678226,69.34513446
43,30.37682214,69.34509430
44,30.37684062,69.34498505
45,30.37685021,69.34496537
46,30.37684493,69.34494124
47,30.37681537,69.34479239
48,30.37690501,69.34468687
49,30.37688118,69.34464527
50,30.37690150,69.34456194
51,30.37684769,69.34442386
52,30.37685226,69.34445308
53,30.37690476,69.34432761
54,30.37681878,69.34426134
55,30.37678674,69.34415114
56,30.37679740,69.34415480
57,30.37674614,69.34397709
58,30.37683903,69.34392911
59,30.37672067,69.34384238
60,30.37672100,69.34380015
61,30.37666442,69.34368011
62,30.37668107,69.34364295
63,30.37665784,69.34360509
64,30.37660340,69.34348128
65,30.37654833,69.34344231
66,30.37653262,69.34330804
67,30.37649031,69.34323421
68,30.37640014,69.34315801
69,30.37640300,69.34317560
70,30.37632784,69.34302759
71,30.37623885,69.34300332
72,30.37618823,69.34299137
73,30.37613527,69.34291004
74,30.37605388,69.34287650
75,30.37597431,69.34277809
76,30.37593590,69.34272723
77,30.37586344,69.34269060
78,30.37572529,69.34272195
79,30.37572684,69.34262815
80,30.37552945,69.34262473
81,30.37549641,69.34253685
82,30.37546922,69.34256966
83,30.37540439,69.34253728
84,30.37535423,69.34242785
