sequence_no,KF_lat,KF_long
1,30.37532271,69.34595925
2,30.37536864,69.34594359
3,30.37541176,69.34589262
4,30.37541812,69.34598315
5,30.37547784,69.34598032
6,30.37548910,69.34598652
7,30.37550478,69.34603781
8,30.37547952,69.34605165
9,30.37558045,69.34604785
10,30.37556850,69.34604513
11,30.37560543,69.34604544
12,30.37567490,69.34606257
13,30.37572823,69.34608792
14,30.37573977,69.34607765
15,30.37578796,69.34607226
16,30.37584768,69.34610280
17,30.37588580,69.34604076
18,30.37594149,69.34602402
19,30.37594655,69.34610177
20,30.37603529,69.34601813
21,30.37604799,69.34594702
22,30.37615764,69.34594699
23,30.37617757,69.34590768
24,30.37618758,69.34595413
25,30.37616593,69.34591192
26,30.37631442,69.34594258
27,30.37633354,69.34590917
28,30.37631569,69.34582314
29,30.37633447,69.34582003
30,30.37648244,69.34575419
31,30.37652233,69.34573654
32,30.37645793,69.34565323
33,30.37657920,69.34562445
34,30.37656427,69.34560471
35,30.37661940,69.34546390
36,30.37670128,69.34550898
37,30.37666542,69.34544237
38,30.37667652,69.34536450
39,30.37667955,69.34531350
40,30.37674833,69.34523837
41,30.37675611,69.34520518
42,30.37678871,69.34516938
43,30.37685782,69.34512200
44,30.37684062,69.34493658
45,30.37684712,69.34505620
46,30.37685718,69.34483641
47,30.37679107,69.34484982
48,30.37687271,69.34472178
49,30.37687761,69.34463201
50,30.37688056,69.34457567
51,30.37685676,69.34451635
52,30.37687067,69.34441906
53,30.37683391,69.34429592
54,30.37683917,69.34422650
55,30.37691158,69.34415306
56,30.37678475,69.34415401
57,30.37680566,69.34402437
58,30.37676383,69.34392440
59,30.37680146,69.34383593
60,30.37671139,69.34379096
61,30.37670728,69.34371690
62,30.37664978,69.34362032
63,30.37659668,69.34348773
64,30.37659029,69.34358282
65,30.37655853,69.34343186
66,30.37649957,69.34337184
67,30.37647730,69.34328578
68,30.37643389,69.34320475
69,30.37638903,69.34310118
70,30.37627744,69.34308936
71,30.37629784,69.34303498
72,30.37617242,69.34291868
73,30.37611920,69.34284652
74,30.37608313,69.34289317
75,30.37600415,69.34280996
76,30.37596964,69.34275826
77,30.37588628,69.34275949
78,30.37579186,69.34268964
79,30.37571814,69.34261319
80,30.37557896,69.34257941
81,30.37559832,69.34253073
82,30.37544199,69.34245911
83,30.37539180,69.34245730
84,30.37526640,69.34242344
85,30.37520575,69.34246969
86,30.37516132,69.34243211
87,30.37501791,69.34244120
88,30.37490742,69.34237682
89,30.37490236,69.34241865
90,30.37482038,69.34238755
91,30.37464817,69.34237122
92,30.37460636,69.34243187
93,30.37448403,69.34246870
94,30.37438965,69.34243804
95,30.37434268,69.34249209
96,30.37421201,69.34245798
97,30.37414190,69.34250538
98,30.37403139,69.34258263
99,30.37390265,69.34258214
100,30.37382566,69.34262479
101,30.37371568,69.34270905
102,30.37369384,69.34277796
103,30.37360235,69.34280182
104,30.37348633,69.34280760
105,30.37339837,69.34295502
106,30.37330108,69.34298782
107,30.37325233,69.34315848
108,30.37318069,69.34316589
109,30.37305774,69.34317782
110,30.37292785,69.34332379
111,30.37289604,69.34339072
112,30.37286056,69.34350111
113,30.37278313,69.34362226
114,30.37274682,69.34370231
115,30.37269848,69.34384017
116,30.37262561,69.34394192
117,30.37255159,69.34405103
118,30.37248290,69.34418959
119,30.37243384,69.34426422
120,30.37238698,69.34440342
121,30.37240130,69.34455736
122,30.37231274,69.34462769
123,30.37230406,69.34477572
124,30.37223895,69.34491415
125,30.37223301,69.34506867
126,30.37222730,69.34520360
127,30.37221491,69.34529980
128,30.37219663,69.34540933
129,30.37220495,69.34553390
130,30.37219321,69.34568175
131,30.37222654,69.34582837
132,30.37219269,69.34601530
133,30.37226726,69.34619027
134,30.37228813,69.34629465
135,30.37229696,69.34644582
136,30.37229630,69.34659024
137,30.37231120,69.34665798
138,30.37234137,69.34685184
139,30.37241347,69.34694572
140,30.37246365,69.34710044
141,30.37253082,69.34724532
142,30.37258536,69.34736435
143,30.37262532,69.34752860
144,30.37265152,69.34764201
145,30.37275497,69.34776684
146,30.37288000,69.34783743
147,30.37296468,69.34802549
148,30.37297489,69.34814378
149,30.37305560,69.34826961
150,30.37315849,69.34836869
151,30.37330164,69.34845243
152,30.37341576,69.34851891
153,30.37345662,69.34868220
154,30.37360544,69.34878198
155,30.37372297,69.34888680
156,30.37384003,69.34890652
157,30.37394370,69.34903233
158,30.37406124,69.34913905
159,30.37417031,69.34919620
160,30.37433262,69.34928241
161,30.37446235,69.34928048
162,30.37457703,69.34935212
163,30.37469329,69.34941452
164,30.37479426,69.34942684
165,30.37500987,69.34945884
166,30.37518538,69.34947232
167,30.37528463,69.34948826
168,30.37540764,69.34957001
169,30.37562326,69.34954713
170,30.37573381,69.34954974
171,30.37588989,69.34960507
172,30.37606751,69.34957844
173,30.37620817,69.34957862
174,30.37627117,69.34958092
175,30.37647740,69.34951512
176,30.37666829,69.34947129
177,30.37682233,69.34937337
178,30.37691626,69.34935294
179,30.37708533,69.34931885
180,30.37721013,69.34927056
181,30.37736796,69.34915625
182,30.37754221,69.34911124
183,30.37766971,69.34909001
184,30.37771981,69.34891750
185,30.37791277,69.34890811
186,30.37807940,69.34881779
187,30.37819466,69.34861391
188,30.37826674,69.34853995
189,30.37841643,69.34840667
190,30.37859194,69.34826713
191,30.37870340,69.34812373
192,30.37877675,69.34801326
193,30.37887084,69.34784815
194,30.37903655,69.34773327
195,30.37910517,69.34760074
196,30.37927181,69.34742463
197,30.37931838,69.34723265
198,30.37930798,69.34708854
199,30.37944774,69.34688983
200,30.37948375,69.34673457
201,30.37955586,69.34654162
202,30.37966325,69.34636154
203,30.37969568,69.34626040
204,30.37978479,69.34599681
205,30.37980150,69.34579429
206,30.37982104,69.34563239
207,30.37989141,69.34539442
208,30.37991216,69.34520634
209,30.37998829,69.34504949
210,30.37996467,69.34476167
211,30.37986731,69.34460067
212,30.37990158,69.34441513
213,30.37990418,69.34413663
214,30.37991586,69.34392991
215,30.37993088,69.34380639
216,30.37988867,69.34362289
217,30.37981633,69.34337106
218,30.37982985,69.34316090
219,30.37974176,69.34297431
220,30.37970151,69.34273169
221,30.37964914,69.34257743
222,30.37960013,69.34243241
223,30.37947758,69.34216159
224,30.37939742,69.34196785
225,30.37926193,69.34177571
226,30.37921613,69.34159939
227,30.37905546,69.34138856
228,30.37895299,69.34121101
229,30.37889696,69.34107094
230,30.37878002,69.34086304
231,30.37858633,69.34070076
232,30.37847221,69.34053063
233,30.37834509,69.34047249
234,30.37822142,69.34024517
235,30.37800708,69.34009247
