sequence_no,KF_lat,KF_long
1,30.37532650,69.34594476
2,30.37533616,69.34596414
3,30.37534778,69.34603114
4,30.37541083,69.34604210
5,30.37546548,69.34602568
6,30.37546746,69.34596971
7,30.37545857,69.34597410
8,30.37559724,69.34604470
9,30.37555806,69.34611462
10,30.37559521,69.34605877
11,30.37564765,69.34608066
12,30.37565695,69.34604900
13,30.37569827,69.34608331
14,30.37576674,69.34607065
15,30.37581940,69.34614782
16,30.37578553,69.34611771
17,30.37588062,69.34606081
18,30.37588347,69.34604914
19,30.37596222,69.34604388
20,30.37598534,69.34603918
21,30.37603054,69.34601808
22,30.37609001,69.34603626
23,30.37617948,69.34588681
24,30.37616407,69.34596778
25,30.37617727,69.34595363
26,30.37630081,69.34586835
27,30.37628586,69.34587273
28,30.37635882,69.34578838
29,30.37634851,69.34577791
30,30.37640339,69.34580029
31,30.37643718,69.34572897
32,30.37650254,69.34574421
33,30.37653805,69.34563067
34,30.37654235,69.34565548
35,30.37662913,69.34561545
36,30.37662370,69.34543363
37,30.37662142,69.34540316
38,30.37667375,69.34533399
39,30.37669801,69.34526729
40,30.37675042,69.34529220
41,30.37678427,69.34516802
42,30.37675609,69.34515903
43,30.37683650,69.34508967
44,30.37679567,69.34493731
45,30.37677054,69.34497670
46,30.37686542,69.34482199
47,30.37685711,69.34483657
48,30.37685583,69.34471082
49,30.37684269,69.34471032
50,30.37680986,69.34454145
51,30.37688560,69.34457123
52,30.37685767,69.34447281
53,30.37688635,69.34429338
54,30.37687008,69.34430465
55,30.37688018,69.34419353
56,30.37683728,69.34412519
57,30.37684768,69.34399838
58,30.37675393,69.34393497
59,30.37677268,69.34385496
60,30.37675880,69.34380104
61,30.37676682,69.34371322
62,30.37663805,69.34365860
63,30.37658666,69.34353875
64,30.37659670,69.34351927
65,30.37654465,69.34336823
66,30.37654393,69.34337359
67,30.37649252,69.34326474
68,30.37646380,69.34321177
69,30.37640451,69.34312594
70,30.37633991,69.34305803
71,30.37621302,69.34299914
72,30.37621716,69.34296015
73,30.37614108,69.34288593
74,30.37610226,69.34278817
75,30.37599530,69.34278808
76,30.37586846,69.34274312
77,30.37583334,69.34268630
78,30.37578917,69.34262514
79,30.37572671,69.34260924
80,30.37558965,69.34261977
81,30.37556826,69.34253737
82,30.37547333,69.34246348
83,30.37542801,69.34246348
84,30.37528794,69.34251089
85,30.37524250,69.34241116
86,30.37507795,69.34245205
87,30.37499574,69.34245253
88,30.37497501,69.34234982
89,30.37489902,69.34240932
90,30.37482958,69.34238119
91,30.37465869,69.34235879
92,30.37458902,69.34242370
93,30.37449411,69.34243332
94,30.37441179,69.34240821
95,30.37429336,69.34247556
96,30.37424851,69.34252875
97,30.37410556,69.34255466
98,30.37400856,69.34256920
99,30.37398098,69.34260670
100,30.37381376,69.34271292
101,30.37375285,69.34269993
102,30.37365315,69.34279464
103,30.37358139,69.34279769
104,30.37346350,69.34286422
105,30.37339972,69.34295800
106,30.37331994,69.34294143
107,30.37319374,69.34297865
108,30.37315048,69.34320238
109,30.37313052,69.34319295
110,30.37296502,69.34333008
111,30.37291929,69.34344528
112,30.37287161,69.34343921
113,30.37278906,69.34364052
114,30.37269410,69.34369609
115,30.37264958,69.34385420
116,30.37265660,69.34393681
117,30.37251062,69.34398948
118,30.37248671,69.34419627
119,30.37244878,69.34426660
120,30.37235323,69.34442486
121,30.37241291,69.34454435
122,30.37232206,69.34464357
123,30.37228237,69.34481786
124,30.37226055,69.34488923
125,30.37222657,69.34505893
126,30.37220481,69.34514422
127,30.37219021,69.34524738
128,30.37222833,69.34544905
129,30.37223470,69.34553657
130,30.37216385,69.34570799
131,30.37216298,69.34579607
132,30.37222672,69.34603555
133,30.37223269,69.34614999
134,30.37225845,69.34632620
135,30.37232933,69.34642052
136,30.37232503,69.34650686
137,30.37231721,69.34667839
138,30.37233736,69.34678208
139,30.37240968,69.34694829
140,30.37242494,69.34710757
141,30.37254251,69.34726902
142,30.37260270,69.34739642
143,30.37263871,69.34751592
144,30.37269125,69.34767425
145,30.37277940,69.34777373
146,30.37288724,69.34789170
147,30.37291871,69.34793128
148,30.37299720,69.34809206
149,30.37309009,69.34829727
150,30.37320714,69.34838373
151,30.37328669,69.34840209
152,30.37338823,69.34851683
153,30.37354421,69.34863281
154,30.37360079,69.34874402
155,30.37373465,69.34881325
156,30.37385957,69.34901022
157,30.37395374,69.34906119
158,30.37411410,69.34912499
159,30.37418411,69.34916333
160,30.37436636,69.34931342
161,30.37445494,69.34930552
162,30.37459920,69.34934733
163,30.37473422,69.34946266
164,30.37483269,69.34945743
165,30.37500261,69.34952597
166,30.37521316,69.34951474
167,30.37527290,69.34957714
168,30.37539899,69.34957052
169,30.37554461,69.34957869
170,30.37567161,69.34953326
171,30.37590058,69.34956245
172,30.37603528,69.34960407
173,30.37620736,69.34958688
174,30.37630641,69.34955191
175,30.37653913,69.34955418
176,30.37660600,69.34952864
177,30.37673927,69.34945013
178,30.37694114,69.34944729
179,30.37707720,69.34932793
180,30.37724511,69.34923014
181,30.37739528,69.34921363
182,30.37751567,69.34914312
183,30.37769535,69.34904307
184,30.37780797,69.34898587
185,30.37789622,69.34886354
186,30.37810471,69.34876798
187,30.37822906,69.34865635
188,30.37840026,69.34851353
189,30.37840682,69.34842484
190,30.37851848,69.34824163
191,30.37861393,69.34814297
192,30.37881202,69.34807306
193,30.37889131,69.34781495
194,30.37897677,69.34770243
195,30.37911202,69.34757296
196,30.37918819,69.34747976
197,30.37930720,69.34725547
198,30.37935422,69.34708506
199,30.37940839,69.34695484
200,30.37957235,69.34670758
201,30.37960474,69.34653757
202,30.37968078,69.34635261
203,30.37970916,69.34616892
204,30.37978846,69.34603507
205,30.37981419,69.34580129
206,30.37980497,69.34562352
207,30.37987246,69.34536794
208,30.37990133,69.34518049
209,30.37991754,69.34505610
210,30.37995237,69.34480514
211,30.37996855,69.34455890
212,30.37995439,69.34439484
213,30.37996483,69.34416952
214,30.37984381,69.34393311
215,30.37989398,69.34374752
216,30.37989204,69.34354542
217,30.37985892,69.34334738
218,30.37980114,69.34306318
219,30.37974141,69.34293710
220,30.37969761,69.34273141
221,30.37966258,69.34258031
222,30.37958755,69.34232499
223,30.37944094,69.34218212
224,30.37939497,69.34194648
225,30.37931124,69.34174312
226,30.37921704,69.34158912
227,30.37904523,69.34138920
228,30.37895905,69.34122867
229,30.37889135,69.34102989
230,30.37876255,69.34080809
231,30.37858397,69.34069319
232,30.37846488,69.34054578
233,30.37832999,69.34038689
234,30.37818245,69.34024028
235,30.37805508,69.34012557
236,30.37786496,69.33998286
237,30.37779153,69.33981529
238,30.37759348,69.33976297
239,30.37740706,69.33962309
240,30.37729394,69.33947549
241,30.37702999,69.33943171
242,30.37685945,69.33930251
243,30.37667061,69.33924345
244,30.37654739,69.33913645
245,30.37627468,69.33903174
246,30.37614444,69.33904761
247,30.37590633,69.33895293
248,30.37570521,69.33889730
249,30.37546896,69.33885303
250,30.37523417,69.33884791
