sequence_no,KF_lat,KF_long
2,29.873980833333334,79.90771483333333
3,29.8624191,77.8944321
4,29.862422266666666,77.89444733333333
5,29.862428066666666,77.89448043333333
6,29.86243376666667,77.89452619999999
7,29.862438833333332,77.89456936666666
8,29.86244263333333,77.89460496666668
9,29.862446433333332,77.89463043333335
10,29.862448333333333,77.89465076666666
11,29.862445166666664,77.89466606666666
12,29.862437566666667,77.89467623333333
13,29.86243376666667,77.89468893333333
14,29.8624287,77.89468893333333
15,29.862421,77.89468893333333
16,29.86240833333333,77.89468636666666
17,29.86239493333333,77.89468636666666
18,29.862383533333333,77.89467873333334
19,29.8623791,77.89467366666666
20,29.86238163333333,77.89466600000002
21,29.862394299999995,77.89465583333333
22,29.862409599999996,77.89464316666665
23,29.862426799999998,77.89462533333334
24,29.8624401,77.89461006666667
25,29.8624516,77.8945923
26,29.8624573,77.894577
27,29.862466800000004,77.8945618
28,29.8624744,77.8945541
29,29.8624878,77.8945389
30,29.8624973,77.8945313
31,29.8625088,77.894516
32,29.8625183,77.894516
33,29.8625278,77.8945007
34,29.862535499999996,77.89449816666666
35,29.8625431,77.8944931
36,29.8625469,77.8944855
37,29.8625546,77.8944702
38,29.8625584,77.8944626
39,29.8625603,77.8944473
40,29.8625622,77.8944397
41,29.8625622,77.8944168
42,29.8625603,77.8944016
43,29.862566,77.8943787
44,29.8625736,77.894371
45,29.8625851,77.8943634
46,29.862594600000005,77.8943558
47,29.8626022,77.8943405
48,29.862606,77.8943329
49,29.8626118,77.89431
50,29.8626156,77.8942947
51,29.8626194,77.8942719
52,29.8626213,77.8942566
53,29.8626213,77.8942337
54,29.8626213,77.8942184
55,29.862627,77.8941956
56,29.8626289,77.8941803
57,29.8626385,77.8941574
58,29.862644199999995,77.8941422
59,29.8626537,77.8941269
60,29.862659499999996,77.8941116
61,29.8626766,77.8940964
62,29.8626881,77.8940887
63,29.862705200000004,77.8940735
64,29.862716700000004,77.8940659
65,29.8627338,77.894043
66,29.8627472,77.8940353
67,29.8627625,77.8940201
68,29.862771999999996,77.8940201
69,29.8627872,77.8940125
70,29.8627987,77.8940125
71,29.8628216,77.8940201
72,29.8628368,77.8940201
73,29.8628635,77.8940277
74,29.8628807,77.8940277
75,29.862899799999997,77.8940277
76,29.8629112,77.8940277
77,29.8629284,77.8940277
78,29.862936,77.8940277
79,29.862951300000002,77.8940201
80,29.8629589,77.8940125
81,29.8629761,77.8940125
82,29.8629875,77.8940277
83,29.863008499999996,77.8940353
84,29.8630199,77.8940506
85,29.863039,77.8940582
86,29.8630505,77.8940582
87,29.863069500000005,77.8940582
88,29.863081000000005,77.8940506
89,29.8630981,77.8940506
90,29.8631096,77.8940506
91,29.8631268,77.8940506
92,29.863136299999997,77.8940506
93,29.8631573,77.8940506
94,29.8631725,77.8940582
95,29.8631973,77.8940582
96,29.8632126,77.8940582
97,29.8632412,77.8940506
98,29.863260299999997,77.894043
99,29.8632908,77.894043
100,29.8633099,77.8940506
101,29.8633347,77.8940506
102,29.8633518,77.8940582
103,29.8633766,77.8940582
104,29.86339,77.8940582
105,29.8634109,77.8940659
106,29.8634224,77.8940735
107,29.8634453,77.8940811
108,29.8634586,77.8940887
109,29.863483399999996,77.8940887
110,29.863498699999997,77.8940964
111,29.8635216,77.8940964
112,29.863538700000003,77.8940964
113,29.8635654,77.894104
114,29.8635845,77.8941116
115,29.863615,77.8941193
116,29.8636341,77.8941193
117,29.863662700000003,77.8941193
118,29.863679900000005,77.8941193
119,29.8637066,77.8941193
120,29.8637257,77.8941193
121,29.863748599999997,77.8941116
122,29.8637619,77.894104
123,29.8637791,77.8941116
124,29.863786700000002,77.8941116
125,29.863802000000003,77.8941193
126,29.8638096,77.8941269
127,29.8638248,77.8941345
128,29.8638344,77.8941422
129,29.863859199999997,77.8941422
130,29.8638763,77.8941345
131,29.863903000000004,77.8941422
132,29.8639221,77.8941422
133,29.8639526,77.8941498
134,29.863971699999997,77.8941574
135,29.8640003,77.8941574
136,29.8640194,77.8941574
137,29.864048,77.894165
138,29.8640652,77.894165
139,29.86409,77.894165
140,29.8641033,77.894165
141,29.8641224,77.8941574
142,29.8641319,77.8941498
143,29.8641472,77.8941422
144,29.864154800000005,77.8941345
145,29.864168200000005,77.8941193
146,29.8641777,77.894104
147,29.8641872,77.8940811
148,29.864193,77.8940659
149,29.8641987,77.8940277
150,29.8641987,77.8940048
151,29.8642006,77.8939667
152,29.8641987,77.8939438
153,29.8642025,77.8939133
154,29.864204399999995,77.8938904
155,29.8642139,77.8938599
156,29.864219699999996,77.893837
157,29.8642292,77.8938065
158,29.8642349,77.8937836
159,29.8642406,77.8937531
160,29.8642426,77.8937378
161,29.8642464,77.8937149
162,29.8642502,77.8937073
163,29.864254,77.8936844
164,29.8642597,77.8936768
165,29.864261600000003,77.8936539
166,29.864263500000003,77.8936386
167,29.864265400000004,77.8936157
168,29.8642693,77.8936005
169,29.864273100000002,77.8935852
170,29.864275000000003,77.8935699
171,29.864276900000004,77.8935471
172,29.864276900000004,77.8935318
173,29.8642826,77.8935013
174,29.8642864,77.893486
175,29.8642941,77.8934555
176,29.8642998,77.8934402
177,29.8643112,77.8934174
178,29.864316899999995,77.8934021
179,29.8643265,77.8933792
180,29.864332199999996,77.8933716
181,29.8643398,77.8933563
182,29.864345599999996,77.8933487
183,29.8643513,77.8933258
184,29.8643532,77.8933182
185,29.864357,77.8933029
186,29.8643608,77.8932953
187,29.8643684,77.8932724
188,29.8643742,77.8932571
189,29.8643799,77.8932343
190,29.8643799,77.8932037
191,29.8643799,77.8931732
192,29.8643818,77.8931656
193,29.864389400000004,77.8931503
194,29.8643951,77.8931427
195,29.8643951,77.8931198
196,29.8643951,77.8930969
