sequence_no,KF_lat,KF_long
2,29.8624191,77.8944473
3,29.8624229,77.8944626
4,29.8624229,77.8944855
5,29.8624249,77.8945007
6,29.8624249,77.8945084
7,29.8624268,77.8945084
8,29.8624287,77.8945084
9,29.8624287,77.8945084
10,29.8624268,77.8945007
11,29.8624249,77.8945007
12,29.8624249,77.8945084
13,29.8624268,77.8945007
14,29.8624268,77.8945084
15,29.8624229,77.8945084
16,29.8624229,77.8945084
17,29.862421,77.8945084
18,29.8624229,77.8945084
19,29.8624249,77.8945084
20,29.8624325,77.8945007
21,29.8624363,77.8945007
22,29.8624401,77.8944855
23,29.862442,77.8944931
24,29.8624439,77.8944702
25,29.8624458,77.8944778
26,29.8624477,77.8944244
27,29.8624535,77.8944397
28,29.8624573,77.8944168
29,29.862463,77.8944244
30,29.8624668,77.8943863
31,29.8624706,77.8944016
32,29.8624783,77.8943558
33,29.8624821,77.894371
34,29.8624878,77.8943558
35,29.8624916,77.8943634
36,29.8624973,77.8943024
37,29.8625011,77.8943253
38,29.8625069,77.8942947
39,29.8625088,77.89431
40,29.8625126,77.8942566
41,29.8625164,77.8942719
42,29.8625202,77.8942184
43,29.8625259,77.8942337
44,29.8625355,77.8941803
45,29.8625431,77.8942108
46,29.8625488,77.8941574
47,29.8625546,77.8941727
48,29.8625584,77.8941193
49,29.8625622,77.8941422
50,29.8625641,77.8940964
51,29.8625641,77.8941116
52,29.862566,77.8940582
53,29.8625679,77.8940811
54,29.8625698,77.8940353
55,29.8625698,77.8940506
56,29.8625774,77.8939972
57,29.8625851,77.8940201
58,29.8625927,77.8939743
59,29.8626022,77.8939896
60,29.8626137,77.8939667
61,29.8626251,77.8939743
62,29.8626385,77.8939133
63,29.8626518,77.8939362
64,29.8626671,77.8938904
65,29.8626785,77.8939056
66,29.8626919,77.8938828
67,29.8627033,77.8938904
68,29.8627167,77.8938828
69,29.8627281,77.8938828
70,29.8627453,77.8938751
71,29.8627605,77.8938751
72,29.8627834,77.8938599
73,29.8628006,77.8938751
74,29.8628197,77.8938446
75,29.8628349,77.8938599
76,29.8628502,77.8938751
77,29.8628597,77.8938522
78,29.8628712,77.8938599
79,29.8628826,77.8938751
80,29.862896,77.8938751
81,29.8629112,77.8938599
82,29.8629284,77.8938751
83,29.8629436,77.8938675
84,29.8629608,77.8938751
85,29.8629742,77.8938751
86,29.8629894,77.8938751
87,29.8630047,77.8938751
88,29.863018,77.8938751
89,29.8630333,77.8938751
90,29.8630524,77.8938828
91,29.8630657,77.8938828
92,29.863081,77.8938828
93,29.8631001,77.8938828
94,29.8631229,77.8938828
95,29.863142,77.8938828
96,29.863163,77.8938828
97,29.863184,77.8938828
98,29.8632107,77.8938904
99,29.8632317,77.8938904
100,29.8632507,77.8939056
101,29.8632679,77.893898
102,29.863287,77.893898
103,29.8633041,77.893898
104,29.8633232,77.8939056
105,29.8633385,77.893898
106,29.8633556,77.8939133
107,29.8633728,77.8939056
108,29.8633957,77.8939209
109,29.8634148,77.8939133
110,29.8634377,77.8939362
111,29.8634548,77.8939133
112,29.8634777,77.8939362
113,29.8634987,77.8939285
114,29.8635235,77.8939438
115,29.8635502,77.8939438
116,29.863575,77.8939438
117,29.8635921,77.8939438
118,29.8636131,77.8939514
119,29.8636303,77.8939514
120,29.8636513,77.8939438
