sequence_no,KF_lat,KF_long
2,29.8622818,77.8944168
3,29.8624229,77.8944473
4,29.8624229,77.8944473
5,29.8624229,77.894455
6,29.862421,77.894455
7,29.862421,77.894455
8,29.8624229,77.894455
9,29.8624229,77.894455
10,29.8624229,77.894455
11,29.8624229,77.894455
12,29.8624249,77.8944626
13,29.8624249,77.8944626
14,29.8624268,77.8944626
15,29.8624287,77.8944626
16,29.8624268,77.8944626
17,29.8624268,77.8944626
18,29.8624306,77.8944626
19,29.8624306,77.8944626
20,29.8624325,77.894455
21,29.8624325,77.894455
22,29.8624401,77.8944397
23,29.862442,77.8944397
24,29.8624458,77.8944244
25,29.8624458,77.8944244
26,29.8624516,77.8943939
27,29.8624516,77.8943939
28,29.8624611,77.894371
29,29.862463,77.894371
30,29.8624706,77.8943481
31,29.8624706,77.8943481
32,29.8624821,77.8943253
33,29.862484,77.8943253
34,29.8624897,77.89431
35,29.8624897,77.89431
36,29.8624992,77.8942795
37,29.8625011,77.8942795
38,29.8625088,77.8942566
39,29.8625107,77.8942566
40,29.8625145,77.8942261
41,29.8625145,77.8942261
42,29.8625278,77.8941879
43,29.8625298,77.8941879
44,29.8625393,77.8941574
45,29.8625412,77.8941574
46,29.862545,77.8941269
47,29.862545,77.8941269
48,29.8625507,77.8940964
49,29.8625526,77.8940964
50,29.8625565,77.8940659
51,29.8625565,77.8940659
52,29.8625584,77.8940353
53,29.8625584,77.8940353
54,29.8625717,77.8940048
55,29.8625736,77.8940048
56,29.8625908,77.8939743
57,29.8625946,77.8939743
58,29.862608,77.8939438
59,29.8626099,77.8939438
60,29.8626366,77.8939209
61,29.8626404,77.8939209
62,29.8626595,77.8938904
63,29.8626614,77.8938904
64,29.8626842,77.8938599
65,29.8626881,77.8938599
66,29.8627071,77.8938446
67,29.862711,77.8938446
68,29.8627338,77.893837
69,29.8627377,77.893837
70,29.8627682,77.8938293
71,29.862772,77.8938293
72,29.8628063,77.8938217
73,29.862812,77.8938217
74,29.8628349,77.8938141
75,29.8628368,77.8938141
76,29.8628616,77.8938217
77,29.8628654,77.8938217
78,29.8628922,77.8938217
79,29.862896,77.8938217
80,29.8629208,77.8938217
81,29.8629246,77.8938217
82,29.8629532,77.8938293
83,29.8629589,77.8938293
84,29.8629856,77.8938293
85,29.8629894,77.8938293
86,29.8630161,77.8938293
87,29.8630199,77.8938293
