sequence_no,KF_lat,KF_long
2,29.8983955,83.9120941
3,29.862421,77.8943558
4,29.8624268,77.8943787
5,29.8624344,77.8944016
6,29.8624363,77.8944321
7,29.8624363,77.894455
8,29.8624344,77.8944778
9,29.8624344,77.8944931
10,29.8624325,77.8945007
11,29.8624268,77.894516
12,29.862421,77.894516
13,29.862421,77.8945313
14,29.862421,77.8945389
15,29.8624172,77.8945389
16,29.8624096,77.8945389
17,29.8624039,77.8945465
18,29.8624001,77.8945465
19,29.862402,77.8945465
20,29.8624096,77.8945465
21,29.862421,77.8945389
22,29.8624268,77.8945313
23,29.8624382,77.894516
24,29.862442,77.8945084
25,29.8624458,77.8944931
26,29.8624458,77.8944931
27,29.8624516,77.8944626
28,29.8624573,77.8944626
29,29.8624706,77.8944397
30,29.8624744,77.8944397
31,29.862484,77.8944168
32,29.8624878,77.8944168
33,29.8625011,77.8943939
34,29.8625031,77.8944016
35,29.8625088,77.8943863
36,29.8625107,77.8943863
37,29.8625221,77.8943481
38,29.8625221,77.8943481
39,29.8625278,77.8943253
40,29.8625298,77.8943329
41,29.8625298,77.8942947
42,29.8625298,77.8942947
43,29.862545,77.8942566
44,29.8625526,77.8942642
45,29.862566,77.8942413
46,29.862566,77.8942413
47,29.8625698,77.8942032
48,29.8625698,77.8942032
49,29.8625755,77.8941727
50,29.8625774,77.8941727
51,29.8625813,77.8941422
52,29.8625832,77.8941422
53,29.8625832,77.8941116
54,29.8625832,77.8941116
55,29.8625965,77.8940735
56,29.8625984,77.8940811
57,29.8626175,77.894043
58,29.8626194,77.894043
59,29.8626328,77.8940125
60,29.8626347,77.8940125
61,29.8626633,77.8939972
62,29.8626671,77.8939896
63,29.8626881,77.893959
64,29.86269,77.893959
65,29.8627148,77.8939285
66,29.8627186,77.8939285
67,29.8627377,77.8939209
68,29.8627396,77.8939209
69,29.8627644,77.8939133
70,29.8627682,77.8939133
71,29.8628025,77.8939133
72,29.8628063,77.8939133
73,29.8628445,77.8939133
74,29.8628483,77.8939056
75,29.8628712,77.8939056
76,29.8628712,77.8939056
77,29.862896,77.8939133
78,29.8628979,77.8939133
79,29.8629246,77.8939056
80,29.8629246,77.893898
81,29.8629532,77.8939133
82,29.862957,77.8939209
83,29.8629875,77.8939285
84,29.8629894,77.8939285
85,29.863018,77.8939285
86,29.8630199,77.8939285
87,29.8630486,77.8939285
88,29.8630505,77.8939209
89,29.8630772,77.8939285
90,29.863081,77.8939209
91,29.8631096,77.8939362
92,29.8631096,77.8939285
93,29.8631458,77.8939362
94,29.8631516,77.8939362
95,29.863184,77.8939362
96,29.8631878,77.8939285
97,29.8632317,77.8939362
98,29.8632374,77.8939285
99,29.8632774,77.8939438
100,29.8632813,77.8939362
101,29.8633156,77.8939514
102,29.8633175,77.8939438
103,29.8633537,77.8939514
104,29.8633556,77.8939438
105,29.8633862,77.893959
106,29.8633862,77.893959
107,29.8634243,77.8939667
108,29.8634281,77.8939667
109,29.8634624,77.8939743
110,29.8634644,77.8939667
111,29.8635006,77.8939819
112,29.8635044,77.8939743
113,29.8635464,77.8939896
114,29.8635502,77.8939896
115,29.863596,77.8939972
116,29.8635979,77.8939972
117,29.8636398,77.8939972
118,29.8636436,77.8939896
119,29.8636856,77.8940048
120,29.8636894,77.8939972
121,29.8637218,77.8939896
122,29.8637238,77.8939819
123,29.8637466,77.8940048
124,29.8637466,77.8940048
125,29.8637733,77.8940125
126,29.8637733,77.8940125
127,29.863802,77.8940201
128,29.8638039,77.8940201
129,29.8638477,77.8940125
130,29.8638535,77.8940048
131,29.8638897,77.8940201
132,29.8638935,77.8940201
133,29.8639355,77.8940353
134,29.8639393,77.8940277
135,29.8639755,77.8940353
136,29.8639793,77.8940353
137,29.8640175,77.8940353
138,29.8640213,77.8940353
139,29.8640537,77.8940353
140,29.8640537,77.8940353
141,29.8640823,77.8940277
142,29.8640823,77.8940201
143,29.8641129,77.8940125
144,29.8641129,77.8940125
145,29.8641338,77.8939819
146,29.8641376,77.8939819
147,29.864151,77.8939438
148,29.864151,77.8939362
149,29.8641548,77.8938828
150,29.8641548,77.8938828
151,29.8641605,77.8938446
152,29.8641605,77.8938446
153,29.8641758,77.8938065
154,29.8641796,77.8938065
155,29.8641949,77.8937454
156,29.8641987,77.8937454
157,29.8642101,77.893692
158,29.864212,77.893692
159,29.8642159,77.8936462
160,29.8642159,77.8936539
161,29.8642235,77.8936234
162,29.8642254,77.8936234
163,29.864233,77.8935852
164,29.8642349,77.8935852
165,29.864233,77.8935394
166,29.8642349,77.8935394
167,29.8642368,77.8935013
168,29.8642406,77.8935013
169,29.8642445,77.8934708
170,29.8642445,77.8934708
171,29.8642464,77.8934174
172,29.8642464,77.893425
173,29.8642597,77.8933792
174,29.8642635,77.8933792
175,29.864275,77.8933411
176,29.8642788,77.8933411
177,29.8642921,77.8933029
178,29.8642941,77.8933029
179,29.8643036,77.8932648
180,29.8643055,77.8932724
181,29.8643131,77.8932419
182,29.864315,77.8932419
183,29.8643208,77.8932037
184,29.8643208,77.8932114
185,29.8643265,77.8931885
186,29.8643284,77.8931885
187,29.8643436,77.8931351
188,29.8643475,77.8931427
189,29.8643513,77.8930969
190,29.8643494,77.8930893
191,29.8643532,77.8930511
192,29.8643551,77.8930664
193,29.8643703,77.8930359
194,29.8643723,77.8930359
195,29.8643665,77.8929825
196,29.8643646,77.8929825
197,29.8643665,77.8929443
198,29.8643684,77.892952
199,29.8643761,77.8928986
200,29.8643799,77.8929062
201,29.8643932,77.892868
202,29.8643951,77.892868
203,29.8644028,77.8928299
204,29.8644066,77.8928299
205,29.8644142,77.8927917
206,29.8644161,77.8927994
207,29.8644218,77.8927383
208,29.8644218,77.892746
209,29.8644295,77.8926849
210,29.8644314,77.8926849
211,29.864439,77.8926315
212,29.8644409,77.8926315
213,29.8644562,77.8925858
214,29.8644581,77.8925858
215,29.8644581,77.8925323
216,29.86446,77.89254
217,29.8644562,77.8924942
218,29.8644524,77.8924866
219,29.8644543,77.8924484
220,29.8644543,77.8924561
221,29.8644543,77.8924103
222,29.8644562,77.8924179
223,29.8644562,77.8923798
224,29.8644581,77.8923874
225,29.8644524,77.8923416
226,29.8644524,77.8923492
227,29.8644524,77.8923035
228,29.8644543,77.8923111
229,29.8644543,77.8922653
230,29.8644562,77.8922653
231,29.8644581,77.8922348
232,29.8644619,77.8922348
233,29.8644638,77.8922043
234,29.8644638,77.8922043
235,29.8644543,77.8921967
