sequence_no,KF_lat,KF_long
1,30.37530610,69.34509775
2,30.37540785,69.34520645
3,30.37545668,69.34530860
4,30.37555863,69.34543206
5,30.37567060,69.34550698
6,30.37574773,69.34561411
7,30.37584867,69.34571306
8,30.37593209,69.34584244
9,30.37601095,69.34593453
10,30.37605287,69.34599967
11,30.37616949,69.34614825
12,30.37623491,69.34623011
13,30.37633399,69.34632942
14,30.37638960,69.34642847
15,30.37644719,69.34652044
16,30.37653602,69.34665399
17,30.37660471,69.34670982
18,30.37666485,69.34682701
19,30.37671732,69.34693867
20,30.37675375,69.34702048
21,30.37681288,69.34710515
22,30.37687980,69.34717444
23,30.37691435,69.34726443
24,30.37691481,69.34739436
25,30.37697849,69.34748500
26,30.37700993,69.34753777
27,30.37703092,69.34765965
28,30.37705038,69.34771721
29,30.37708653,69.34779643
30,30.37709187,69.34788098
31,30.37710657,69.34794497
32,30.37710987,69.34804271
33,30.37709284,69.34810771
34,30.37708889,69.34820523
35,30.37707725,69.34826034
36,30.37709129,69.34830321
37,30.37705000,69.34837356
38,30.37702919,69.34841171
39,30.37700776,69.34852279
40,30.37695498,69.34852558
41,30.37692478,69.34864607
42,30.37687076,69.34866633
43,30.37682396,69.34869154
44,30.37681177,69.34881183
45,30.37671752,69.34883184
46,30.37667553,69.34885081
47,30.37662866,69.34897093
48,30.37657827,69.34898687
49,30.37652396,69.34899188
50,30.37641296,69.34903486
51,30.37636821,69.34907493
52,30.37628933,69.34910353
53,30.37622732,69.34913211
54,30.37612190,69.34914265
55,30.37603817,69.34918419
56,30.37596802,69.34919349
57,30.37589099,69.34919197
58,30.37577053,69.34924506
59,30.37570764,69.34924257
60,30.37559950,69.34923250
61,30.37552723,69.34926350
62,30.37542165,69.34924300
63,30.37535153,69.34927730
64,30.37526664,69.34927976
65,30.37518654,69.34927521
66,30.37506619,69.34925295
67,30.37500153,69.34928839
68,30.37490567,69.34925573
69,30.37482395,69.34920483
70,30.37472756,69.34920296
71,30.37464337,69.34923162
72,30.37455689,69.34916579
73,30.37443245,69.34915229
74,30.37439446,69.34913963
75,30.37429465,69.34912969
76,30.37424928,69.34907980
77,30.37417960,69.34902717
78,30.37409314,69.34899253
79,30.37402439,69.34897666
80,30.37398533,69.34891180
81,30.37391826,69.34887600
82,30.37387680,69.34881752
