sequence_no,KF_lat,KF_long
1,30.37531062,69.34523798
2,30.37537224,69.34525124
3,30.37559595,69.34531497
4,30.37553924,69.34535440
5,30.37568496,69.34561500
6,30.37583153,69.34558532
7,30.37583055,69.34558872
8,30.37592477,69.34579635
9,30.37595716,69.34576040
10,30.37607213,69.34609878
11,30.37622707,69.34613218
12,30.37620625,69.34636398
13,30.37639902,69.34629492
14,30.37644391,69.34645767
15,30.37662235,69.34662346
16,30.37652225,69.34676305
17,30.37652234,69.34672236
18,30.37650688,69.34679587
19,30.37673045,69.34696934
20,30.37677389,69.34691062
21,30.37694629,69.34710860
22,30.37684597,69.34725772
23,30.37683641,69.34732745
24,30.37699798,69.34725909
25,30.37691282,69.34750426
26,30.37702819,69.34755887
27,30.37700751,69.34766505
28,30.37696490,69.34773299
29,30.37705511,69.34785568
30,30.37691254,69.34798020
31,30.37712427,69.34798870
32,30.37698598,69.34808262
33,30.37691662,69.34797325
34,30.37711175,69.34816489
35,30.37710891,69.34826706
36,30.37700802,69.34835329
37,30.37705718,69.34849843
38,30.37704846,69.34847492
39,30.37688981,69.34852711
40,30.37695061,69.34845730
41,30.37698072,69.34858993
42,30.37679012,69.34867500
43,30.37679755,69.34876317
44,30.37690153,69.34887033
45,30.37670982,69.34881808
46,30.37669732,69.34885667
47,30.37660865,69.34885557
48,30.37657269,69.34899600
49,30.37659136,69.34913064
50,30.37640184,69.34911956
51,30.37634656,69.34905417
52,30.37624318,69.34908131
53,30.37604902,69.34917594
54,30.37613351,69.34922178
55,30.37607340,69.34923097
56,30.37583484,69.34926334
57,30.37580838,69.34922325
58,30.37564059,69.34913205
59,30.37563981,69.34915710
60,30.37559878,69.34917257
61,30.37544486,69.34919087
62,30.37544945,69.34917246
63,30.37522647,69.34924555
64,30.37533660,69.34935833
65,30.37501329,69.34938834
66,30.37511448,69.34928107
67,30.37510903,69.34908369
68,30.37491639,69.34917190
69,30.37490624,69.34926503
70,30.37476004,69.34899705
71,30.37468222,69.34933619
72,30.37450141,69.34925281
73,30.37450060,69.34907944
74,30.37442729,69.34898821
75,30.37436785,69.34894739
76,30.37415041,69.34903369
77,30.37416842,69.34906934
78,30.37398976,69.34913622
79,30.37411463,69.34886340
80,30.37390894,69.34897845
81,30.37389508,69.34884870
82,30.37377433,69.34880724
83,30.37382362,69.34876738
84,30.37378072,69.34855924
85,30.37370716,69.34868879
86,30.37367967,69.34864981
87,30.37356553,69.34849352
88,30.37355628,69.34848496
89,30.37366811,69.34843719
90,30.37369500,69.34834549
91,30.37353300,69.34836245
92,30.37352472,69.34814765
93,30.37356504,69.34811647
94,30.37340053,69.34803609
95,30.37343160,69.34817844
96,30.37347458,69.34800683
97,30.37345428,69.34792974
98,30.37357871,69.34793040
99,30.37353234,69.34773448
100,30.37352414,69.34768260
101,30.37365206,69.34755357
102,30.37359761,69.34748113
103,30.37371428,69.34746860
104,30.37368932,69.34729345
105,30.37372797,69.34712344
106,30.37376103,69.34698903
107,30.37379806,69.34705101
108,30.37387032,69.34689685
109,30.37397343,69.34675454
110,30.37401867,69.34689264
111,30.37404928,69.34658138
112,30.37413961,69.34656959
113,30.37423627,69.34650256
114,30.37422909,69.34640957
115,30.37431008,69.34617684
116,30.37440140,69.34609581
117,30.37450388,69.34609046
118,30.37454768,69.34598125
119,30.37456257,69.34584210
120,30.37480590,69.34571787
121,30.37477235,69.34563539
122,30.37487164,69.34553698
123,30.37505671,69.34539738
124,30.37515819,69.34530862
125,30.37525448,69.34516751
126,30.37527092,69.34502090
127,30.37529095,69.34497391
128,30.37536280,69.34479791
129,30.37559133,69.34482059
130,30.37555998,69.34471227
131,30.37572309,69.34463853
132,30.37592030,69.34454392
133,30.37582226,69.34430370
134,30.37602604,69.34422167
135,30.37614936,69.34424363
136,30.37620223,69.34407491
137,30.37633413,69.34393167
138,30.37628118,69.34383681
139,30.37638793,69.34364902
140,30.37641704,69.34374177
141,30.37643564,69.34343139
142,30.37665366,69.34335844
143,30.37665985,69.34342463
144,30.37671330,69.34322618
145,30.37668556,69.34306909
146,30.37678584,69.34291833
147,30.37686685,69.34303809
148,30.37694889,69.34295561
149,30.37680681,69.34283414
150,30.37690849,69.34266102
151,30.37702353,69.34269956
152,30.37698341,69.34253321
153,30.37703095,69.34252872
154,30.37693676,69.34229176
155,30.37691722,69.34235506
156,30.37703214,69.34230810
157,30.37704911,69.34212695
158,30.37705421,69.34199099
159,30.37713758,69.34207235
160,30.37702199,69.34184769
161,30.37700185,69.34188061
162,30.37705404,69.34187078
163,30.37701897,69.34181568
164,30.37695858,69.34170182
165,30.37698950,69.34169892
166,30.37699798,69.34166515
167,30.37684705,69.34141095
168,30.37683340,69.34150951
169,30.37683693,69.34136364
170,30.37676425,69.34143195
171,30.37671338,69.34138544
172,30.37662669,69.34127532
173,30.37657750,69.34124466
174,30.37653636,69.34130312
175,30.37635163,69.34117347
176,30.37638897,69.34111557
177,30.37634164,69.34092672
178,30.37615394,69.34109012
179,30.37620439,69.34108187
180,30.37607961,69.34104811
181,30.37598891,69.34106077
182,30.37587270,69.34101020
183,30.37572909,69.34108151
184,30.37564333,69.34079034
185,30.37566458,69.34103758
186,30.37559389,69.34080489
187,30.37538641,69.34094664
188,30.37540614,69.34103999
189,30.37526275,69.34093621
190,30.37515152,69.34101480
191,30.37504439,69.34105243
192,30.37490425,69.34091422
193,30.37487576,69.34104211
194,30.37497744,69.34099424
195,30.37477878,69.34112984
196,30.37459927,69.34103547
197,30.37459989,69.34077585
198,30.37454736,69.34099162
199,30.37447063,69.34091396
200,30.37432177,69.34106174
201,30.37433270,69.34112188
202,30.37419801,69.34129976
203,30.37407663,69.34126491
204,30.37410422,69.34118906
205,30.37394342,69.34123617
206,30.37388629,69.34144192
207,30.37383425,69.34126508
208,30.37372815,69.34139415
209,30.37369898,69.34136598
210,30.37361619,69.34150838
211,30.37374058,69.34148244
212,30.37365900,69.34161402
213,30.37357872,69.34168342
214,30.37355353,69.34182612
215,30.37365405,69.34181358
216,30.37351350,69.34186718
217,30.37355328,69.34199655
218,30.37334939,69.34194429
219,30.37343507,69.34202218
220,30.37355552,69.34228976
221,30.37345497,69.34222196
222,30.37348064,69.34230145
223,30.37351047,69.34223462
224,30.37354145,69.34239861
225,30.37354046,69.34254572
226,30.37359823,69.34271190
227,30.37367651,69.34267731
228,30.37357576,69.34286823
229,30.37369559,69.34281104
230,30.37366617,69.34295875
231,30.37370958,69.34299463
232,30.37389423,69.34308061
233,30.37385455,69.34336134
234,30.37392841,69.34331885
235,30.37401273,69.34344018
236,30.37398503,69.34352734
237,30.37413677,69.34357832
238,30.37418333,69.34383952
239,30.37418823,69.34389116
240,30.37436922,69.34394425
241,30.37440840,69.34411714
242,30.37451570,69.34414302
243,30.37460864,69.34428677
244,30.37467206,69.34438209
245,30.37471712,69.34454293
246,30.37487192,69.34458115
247,30.37507334,69.34456412
248,30.37501665,69.34459596
249,30.37494790,69.34471810
250,30.37517013,69.34511318
