sequence_no,KF_lat,KF_long
1,30.37531688,69.34517644
2,30.37531732,69.34519825
3,30.37549651,69.34532801
4,30.37562399,69.34527640
5,30.37563350,69.34541767
6,30.37566977,69.34561267
7,30.37579943,69.34579318
8,30.37595711,69.34590814
9,30.37612423,69.34595250
10,30.37606695,69.34587664
11,30.37620879,69.34617889
12,30.37620944,69.34620428
13,30.37627448,69.34632886
14,30.37642117,69.34652039
15,30.37647442,69.34654743
16,30.37648648,69.34671763
17,30.37670196,69.34683768
18,30.37671149,69.34683298
19,30.37682805,69.34699725
20,30.37672324,69.34685540
21,30.37687833,69.34713611
22,30.37685497,69.34712301
23,30.37692937,69.34720613
24,30.37682856,69.34739695
25,30.37696303,69.34741266
26,30.37703781,69.34759263
27,30.37710109,69.34766535
28,30.37704540,69.34764491
29,30.37704295,69.34787875
30,30.37706332,69.34792558
31,30.37705628,69.34804284
32,30.37717365,69.34809242
33,30.37707822,69.34806183
34,30.37717024,69.34827649
35,30.37704476,69.34825238
36,30.37709661,69.34820840
37,30.37701407,69.34848219
38,30.37700793,69.34856245
39,30.37690350,69.34855165
40,30.37700074,69.34835492
41,30.37696291,69.34853347
42,30.37683240,69.34879331
43,30.37687974,69.34890722
44,30.37683229,69.34875612
45,30.37686026,69.34888090
46,30.37659802,69.34892328
47,30.37662918,69.34897321
48,30.37647872,69.34910629
49,30.37650637,69.34893551
50,30.37648167,69.34885612
51,30.37645232,69.34906421
52,30.37638693,69.34912867
53,30.37630800,69.34904995
54,30.37609512,69.34921585
55,30.37600005,69.34915867
56,30.37594409,69.34928310
57,30.37592145,69.34905139
58,30.37582629,69.34912487
59,30.37582961,69.34922163
60,30.37557589,69.34927575
61,30.37549747,69.34930983
62,30.37547408,69.34926836
63,30.37530830,69.34917399
64,30.37510479,69.34931684
65,30.37512566,69.34940301
66,30.37506418,69.34933968
67,30.37506616,69.34933743
68,30.37480799,69.34923982
69,30.37474943,69.34936860
70,30.37475366,69.34915604
71,30.37456834,69.34912818
72,30.37445843,69.34910780
73,30.37461398,69.34918213
74,30.37447296,69.34906934
75,30.37437423,69.34896606
76,30.37429700,69.34906077
77,30.37429297,69.34913982
78,30.37416505,69.34916138
79,30.37399976,69.34883726
80,30.37395366,69.34895213
81,30.37399125,69.34892467
82,30.37387712,69.34885886
83,30.37389430,69.34865266
84,30.37383049,69.34884812
85,30.37376708,69.34871237
86,30.37373206,69.34853959
87,30.37367280,69.34868045
88,30.37358647,69.34850046
89,30.37361466,69.34862248
90,30.37358536,69.34856105
91,30.37350528,69.34824081
92,30.37347918,69.34816784
93,30.37358724,69.34812062
94,30.37358335,69.34811805
95,30.37350102,69.34803210
96,30.37349029,69.34804426
97,30.37350140,69.34775179
98,30.37356115,69.34772909
99,30.37349559,69.34762965
100,30.37348566,69.34766437
101,30.37367247,69.34751597
102,30.37361223,69.34758602
103,30.37364842,69.34738261
104,30.37379605,69.34725847
105,30.37373035,69.34726497
106,30.37375605,69.34707491
107,30.37376221,69.34705583
108,30.37390996,69.34692845
109,30.37389191,69.34682353
110,30.37406330,69.34679911
111,30.37414935,69.34662815
112,30.37413698,69.34648111
113,30.37430798,69.34649763
114,30.37428123,69.34639905
115,30.37432778,69.34613576
116,30.37439492,69.34623277
117,30.37437813,69.34591507
118,30.37457304,69.34582682
119,30.37477325,69.34580915
120,30.37475426,69.34566107
121,30.37475683,69.34549439
122,30.37500029,69.34546993
123,30.37499832,69.34533310
124,30.37512451,69.34529539
125,30.37515858,69.34512818
126,30.37538610,69.34513109
127,30.37534435,69.34495338
128,30.37552755,69.34476621
129,30.37561262,69.34481705
130,30.37562956,69.34453171
131,30.37587097,69.34445369
132,30.37585496,69.34440925
133,30.37597621,69.34433876
134,30.37590721,69.34419631
135,30.37604161,69.34423166
136,30.37617551,69.34408513
137,30.37631623,69.34399983
138,30.37631037,69.34395846
139,30.37645031,69.34361376
140,30.37656085,69.34364559
141,30.37641734,69.34349953
142,30.37668990,69.34354997
143,30.37670604,69.34335129
144,30.37662891,69.34316342
145,30.37686015,69.34321161
146,30.37689389,69.34314728
147,30.37679860,69.34304341
148,30.37697322,69.34307302
149,30.37694411,69.34291253
150,30.37704037,69.34279302
151,30.37705612,69.34279939
152,30.37703113,69.34258967
153,30.37701730,69.34250093
154,30.37718822,69.34238507
155,30.37701542,69.34245683
156,30.37715074,69.34216703
157,30.37712326,69.34204647
158,30.37714298,69.34206270
159,30.37715212,69.34197075
160,30.37702613,69.34196195
161,30.37712367,69.34197557
162,30.37693252,69.34197291
163,30.37697076,69.34186216
164,30.37694881,69.34170609
165,30.37690554,69.34161371
166,30.37695004,69.34168663
167,30.37690336,69.34160194
168,30.37697361,69.34146671
169,30.37682619,69.34140906
170,30.37676233,69.34121661
171,30.37664065,69.34139050
172,30.37666918,69.34116978
173,30.37662456,69.34127351
174,30.37661503,69.34127778
175,30.37644372,69.34117417
176,30.37638446,69.34107580
177,30.37631988,69.34111821
178,30.37626647,69.34097642
179,30.37606512,69.34109664
180,30.37621478,69.34092403
181,30.37605067,69.34103045
182,30.37587532,69.34098705
183,30.37584393,69.34106624
184,30.37560196,69.34101211
185,30.37557199,69.34092393
186,30.37556891,69.34092528
187,30.37538800,69.34090859
188,30.37534767,69.34079118
189,30.37517888,69.34091687
190,30.37507955,69.34086740
191,30.37509157,69.34104542
192,30.37502736,69.34090934
193,30.37498130,69.34091542
194,30.37477376,69.34093025
195,30.37476047,69.34113108
196,30.37463567,69.34095677
197,30.37437863,69.34104866
198,30.37444881,69.34119567
199,30.37438202,69.34112033
200,30.37436286,69.34117070
201,30.37421948,69.34117107
202,30.37424074,69.34109693
203,30.37409357,69.34112997
204,30.37401564,69.34113212
205,30.37387997,69.34119579
206,30.37391568,69.34140753
207,30.37379831,69.34135300
208,30.37388257,69.34133674
209,30.37394570,69.34147726
210,30.37363153,69.34154657
211,30.37381789,69.34152056
212,30.37357881,69.34176707
213,30.37361834,69.34170747
214,30.37363322,69.34181143
215,30.37349732,69.34178707
216,30.37351401,69.34197402
217,30.37354165,69.34183480
218,30.37352565,69.34191966
219,30.37351847,69.34205331
220,30.37349131,69.34211844
221,30.37351498,69.34225696
222,30.37339951,69.34228292
223,30.37352796,69.34243398
224,30.37349883,69.34241332
225,30.37359364,69.34264840
226,30.37355025,69.34267292
227,30.37369396,69.34273889
228,30.37356881,69.34263085
229,30.37366129,69.34288388
230,30.37375021,69.34301130
231,30.37384543,69.34306510
232,30.37375509,69.34319833
233,30.37401296,69.34330624
234,30.37397471,69.34348079
235,30.37412111,69.34342485
236,30.37403087,69.34341275
237,30.37403533,69.34372846
238,30.37408867,69.34356679
239,30.37422617,69.34380259
240,30.37445328,69.34381203
241,30.37437318,69.34397567
242,30.37448557,69.34414973
243,30.37456184,69.34420325
244,30.37464318,69.34440646
245,30.37480190,69.34445575
246,30.37487115,69.34458352
247,30.37498330,69.34475539
248,30.37505352,69.34480881
249,30.37510574,69.34479150
250,30.37509523,69.34489524
