sequence_no,KF_lat,KF_long
2,29.8624249,77.8944702
3,29.8624458,77.8944778
4,29.8624496,77.8944855
5,29.8624458,77.8944931
6,29.8624382,77.8944778
7,29.8624344,77.8945007
8,29.8624306,77.8944931
9,29.8624287,77.8944931
10,29.8624249,77.8944931
11,29.8624229,77.8944931
12,29.8624249,77.8945007
13,29.8624249,77.8945007
14,29.8624229,77.8945007
15,29.8624229,77.8945007
16,29.8624229,77.8945007
17,29.8624229,77.8944855
18,29.8624268,77.894516
19,29.8624287,77.8945007
20,29.8624325,77.8944931
21,29.8624344,77.8944931
22,29.8624401,77.8944778
23,29.862442,77.8944778
24,29.8624458,77.8944626
25,29.8624458,77.8944626
26,29.8624496,77.8944321
27,29.8624535,77.8944321
28,29.8624611,77.8944092
29,29.8624668,77.8944092
30,29.8624725,77.8943939
31,29.8624783,77.8943863
32,29.8624859,77.894371
33,29.8624992,77.8943634
34,29.8625107,77.8943481
35,29.8625164,77.8943481
36,29.8625221,77.8943253
37,29.8625221,77.8943176
38,29.8625202,77.8942947
39,29.8625202,77.8943024
40,29.8625202,77.8942642
41,29.8625202,77.8942642
42,29.8625183,77.8942261
43,29.8625584,77.8942184
44,29.8625927,77.8941956
45,29.8625927,77.8941956
46,29.8625889,77.894165
47,29.8625889,77.894165
48,29.8625908,77.8941345
49,29.862587,77.8941345
50,29.8625851,77.8940887
51,29.8625889,77.8941116
52,29.862587,77.8940811
53,29.8625813,77.8940582
54,29.8625851,77.8940582
55,29.8625851,77.894043
56,29.8625927,77.8940125
57,29.8625984,77.8940125
58,29.862608,77.8939819
59,29.8626137,77.8939667
60,29.8626289,77.8939667
61,29.8626404,77.8939438
62,29.8626556,77.8939438
63,29.8626671,77.8939285
64,29.8626823,77.8939056
65,29.8626938,77.893898
66,29.862709,77.8938751
67,29.86273,77.8938904
68,29.8627491,77.8938828
69,29.8627529,77.8938675
70,29.8627625,77.8938675
71,29.8627567,77.8938446
72,29.8627834,77.8938828
73,29.8627968,77.8938675
74,29.8628178,77.8938599
75,29.8628311,77.8938599
76,29.8628502,77.8938675
77,29.8628635,77.8938675
78,29.8628807,77.8938675
79,29.8628922,77.8938599
80,29.8629112,77.8938599
81,29.8629265,77.8938675
82,29.8629456,77.8938751
83,29.8629589,77.8938751
84,29.862978,77.8938751
85,29.8629894,77.8938751
86,29.8630085,77.8938751
87,29.863018,77.8938675
88,29.8630371,77.8938675
89,29.8630505,77.8938599
90,29.8630867,77.8938828
91,29.8630867,77.8938828
92,29.8631058,77.8938828
93,29.8631172,77.8938828
94,29.8631382,77.8938828
95,29.8631535,77.8938599
96,29.8631821,77.8938599
97,29.8631992,77.8938904
98,29.8632278,77.8938904
99,29.8632431,77.8938904
100,29.8632679,77.8938904
101,29.8632832,77.8938904
102,29.863306,77.8938904
103,29.8633213,77.8938904
104,29.8633404,77.893898
105,29.8633518,77.8939056
106,29.8633747,77.8939056
107,29.8633919,77.8939056
108,29.8634167,77.8939133
109,29.8634319,77.8939133
110,29.8634548,77.8939056
111,29.863472,77.8939362
112,29.8635025,77.8939285
