sequence_no,KF_lat,KF_long
2,29.8624191,77.8944473
3,29.8624191,77.894455
4,29.8624229,77.8944855
5,29.8624287,77.8944855
6,29.8624344,77.8945084
7,29.8624401,77.894516
8,29.862442,77.8945236
9,29.8624458,77.8945313
10,29.8624458,77.8945313
11,29.862442,77.8945389
12,29.8624344,77.8945389
13,29.8624306,77.8945541
14,29.8624268,77.8945465
15,29.8624191,77.8945465
16,29.8624077,77.8945541
17,29.8623962,77.8945541
18,29.8623905,77.8945541
19,29.8623981,77.8945541
20,29.8624039,77.8945465
21,29.8624172,77.8945389
22,29.8624249,77.8945389
23,29.8624382,77.894516
24,29.8624458,77.894516
25,29.8624535,77.8944931
26,29.8624573,77.8945007
27,29.8624649,77.894455
28,29.8624725,77.8944778
29,29.862484,77.8944397
30,29.8624935,77.894455
31,29.8625031,77.8944168
32,29.8625069,77.8944321
33,29.8625183,77.8943939
34,29.8625221,77.8944092
35,29.8625278,77.8943863
36,29.8625278,77.8943939
37,29.8625393,77.8943481
38,29.8625393,77.8943634
39,29.862545,77.8943253
40,29.862545,77.8943405
41,29.8625469,77.8942871
42,29.8625469,77.89431
43,29.8625565,77.894249
44,29.862566,77.8942795
45,29.8625813,77.8942337
46,29.8625832,77.894249
47,29.862587,77.8942032
48,29.8625851,77.8942184
49,29.8625927,77.894165
50,29.8625927,77.8941879
51,29.8625965,77.8941345
52,29.8625965,77.8941498
53,29.8625984,77.894104
54,29.8625965,77.8941193
55,29.8626099,77.8940735
56,29.8626137,77.8940887
57,29.8626289,77.8940353
58,29.8626347,77.8940582
59,29.862648,77.8940125
60,29.8626499,77.8940277
61,29.8626709,77.8939896
62,29.8626823,77.8940048
63,29.8627014,77.893959
64,29.8627052,77.8939743
65,29.8627262,77.8939285
66,29.8627338,77.8939438
67,29.8627529,77.8939133
68,29.8627548,77.8939285
69,29.8627758,77.8939133
70,29.8627834,77.8939209
71,29.862812,77.8939133
72,29.8628216,77.8939209
73,29.862854,77.8939056
74,29.8628635,77.8939133
75,29.8628864,77.8939056
76,29.8628845,77.8939056
77,29.8629074,77.8939209
78,29.8629131,77.8939133
79,29.862936,77.8939056
80,29.8629398,77.8939056
