sequence_no,KF_lat,KF_long
1,30.37539946,69.34501544
2,30.37546411,69.34526576
3,30.37550821,69.34534506
4,30.37558095,69.34543858
5,30.37568790,69.34551978
6,30.37572644,69.34552880
7,30.37591399,69.34577061
8,30.37585190,69.34584603
9,30.37586074,69.34595674
10,30.37610152,69.34611259
11,30.37612924,69.34610095
12,30.37629378,69.34615235
13,30.37621412,69.34630373
14,30.37650565,69.34649515
15,30.37647417,69.34666502
16,30.37651548,69.34658120
17,30.37672263,69.34673897
18,30.37659739,69.34669212
19,30.37669303,69.34685908
20,30.37680308,69.34709941
21,30.37690860,69.34709174
22,30.37687441,69.34722581
23,30.37701162,69.34729761
24,30.37691627,69.34746353
25,30.37701118,69.34746216
26,30.37693742,69.34758494
27,30.37705917,69.34765113
28,30.37704558,69.34771901
29,30.37713832,69.34786451
30,30.37708826,69.34775996
31,30.37708978,69.34801541
32,30.37712496,69.34800704
33,30.37700614,69.34807980
34,30.37711519,69.34820291
35,30.37708987,69.34820851
36,30.37708911,69.34825919
37,30.37702559,69.34838193
38,30.37716607,69.34847102
39,30.37695042,69.34849003
40,30.37701902,69.34867574
41,30.37689800,69.34861763
42,30.37694363,69.34873660
43,30.37684249,69.34887179
44,30.37675264,69.34865323
45,30.37674941,69.34881681
46,30.37677530,69.34888312
47,30.37665782,69.34877251
48,30.37651572,69.34903886
49,30.37652171,69.34893988
50,30.37650606,69.34900522
51,30.37635452,69.34906512
52,30.37625885,69.34902154
53,30.37619244,69.34908536
54,30.37610391,69.34908232
55,30.37609086,69.34934618
56,30.37597740,69.34935533
57,30.37595199,69.34927209
58,30.37577040,69.34921245
59,30.37572913,69.34917076
60,30.37562070,69.34921365
61,30.37545966,69.34926380
62,30.37536213,69.34921830
63,30.37533159,69.34922843
64,30.37535056,69.34933478
65,30.37516785,69.34914837
66,30.37507448,69.34926572
67,30.37495663,69.34925748
68,30.37478752,69.34925162
69,30.37485558,69.34934586
70,30.37478490,69.34936139
71,30.37469204,69.34912641
72,30.37439114,69.34930191
73,30.37448283,69.34909270
74,30.37448628,69.34915953
75,30.37426054,69.34908663
76,30.37426567,69.34898322
77,30.37426879,69.34917156
78,30.37412145,69.34912350
79,30.37387554,69.34890078
80,30.37398251,69.34888399
81,30.37382003,69.34898387
82,30.37383742,69.34888902
83,30.37379720,69.34880018
84,30.37371686,69.34864988
85,30.37366524,69.34858618
86,30.37377110,69.34874792
87,30.37370605,69.34851089
88,30.37359573,69.34850400
89,30.37360007,69.34855654
90,30.37353916,69.34841003
91,30.37349742,69.34821420
92,30.37356092,69.34827461
93,30.37354189,69.34818021
94,30.37341146,69.34811993
95,30.37348946,69.34795138
96,30.37353759,69.34799558
97,30.37357714,69.34782088
98,30.37358497,69.34773576
99,30.37346949,69.34771778
100,30.37365612,69.34765530
101,30.37366363,69.34755250
102,30.37361171,69.34756572
103,30.37362495,69.34743514
104,30.37364605,69.34733029
105,30.37378381,69.34730390
106,30.37382956,69.34716602
107,30.37388952,69.34711685
108,30.37388706,69.34697487
109,30.37403693,69.34693946
110,30.37398134,69.34683945
111,30.37410371,69.34658724
112,30.37405152,69.34667824
113,30.37422050,69.34644297
114,30.37416630,69.34634002
115,30.37438121,69.34621293
116,30.37445500,69.34617810
117,30.37429004,69.34609696
118,30.37458436,69.34589538
119,30.37463265,69.34593837
120,30.37468618,69.34563448
121,30.37488039,69.34545933
122,30.37499496,69.34553829
123,30.37497373,69.34546622
124,30.37509778,69.34539428
125,30.37528139,69.34511056
126,30.37529682,69.34509120
127,30.37530670,69.34501428
128,30.37549600,69.34498275
129,30.37553940,69.34487741
130,30.37574497,69.34477238
131,30.37583743,69.34464260
132,30.37581292,69.34446479
133,30.37616648,69.34434632
134,30.37595690,69.34429333
135,30.37608373,69.34415785
136,30.37602832,69.34414076
137,30.37629554,69.34396001
138,30.37625136,69.34384636
139,30.37637494,69.34370549
140,30.37652962,69.34359485
141,30.37636729,69.34343278
142,30.37669512,69.34345629
143,30.37663589,69.34351608
144,30.37665433,69.34334540
145,30.37690204,69.34304478
146,30.37680691,69.34289738
147,30.37680180,69.34308660
148,30.37688981,69.34290829
149,30.37698295,69.34284393
150,30.37713187,69.34273855
151,30.37702857,69.34253872
152,30.37703999,69.34265873
153,30.37722567,69.34239393
154,30.37704788,69.34242271
155,30.37706912,69.34232211
156,30.37707886,69.34215523
157,30.37717452,69.34208274
158,30.37711875,69.34214040
159,30.37705042,69.34214618
160,30.37701281,69.34203959
161,30.37702605,69.34190952
162,30.37704298,69.34185070
163,30.37697510,69.34171663
164,30.37703078,69.34180066
165,30.37691674,69.34161601
166,30.37685179,69.34155454
167,30.37693058,69.34165469
168,30.37690600,69.34133469
169,30.37681634,69.34138459
170,30.37678813,69.34125114
171,30.37668508,69.34125392
172,30.37660933,69.34130713
173,30.37658072,69.34123837
174,30.37644099,69.34112047
175,30.37633147,69.34112748
176,30.37632596,69.34110547
177,30.37628721,69.34119703
178,30.37624379,69.34100234
179,30.37615749,69.34101119
180,30.37596604,69.34090560
181,30.37591705,69.34104590
182,30.37587410,69.34089496
183,30.37566481,69.34109044
184,30.37557816,69.34096355
185,30.37569409,69.34103547
186,30.37553291,69.34106397
187,30.37547368,69.34093830
188,30.37534275,69.34086933
189,30.37528218,69.34091301
190,30.37510086,69.34083204
191,30.37505397,69.34095777
192,30.37486811,69.34097147
193,30.37489791,69.34100324
194,30.37493762,69.34104111
195,30.37463092,69.34094036
196,30.37456093,69.34106381
197,30.37451065,69.34099192
198,30.37457164,69.34108116
199,30.37445647,69.34108070
200,30.37429365,69.34113175
201,30.37423018,69.34107851
202,30.37415121,69.34120923
203,30.37404352,69.34131368
204,30.37404825,69.34134485
205,30.37393215,69.34134971
206,30.37387967,69.34125528
207,30.37385906,69.34134164
208,30.37390035,69.34133077
209,30.37371402,69.34128018
210,30.37365733,69.34152704
211,30.37379741,69.34165387
212,30.37366826,69.34164050
213,30.37361180,69.34165619
214,30.37366747,69.34176888
215,30.37352957,69.34176543
