sequence_no,KF_lat,KF_long
1,30.37532051,69.34509442
2,30.37541457,69.34522183
3,30.37547475,69.34529084
4,30.37560188,69.34540093
5,30.37568199,69.34550297
6,30.37572165,69.34562211
7,30.37586778,69.34569333
8,30.37593123,69.34582139
9,30.37599489,69.34594870
10,30.37608491,69.34610675
11,30.37621432,69.34613626
12,30.37622681,69.34630567
13,30.37632958,69.34633984
14,30.37639754,69.34644232
15,30.37645065,69.34650516
16,30.37648388,69.34665785
17,30.37659431,69.34672587
18,30.37668431,69.34679418
19,30.37671110,69.34691487
20,30.37678355,69.34699722
21,30.37680967,69.34710494
22,30.37684642,69.34719797
23,30.37689891,69.34728323
24,30.37694280,69.34737244
25,30.37699256,69.34745231
26,30.37700330,69.34752250
27,30.37704082,69.34761936
28,30.37703804,69.34769408
29,30.37711419,69.34779504
30,30.37709603,69.34789902
31,30.37712603,69.34794665
32,30.37704886,69.34800519
33,30.37709540,69.34810141
34,30.37712229,69.34815571
35,30.37705536,69.34824351
36,30.37706848,69.34834522
37,30.37706384,69.34837579
38,30.37702081,69.34842226
39,30.37697258,69.34851143
40,30.37694555,69.34856977
41,30.37694268,69.34859209
42,30.37691155,69.34868382
43,30.37683749,69.34875251
44,30.37678372,69.34879279
45,30.37677814,69.34879938
46,30.37668953,69.34887266
47,30.37659678,69.34889999
48,30.37660740,69.34899356
49,30.37650138,69.34901152
50,30.37641425,69.34902689
51,30.37636167,69.34907268
52,30.37629200,69.34907355
53,30.37618613,69.34913979
54,30.37614172,69.34916763
55,30.37603541,69.34917291
56,30.37596558,69.34921647
57,30.37585483,69.34920297
58,30.37578765,69.34919441
59,30.37570482,69.34923857
60,30.37560025,69.34924744
61,30.37552602,69.34923958
62,30.37538538,69.34926144
63,30.37535117,69.34926535
64,30.37526547,69.34923309
65,30.37513112,69.34928851
66,30.37508154,69.34924626
67,30.37498558,69.34927035
68,30.37490920,69.34923734
69,30.37479487,69.34919513
70,30.37470490,69.34920777
71,30.37458860,69.34919304
72,30.37457456,69.34915836
73,30.37449764,69.34912264
74,30.37438314,69.34916451
75,30.37430821,69.34909538
76,30.37424989,69.34912710
77,30.37417207,69.34901411
78,30.37412449,69.34900639
79,30.37403616,69.34896224
80,30.37400346,69.34891792
81,30.37390732,69.34886166
82,30.37388492,69.34885514
83,30.37379323,69.34879472
84,30.37373200,69.34869316
85,30.37372358,69.34868406
86,30.37368116,69.34859725
87,30.37366515,69.34857705
88,30.37360845,69.34847568
89,30.37354423,69.34843684
90,30.37358102,69.34837911
91,30.37352564,69.34828252
92,30.37355881,69.34824307
93,30.37347768,69.34817892
94,30.37349695,69.34809747
95,30.37354507,69.34801776
96,30.37353094,69.34795210
97,30.37352899,69.34786430
98,30.37352683,69.34782749
99,30.37353307,69.34772300
100,30.37356555,69.34761727
101,30.37358416,69.34757444
102,30.37367515,69.34744681
103,30.37367712,69.34741774
104,30.37368965,69.34732649
105,30.37373594,69.34717520
106,30.37383048,69.34711895
107,30.37381546,69.34702131
108,30.37384938,69.34694380
109,30.37395229,69.34680642
110,30.37400336,69.34672995
111,30.37410286,69.34664276
112,30.37415930,69.34653625
113,30.37421509,69.34644897
114,30.37432185,69.34631566
115,30.37432076,69.34625619
116,30.37443986,69.34613686
117,30.37451812,69.34601198
118,30.37457747,69.34595387
119,30.37470824,69.34578636
120,30.37477352,69.34577217
121,30.37484887,69.34560040
122,30.37495979,69.34547775
123,30.37504322,69.34541707
124,30.37513073,69.34532933
125,30.37522088,69.34521123
126,30.37530712,69.34507582
127,30.37540061,69.34499352
128,30.37551070,69.34487930
129,30.37555631,69.34477341
130,30.37564462,69.34466961
131,30.37573341,69.34457519
132,30.37581809,69.34445183
133,30.37596291,69.34438152
134,30.37602116,69.34432477
135,30.37607156,69.34416104
136,30.37616902,69.34407202
137,30.37626253,69.34396029
138,30.37630451,69.34386494
139,30.37640280,69.34380287
140,30.37645441,69.34366902
141,30.37653632,69.34358892
142,30.37659153,69.34350406
143,30.37664607,69.34339514
144,30.37670024,69.34325323
145,30.37677252,69.34319947
146,30.37684189,69.34308855
147,30.37686066,69.34299506
148,30.37689304,69.34290570
149,30.37695682,69.34283249
150,30.37699454,69.34271340
151,30.37698925,69.34263515
152,30.37704358,69.34258644
153,30.37707612,69.34248992
154,30.37711265,69.34241425
155,30.37709109,69.34229380
156,30.37708517,69.34229071
157,30.37710827,69.34215479
158,30.37711613,69.34204635
159,30.37709017,69.34201169
160,30.37708079,69.34196821
161,30.37708197,69.34189761
162,30.37706118,69.34185903
163,30.37703440,69.34175022
164,30.37700873,69.34169548
165,30.37694932,69.34163662
166,30.37694894,69.34159749
167,30.37688225,69.34152188
168,30.37687664,69.34146943
169,30.37678129,69.34142631
170,30.37673003,69.34134056
171,30.37670103,69.34133367
172,30.37663636,69.34129025
173,30.37655174,69.34122768
174,30.37651049,69.34117326
175,30.37646685,69.34119255
176,30.37638691,69.34114149
177,30.37627855,69.34115339
178,30.37621041,69.34107167
179,30.37611684,69.34107241
180,30.37605829,69.34098542
181,30.37600424,69.34099076
182,30.37587533,69.34094624
183,30.37576766,69.34099780
