sequence_no,KF_lat,KF_long
1,30.37261761,69.34194765
2,30.37261084,69.34205902
3,30.37261945,69.34216591
4,30.37260568,69.34223682
5,30.37259757,69.34233972
6,30.37261538,69.34244444
7,30.37259945,69.34256811
8,30.37261565,69.34266867
9,30.37260817,69.34275805
10,30.37259645,69.34285898
11,30.37262744,69.34294519
12,30.37262224,69.34303726
13,30.37260506,69.34315717
14,30.37262141,69.34325985
15,30.37260962,69.34334853
16,30.37262265,69.34342410
17,30.37260461,69.34355143
18,30.37261296,69.34364898
19,30.37261657,69.34373716
20,30.37260790,69.34385600
21,30.37262234,69.34396358
22,30.37261691,69.34405532
23,30.37259359,69.34414553
24,30.37262094,69.34423595
25,30.37260422,69.34434914
26,30.37259821,69.34442571
27,30.37259585,69.34455167
28,30.37260124,69.34464984
29,30.37260868,69.34474068
30,30.37261215,69.34485146
31,30.37261051,69.34493233
32,30.37261281,69.34504788
33,30.37260492,69.34514303
34,30.37261314,69.34523534
35,30.37260105,69.34534470
36,30.37260912,69.34542643
37,30.37261620,69.34552986
38,30.37262066,69.34561363
39,30.37262256,69.34573318
40,30.37260690,69.34583922
41,30.37258647,69.34593979
42,30.37260731,69.34603548
43,30.37262288,69.34613795
44,30.37259214,69.34624024
45,30.37261497,69.34630948
46,30.37261299,69.34642251
47,30.37261984,69.34651587
48,30.37259971,69.34662078
49,30.37261604,69.34672702
50,30.37260964,69.34683695
51,30.37261878,69.34691792
52,30.37261860,69.34701386
53,30.37261547,69.34709630
54,30.37258648,69.34723644
55,30.37260999,69.34731379
56,30.37262722,69.34743674
57,30.37261864,69.34752499
58,30.37261451,69.34761095
59,30.37262615,69.34769840
60,30.37260863,69.34780953
61,30.37261876,69.34791427
62,30.37261951,69.34801601
63,30.37260936,69.34812367
64,30.37261524,69.34819906
65,30.37270024,69.34820897
66,30.37277439,69.34821047
67,30.37287226,69.34822754
68,30.37293798,69.34822116
69,30.37305037,69.34821510
70,30.37312664,69.34821237
71,30.37322883,69.34819957
72,30.37329503,69.34821496
73,30.37337744,69.34818515
74,30.37347600,69.34819654
75,30.37354527,69.34820339
76,30.37364645,69.34821820
77,30.37375057,69.34821896
78,30.37379826,69.34821923
79,30.37388183,69.34822276
80,30.37397868,69.34820602
81,30.37408280,69.34821040
82,30.37416176,69.34820186
83,30.37424475,69.34821768
84,30.37432017,69.34819949
85,30.37441840,69.34821810
86,30.37450973,69.34824609
87,30.37459342,69.34823625
88,30.37468070,69.34820988
89,30.37475513,69.34820434
90,30.37484317,69.34821837
91,30.37491030,69.34820825
92,30.37502322,69.34820921
93,30.37510915,69.34823952
94,30.37517828,69.34820345
95,30.37525814,69.34821755
96,30.37534435,69.34821190
97,30.37544402,69.34823285
98,30.37551872,69.34821905
99,30.37561300,69.34820600
100,30.37571097,69.34822851
101,30.37578085,69.34821734
102,30.37586294,69.34820295
103,30.37595159,69.34820533
104,30.37603872,69.34819130
105,30.37614803,69.34820800
106,30.37620935,69.34821402
107,30.37629916,69.34820945
108,30.37638036,69.34820387
109,30.37646906,69.34821353
110,30.37654279,69.34820902
111,30.37665656,69.34821493
112,30.37672093,69.34822066
113,30.37678694,69.34821467
114,30.37689155,69.34820521
115,30.37696937,69.34820319
116,30.37706033,69.34821786
117,30.37717408,69.34819236
118,30.37723447,69.34821634
119,30.37731978,69.34821533
120,30.37740645,69.34817051
121,30.37750788,69.34819314
122,30.37759408,69.34821062
123,30.37767785,69.34819354
124,30.37774046,69.34822045
125,30.37782886,69.34822233
126,30.37792340,69.34821439
127,30.37801413,69.34821242
128,30.37799894,69.34811636
129,30.37801667,69.34801898
130,30.37802018,69.34791637
131,30.37802589,69.34781247
132,30.37801536,69.34771716
133,30.37800534,69.34761635
134,30.37801544,69.34750048
135,30.37799247,69.34742688
136,30.37799648,69.34728804
137,30.37800993,69.34721231
138,30.37802305,69.34709477
139,30.37801271,69.34700868
140,30.37800566,69.34690731
141,30.37800305,69.34681138
142,30.37801252,69.34670751
143,30.37801892,69.34661048
144,30.37801492,69.34652745
145,30.37802392,69.34639133
146,30.37798211,69.34626333
147,30.37800893,69.34621627
148,30.37800565,69.34610879
149,30.37801024,69.34598941
150,30.37801572,69.34588876
151,30.37799283,69.34578196
152,30.37800597,69.34568802
153,30.37801380,69.34557906
154,30.37799380,69.34550001
155,30.37802739,69.34539441
156,30.37801145,69.34529353
157,30.37799825,69.34518189
158,30.37800572,69.34510500
159,30.37800417,69.34501341
160,30.37801086,69.34488626
161,30.37801111,69.34477780
162,30.37800284,69.34468129
163,30.37798872,69.34456939
164,30.37798570,69.34447950
165,30.37798795,69.34437592
166,30.37799123,69.34428631
167,30.37797783,69.34418229
168,30.37802009,69.34408886
169,30.37801413,69.34396944
170,30.37801499,69.34385083
171,30.37800285,69.34379398
172,30.37800961,69.34369453
173,30.37801665,69.34357133
174,30.37802581,69.34347307
175,30.37800621,69.34340508
176,30.37801670,69.34328941
177,30.37799607,69.34316568
178,30.37801942,69.34305262
179,30.37800748,69.34297055
180,30.37799590,69.34287018
181,30.37800823,69.34277509
182,30.37800460,69.34267294
183,30.37800850,69.34259492
184,30.37801146,69.34246046
185,30.37799136,69.34234766
186,30.37799979,69.34225867
187,30.37802272,69.34215750
188,30.37801711,69.34205447
189,30.37802275,69.34195923
190,30.37793194,69.34196597
191,30.37783852,69.34195450
192,30.37775432,69.34196628
193,30.37766153,69.34195803
194,30.37756451,69.34192971
195,30.37748649,69.34195622
196,30.37739986,69.34196009
197,30.37729645,69.34196827
198,30.37721577,69.34195146
199,30.37714157,69.34197796
200,30.37705131,69.34193961
201,30.37696114,69.34194855
202,30.37688261,69.34195298
203,30.37677885,69.34197937
204,30.37671956,69.34196773
205,30.37661456,69.34196246
206,30.37652327,69.34197847
207,30.37643964,69.34194362
208,30.37635365,69.34195469
209,30.37626813,69.34196400
210,30.37616749,69.34195690
211,30.37609831,69.34193764
