sequence_no,KF_lat,KF_long
1,30.37260429,69.34200602
2,30.37260756,69.34205286
3,30.37263670,69.34215432
4,30.37261787,69.34224551
5,30.37262591,69.34234047
6,30.37262749,69.34248014
7,30.37260708,69.34259044
8,30.37259662,69.34267990
9,30.37263555,69.34272748
10,30.37260602,69.34283991
11,30.37258876,69.34292578
12,30.37263340,69.34305539
13,30.37261889,69.34315098
14,30.37261023,69.34327928
15,30.37259388,69.34336164
16,30.37262162,69.34344469
17,30.37262043,69.34352084
18,30.37260128,69.34365010
19,30.37261894,69.34373021
20,30.37261335,69.34382223
21,30.37257928,69.34394893
22,30.37260267,69.34403187
23,30.37257815,69.34414394
24,30.37261460,69.34426722
25,30.37263240,69.34433287
26,30.37261924,69.34442543
27,30.37261729,69.34455408
28,30.37261917,69.34461665
29,30.37264411,69.34475282
30,30.37261678,69.34483187
31,30.37261811,69.34496272
32,30.37262491,69.34503881
33,30.37259045,69.34512844
34,30.37259443,69.34522696
35,30.37262652,69.34533683
36,30.37258342,69.34539902
37,30.37261046,69.34553428
38,30.37260573,69.34562428
39,30.37261537,69.34573806
40,30.37260958,69.34581631
41,30.37260211,69.34593646
42,30.37262043,69.34607176
43,30.37263380,69.34610717
44,30.37262445,69.34622364
45,30.37259361,69.34633437
46,30.37264009,69.34643553
47,30.37259188,69.34652360
48,30.37261550,69.34662032
49,30.37259848,69.34675552
50,30.37261181,69.34681636
51,30.37259696,69.34694022
52,30.37262437,69.34702181
53,30.37257655,69.34711276
54,30.37261017,69.34722029
55,30.37260160,69.34729867
56,30.37258871,69.34743120
57,30.37258739,69.34749964
58,30.37262954,69.34763897
59,30.37259901,69.34772886
60,30.37260245,69.34782844
61,30.37262159,69.34791444
62,30.37261091,69.34802760
63,30.37260789,69.34813660
64,30.37260894,69.34819006
65,30.37270598,69.34819443
66,30.37281413,69.34822208
67,30.37287678,69.34821968
68,30.37296607,69.34822854
69,30.37303848,69.34819559
70,30.37312216,69.34819400
71,30.37321916,69.34823528
72,30.37331609,69.34820840
73,30.37338152,69.34819115
74,30.37347694,69.34823393
75,30.37354320,69.34821487
76,30.37363843,69.34821233
77,30.37372988,69.34821422
78,30.37383941,69.34823087
79,30.37388190,69.34820885
80,30.37398654,69.34824413
81,30.37404042,69.34825746
82,30.37414906,69.34819693
83,30.37424093,69.34819733
84,30.37432296,69.34822174
85,30.37442692,69.34818878
86,30.37448295,69.34822227
87,30.37458199,69.34821677
88,30.37466803,69.34820814
89,30.37476577,69.34822919
90,30.37484965,69.34822175
91,30.37491116,69.34823450
92,30.37499879,69.34822105
93,30.37509374,69.34822675
94,30.37520445,69.34820401
95,30.37524501,69.34820732
96,30.37535885,69.34824365
97,30.37544702,69.34821687
98,30.37553121,69.34821447
99,30.37561566,69.34820136
100,30.37569687,69.34826435
