sequence_no,KF_lat,KF_long
1,30.37259757,69.34196999
2,30.37261027,69.34205168
3,30.37260877,69.34219816
4,30.37262703,69.34227291
5,30.37259518,69.34233385
6,30.37260263,69.34243428
7,30.37263264,69.34255769
8,30.37260181,69.34264933
9,30.37260743,69.34274467
10,30.37261043,69.34285277
11,30.37260202,69.34297956
12,30.37260247,69.34305620
13,30.37262218,69.34314916
14,30.37260391,69.34323235
15,30.37264147,69.34336767
16,30.37262178,69.34343252
17,30.37261665,69.34355818
18,30.37262668,69.34365014
19,30.37260704,69.34373659
20,30.37260738,69.34382998
21,30.37259538,69.34393116
22,30.37261132,69.34403239
23,30.37260570,69.34416312
24,30.37260124,69.34422987
25,30.37259839,69.34435569
26,30.37260343,69.34444072
27,30.37262125,69.34453433
28,30.37260960,69.34464387
29,30.37260762,69.34470836
30,30.37262816,69.34485198
31,30.37260987,69.34492754
32,30.37260354,69.34505234
33,30.37261640,69.34516032
34,30.37260793,69.34522384
35,30.37262989,69.34536355
36,30.37260790,69.34543400
37,30.37263718,69.34551710
38,30.37259504,69.34564908
39,30.37262801,69.34573920
40,30.37257605,69.34581923
41,30.37262551,69.34593643
42,30.37260101,69.34605967
43,30.37262126,69.34611375
44,30.37261913,69.34623682
45,30.37259849,69.34632838
46,30.37261824,69.34643126
47,30.37261665,69.34653169
48,30.37262126,69.34660838
49,30.37260993,69.34673571
50,30.37263517,69.34681257
51,30.37262075,69.34694077
52,30.37262788,69.34702100
53,30.37260910,69.34712721
54,30.37262046,69.34722309
55,30.37262148,69.34733304
56,30.37261951,69.34741394
57,30.37260603,69.34751739
58,30.37258789,69.34763073
59,30.37262178,69.34770843
60,30.37261702,69.34783140
61,30.37259234,69.34792542
62,30.37263122,69.34801379
63,30.37261253,69.34810017
64,30.37260426,69.34820895
65,30.37267706,69.34820715
66,30.37278017,69.34820941
67,30.37290962,69.34820516
68,30.37294362,69.34821917
69,30.37303392,69.34822283
70,30.37310269,69.34819808
71,30.37320290,69.34822825
72,30.37330234,69.34819831
73,30.37338557,69.34819474
74,30.37348286,69.34820423
75,30.37356824,69.34822508
76,30.37364026,69.34819574
77,30.37371747,69.34822356
78,30.37382413,69.34819832
79,30.37390183,69.34821801
80,30.37396294,69.34818971
81,30.37407541,69.34822649
82,30.37415747,69.34822212
83,30.37425593,69.34823535
84,30.37433607,69.34820243
85,30.37443015,69.34823576
86,30.37448953,69.34818435
87,30.37457410,69.34822110
88,30.37468505,69.34826026
89,30.37474277,69.34823858
90,30.37482889,69.34820344
91,30.37492617,69.34823649
92,30.37500672,69.34821349
93,30.37510801,69.34819887
94,30.37517817,69.34820878
95,30.37524487,69.34822497
96,30.37534449,69.34822512
97,30.37544136,69.34821918
98,30.37552394,69.34821438
99,30.37558487,69.34823298
100,30.37568158,69.34820602
101,30.37579255,69.34822002
102,30.37588836,69.34823448
103,30.37597960,69.34824378
104,30.37604081,69.34822376
105,30.37610420,69.34821629
106,30.37619529,69.34820475
107,30.37628763,69.34820438
108,30.37638536,69.34821027
109,30.37645272,69.34821260
110,30.37653524,69.34821976
111,30.37663435,69.34822744
112,30.37670412,69.34822211
113,30.37678900,69.34821964
114,30.37688403,69.34820986
115,30.37699855,69.34821403
116,30.37707483,69.34821340
117,30.37717201,69.34818338
118,30.37723695,69.34822004
119,30.37732763,69.34819751
120,30.37741916,69.34821719
121,30.37748768,69.34822597
122,30.37759175,69.34820475
123,30.37765524,69.34823204
124,30.37774558,69.34818303
125,30.37783004,69.34820334
126,30.37796063,69.34821060
127,30.37801635,69.34820934
128,30.37802351,69.34809403
129,30.37802285,69.34800972
130,30.37799908,69.34790342
131,30.37800133,69.34780856
132,30.37801669,69.34770847
133,30.37800326,69.34762946
134,30.37802251,69.34747870
135,30.37800783,69.34740608
136,30.37800338,69.34731380
137,30.37800341,69.34719423
138,30.37801255,69.34708559
139,30.37801181,69.34699144
140,30.37800285,69.34691642
141,30.37801607,69.34680800
142,30.37801745,69.34669981
143,30.37798934,69.34660860
144,30.37801551,69.34650958
145,30.37801116,69.34639262
146,30.37801499,69.34629239
147,30.37802403,69.34618946
148,30.37803099,69.34608998
149,30.37799163,69.34602263
150,30.37800489,69.34590634
151,30.37797854,69.34578408
152,30.37801437,69.34568215
153,30.37800539,69.34558923
154,30.37802000,69.34549677
155,30.37801365,69.34539487
156,30.37801696,69.34532341
157,30.37801834,69.34519016
158,30.37802216,69.34507412
159,30.37801151,69.34499919
160,30.37801315,69.34489378
161,30.37801352,69.34477135
162,30.37801131,69.34469198
163,30.37802894,69.34459312
164,30.37799850,69.34445556
165,30.37801531,69.34441201
166,30.37802318,69.34428578
167,30.37799235,69.34418370
168,30.37799287,69.34405892
169,30.37800661,69.34398350
170,30.37802120,69.34387963
171,30.37800942,69.34375483
172,30.37801984,69.34371155
173,30.37801174,69.34359175
174,30.37799421,69.34345501
175,30.37799793,69.34336839
176,30.37802050,69.34326404
177,30.37798137,69.34317792
178,30.37799883,69.34307494
179,30.37800245,69.34296704
180,30.37801624,69.34283853
181,30.37800748,69.34279640
182,30.37802223,69.34266483
183,30.37800099,69.34255347
184,30.37803717,69.34245386
185,30.37800826,69.34236687
186,30.37800177,69.34228714
187,30.37800513,69.34214533
188,30.37799250,69.34207169
189,30.37801299,69.34195321
190,30.37794141,69.34196658
191,30.37783164,69.34199734
192,30.37776128,69.34197445
193,30.37769585,69.34195333
194,30.37757948,69.34196566
195,30.37747966,69.34197839
196,30.37739552,69.34197751
197,30.37729675,69.34194457
198,30.37720646,69.34195642
199,30.37713487,69.34196028
200,30.37707249,69.34194174
201,30.37694084,69.34196477
202,30.37689918,69.34194139
203,30.37679186,69.34195065
204,30.37670497,69.34193144
205,30.37659945,69.34196547
206,30.37654003,69.34196514
207,30.37646010,69.34194509
208,30.37634795,69.34194542
209,30.37625968,69.34197063
210,30.37617612,69.34195413
211,30.37608518,69.34199260
212,30.37599306,69.34196398
213,30.37592727,69.34195204
214,30.37582516,69.34194961
215,30.37574692,69.34194876
216,30.37566929,69.34196463
217,30.37556505,69.34197908
218,30.37547701,69.34195406
219,30.37540202,69.34194711
220,30.37530516,69.34197437
221,30.37523456,69.34195763
222,30.37514819,69.34198391
223,30.37504082,69.34196179
224,30.37494130,69.34196451
225,30.37487560,69.34195697
226,30.37477691,69.34194548
227,30.37471342,69.34193863
228,30.37460398,69.34194450
229,30.37451668,69.34199615
230,30.37445270,69.34196406
231,30.37437093,69.34195541
232,30.37426005,69.34195920
233,30.37417412,69.34195326
234,30.37410177,69.34196764
235,30.37402457,69.34197002
236,30.37391851,69.34196720
237,30.37384826,69.34194237
238,30.37375183,69.34193096
239,30.37366095,69.34198482
240,30.37357722,69.34195880
241,30.37347346,69.34191380
242,30.37340267,69.34194076
243,30.37329724,69.34196739
244,30.37320913,69.34192915
245,30.37315906,69.34196749
246,30.37307232,69.34196460
247,30.37297260,69.34199603
248,30.37287210,69.34197315
249,30.37279749,69.34195435
250,30.37271143,69.34197452
