sequence_no,KF_lat,KF_long
1,30.37262219,69.34201656
2,30.37260383,69.34207998
3,30.37261200,69.34217886
4,30.37262442,69.34219550
5,30.37259265,69.34235264
6,30.37258211,69.34245803
7,30.37257027,69.34252247
8,30.37267341,69.34270892
9,30.37263046,69.34277759
10,30.37262287,69.34275662
11,30.37264264,69.34293782
12,30.37262593,69.34304369
13,30.37258223,69.34313014
14,30.37264718,69.34336195
15,30.37264001,69.34331530
16,30.37259511,69.34357470
17,30.37265820,69.34368266
18,30.37263188,69.34365648
19,30.37264827,69.34378256
20,30.37254399,69.34381554
21,30.37267121,69.34388571
22,30.37260255,69.34395475
23,30.37267098,69.34409954
24,30.37257704,69.34428736
25,30.37258750,69.34427754
26,30.37259943,69.34443836
27,30.37261254,69.34454761
28,30.37255518,69.34459276
29,30.37264554,69.34477045
30,30.37257031,69.34486805
31,30.37263796,69.34497686
32,30.37261097,69.34512191
33,30.37258886,69.34509971
34,30.37258435,69.34528564
35,30.37259266,69.34537375
36,30.37263056,69.34540905
37,30.37259775,69.34553394
38,30.37255666,69.34570510
39,30.37258840,69.34576675
40,30.37257374,69.34575446
41,30.37262380,69.34584538
42,30.37264089,69.34612622
43,30.37267916,69.34621072
44,30.37264195,69.34621579
45,30.37265491,69.34629895
46,30.37259446,69.34650929
47,30.37265178,69.34650978
48,30.37263602,69.34666928
49,30.37261574,69.34669908
50,30.37258405,69.34684914
51,30.37266370,69.34686991
52,30.37264276,69.34706711
53,30.37259772,69.34703638
54,30.37258266,69.34722916
55,30.37262286,69.34728736
56,30.37265012,69.34741065
57,30.37271083,69.34750532
58,30.37263155,69.34755825
59,30.37270304,69.34777488
60,30.37261184,69.34782672
61,30.37255902,69.34792677
62,30.37267803,69.34805011
63,30.37261241,69.34807325
64,30.37253540,69.34825961
65,30.37270077,69.34819452
66,30.37277214,69.34821535
67,30.37290689,69.34826192
68,30.37293851,69.34827175
69,30.37303740,69.34824892
70,30.37319753,69.34809435
71,30.37317079,69.34822408
72,30.37323925,69.34820544
73,30.37345570,69.34826213
74,30.37348596,69.34812457
75,30.37356896,69.34810345
76,30.37367361,69.34821051
77,30.37377484,69.34829617
78,30.37385982,69.34829452
79,30.37390702,69.34815934
80,30.37392513,69.34831574
81,30.37406939,69.34817552
82,30.37417283,69.34821137
83,30.37429703,69.34809922
84,30.37432892,69.34824154
85,30.37440053,69.34813513
86,30.37451903,69.34822189
87,30.37459521,69.34826184
88,30.37465470,69.34816281
89,30.37478768,69.34830471
90,30.37485988,69.34825810
91,30.37489454,69.34816436
92,30.37500339,69.34818760
93,30.37509607,69.34815404
94,30.37519322,69.34811851
95,30.37529623,69.34820109
96,30.37539649,69.34817495
97,30.37541088,69.34817221
98,30.37552545,69.34815532
99,30.37561722,69.34815342
100,30.37566475,69.34821399
101,30.37583560,69.34820981
102,30.37583261,69.34827146
103,30.37601015,69.34824708
104,30.37602949,69.34821182
105,30.37611992,69.34829759
106,30.37615228,69.34822397
107,30.37629944,69.34813569
108,30.37642932,69.34816590
109,30.37646330,69.34819677
110,30.37658755,69.34822156
111,30.37661836,69.34815994
112,30.37678457,69.34814301
113,30.37685246,69.34826794
114,30.37687810,69.34824149
115,30.37694018,69.34819587
116,30.37707206,69.34830701
117,30.37711706,69.34819187
118,30.37723658,69.34813745
119,30.37730774,69.34829045
120,30.37738581,69.34821340
121,30.37745097,69.34821921
122,30.37760684,69.34821362
123,30.37764518,69.34823834
124,30.37778974,69.34818102
125,30.37783718,69.34814359
126,30.37793424,69.34820676
127,30.37805292,69.34829739
128,30.37800708,69.34808558
129,30.37801465,69.34799557
130,30.37796232,69.34782205
131,30.37806417,69.34772569
132,30.37798852,69.34774464
133,30.37800630,69.34757134
134,30.37797018,69.34747030
135,30.37798420,69.34745372
136,30.37802212,69.34729348
137,30.37805331,69.34729244
138,30.37798105,69.34715339
139,30.37805160,69.34694892
140,30.37806632,69.34680177
141,30.37795740,69.34671578
142,30.37804864,69.34671845
143,30.37803244,69.34662398
144,30.37794450,69.34646874
145,30.37804257,69.34638945
146,30.37803294,69.34633300
147,30.37797511,69.34619012
148,30.37802586,69.34621110
149,30.37796497,69.34601882
150,30.37801712,69.34585833
151,30.37803346,69.34578141
152,30.37805509,69.34566844
153,30.37799654,69.34561035
154,30.37802262,69.34541359
155,30.37799492,69.34542549
156,30.37804982,69.34526430
157,30.37803928,69.34519210
158,30.37805377,69.34507967
159,30.37795640,69.34501173
160,30.37795056,69.34491619
161,30.37801354,69.34472572
162,30.37797039,69.34471589
163,30.37795932,69.34461252
164,30.37797949,69.34445458
165,30.37797099,69.34439468
166,30.37796917,69.34421645
167,30.37801799,69.34426099
168,30.37805995,69.34410227
169,30.37801821,69.34402422
170,30.37800944,69.34378970
171,30.37793546,69.34377816
172,30.37801056,69.34367397
173,30.37803602,69.34359130
174,30.37798473,69.34348349
175,30.37797401,69.34344192
176,30.37800866,69.34325461
177,30.37803004,69.34322648
178,30.37807242,69.34306416
179,30.37800844,69.34298320
180,30.37807176,69.34285767
181,30.37806664,69.34280741
182,30.37802174,69.34261546
183,30.37804670,69.34260841
184,30.37799052,69.34245547
185,30.37801281,69.34239768
186,30.37804987,69.34227258
187,30.37798096,69.34217554
188,30.37803276,69.34202193
189,30.37795679,69.34198461
190,30.37793516,69.34198724
191,30.37784197,69.34196485
192,30.37777748,69.34202096
193,30.37776122,69.34199190
194,30.37760141,69.34199691
195,30.37749557,69.34195149
196,30.37737098,69.34191971
197,30.37722624,69.34192079
198,30.37722964,69.34194504
199,30.37711698,69.34200169
200,30.37706558,69.34206199
201,30.37693214,69.34199135
202,30.37686134,69.34187159
203,30.37677230,69.34190452
204,30.37670743,69.34195220
205,30.37665839,69.34186627
206,30.37653214,69.34193168
207,30.37640998,69.34192824
208,30.37635230,69.34192357
209,30.37633446,69.34197295
210,30.37611507,69.34203295
211,30.37611799,69.34195226
212,30.37607007,69.34199482
213,30.37594263,69.34198302
214,30.37585902,69.34191796
215,30.37573207,69.34198200
216,30.37561827,69.34200994
217,30.37557553,69.34190202
218,30.37546610,69.34196390
219,30.37536739,69.34193174
220,30.37530194,69.34193143
221,30.37524421,69.34196921
222,30.37510624,69.34201362
223,30.37504070,69.34191488
224,30.37496346,69.34195438
225,30.37487137,69.34203846
226,30.37473383,69.34197233
227,30.37468747,69.34190606
228,30.37456030,69.34190230
229,30.37451570,69.34201170
230,30.37446798,69.34200696
231,30.37437304,69.34191333
232,30.37425793,69.34196406
233,30.37424289,69.34198958
234,30.37409107,69.34198637
235,30.37403329,69.34193313
236,30.37391771,69.34184564
237,30.37384022,69.34198500
238,30.37375606,69.34185517
239,30.37362208,69.34195010
240,30.37356168,69.34185886
241,30.37345266,69.34196119
242,30.37339957,69.34194664
243,30.37334345,69.34195381
244,30.37322655,69.34196537
245,30.37318515,69.34196761
246,30.37314454,69.34197847
247,30.37294556,69.34204182
248,30.37283568,69.34195193
249,30.37274862,69.34191109
250,30.37266877,69.34189697
