sequence_no,KF_lat,KF_long
1,30.37263777,69.34186580
2,30.37251292,69.34207152
3,30.37267448,69.34201866
4,30.37252390,69.34220756
5,30.37258595,69.34235034
6,30.37262126,69.34242304
7,30.37264132,69.34256280
8,30.37269470,69.34266486
9,30.37259831,69.34274060
10,30.37266588,69.34286999
11,30.37262437,69.34299459
12,30.37260476,69.34298925
13,30.37261308,69.34311409
14,30.37256511,69.34324523
15,30.37260271,69.34334924
16,30.37252005,69.34345114
17,30.37259479,69.34355010
18,30.37263541,69.34358766
19,30.37268262,69.34368985
20,30.37260515,69.34386232
21,30.37247927,69.34397234
22,30.37265072,69.34410864
23,30.37264441,69.34427176
24,30.37266628,69.34427254
25,30.37267366,69.34423274
26,30.37275770,69.34431827
27,30.37258307,69.34456694
28,30.37267774,69.34473865
29,30.37253000,69.34478581
30,30.37268447,69.34481327
31,30.37247933,69.34491000
32,30.37254132,69.34503286
33,30.37266032,69.34520274
34,30.37258750,69.34518214
35,30.37262321,69.34527813
36,30.37259529,69.34553802
37,30.37252586,69.34542802
38,30.37256759,69.34560686
39,30.37261078,69.34559584
40,30.37259603,69.34578528
41,30.37259842,69.34589007
42,30.37257880,69.34591399
43,30.37258656,69.34600373
44,30.37249872,69.34620349
45,30.37266296,69.34636085
46,30.37254930,69.34645848
47,30.37256118,69.34654230
48,30.37266876,69.34662964
49,30.37265980,69.34675326
50,30.37259790,69.34682573
51,30.37254008,69.34696332
52,30.37265675,69.34696489
53,30.37275359,69.34711910
54,30.37260050,69.34724433
55,30.37262855,69.34740383
56,30.37264752,69.34747327
57,30.37267577,69.34759755
58,30.37260480,69.34768566
59,30.37259613,69.34781887
60,30.37257573,69.34795643
61,30.37268087,69.34782229
62,30.37253279,69.34800679
63,30.37258464,69.34802211
64,30.37261615,69.34809299
65,30.37265171,69.34820624
66,30.37286803,69.34817134
67,30.37284266,69.34830158
68,30.37296648,69.34827644
69,30.37294126,69.34833119
70,30.37311300,69.34821950
71,30.37322439,69.34817090
72,30.37325539,69.34812364
73,30.37340772,69.34823967
74,30.37342393,69.34819760
75,30.37360569,69.34828705
76,30.37366020,69.34814314
77,30.37366016,69.34817726
78,30.37372128,69.34826152
79,30.37388624,69.34814631
80,30.37402002,69.34837458
81,30.37407396,69.34825493
82,30.37417977,69.34820067
83,30.37428235,69.34825064
84,30.37426375,69.34828649
85,30.37449099,69.34829018
86,30.37454320,69.34823581
87,30.37451845,69.34813183
88,30.37465120,69.34822433
89,30.37484095,69.34827845
90,30.37479321,69.34822051
91,30.37489302,69.34829644
92,30.37513616,69.34821535
93,30.37511795,69.34830852
94,30.37519169,69.34822318
95,30.37523266,69.34817893
96,30.37540553,69.34831403
97,30.37541986,69.34822644
98,30.37548671,69.34816806
99,30.37565524,69.34820554
100,30.37563985,69.34821089
101,30.37578551,69.34820876
102,30.37581724,69.34831087
103,30.37598351,69.34816219
104,30.37604167,69.34825670
105,30.37624232,69.34817626
106,30.37618312,69.34820306
107,30.37637271,69.34814301
108,30.37649317,69.34822097
109,30.37641395,69.34826436
110,30.37653561,69.34811696
111,30.37665050,69.34815250
112,30.37682833,69.34823538
113,30.37672523,69.34815474
114,30.37677817,69.34808594
115,30.37705405,69.34823699
116,30.37708856,69.34827625
117,30.37711594,69.34815063
118,30.37727509,69.34831712
119,30.37734273,69.34837221
120,30.37736168,69.34815085
121,30.37749233,69.34817249
122,30.37749344,69.34820371
123,30.37756162,69.34823457
124,30.37779658,69.34823677
125,30.37794952,69.34827297
126,30.37788061,69.34823606
127,30.37805082,69.34824546
128,30.37807579,69.34809008
129,30.37785599,69.34797211
130,30.37796960,69.34784744
131,30.37803859,69.34791263
132,30.37798443,69.34763397
133,30.37801071,69.34767746
134,30.37800838,69.34743582
135,30.37791520,69.34750042
136,30.37805477,69.34730819
137,30.37796247,69.34718749
138,30.37796042,69.34700714
139,30.37792993,69.34696299
140,30.37798121,69.34679800
141,30.37790942,69.34673966
142,30.37803512,69.34659609
143,30.37804264,69.34653427
144,30.37795772,69.34658851
145,30.37805143,69.34639319
146,30.37788586,69.34640515
147,30.37805788,69.34625974
148,30.37804244,69.34613772
149,30.37800871,69.34597709
150,30.37799350,69.34595932
151,30.37807523,69.34590726
