sequence_no,KF_lat,KF_long
72,29.8643265,77.8921127
73,29.8643284,77.8921204
74,29.8643303,77.8921432
75,29.8643303,77.8921432
76,29.8643284,77.8921432
77,29.8643265,77.8921356
78,29.8643246,77.8921356
79,29.8643227,77.8921356
80,29.8643227,77.8921356
81,29.8643208,77.8921356
82,29.8643208,77.8921356
83,29.8643208,77.8921356
84,29.8643188,77.8921356
85,29.8643188,77.8921356
87,29.8643188,77.8921127
88,29.8643188,77.892128
89,29.8643169,77.892128
90,29.864315,77.892128
91,29.864315,77.892128
92,29.864315,77.892128
93,29.864315,77.892128
94,29.864315,77.892128
95,29.8643131,77.892128
96,29.8643131,77.892128
97,29.864315,77.892128
98,29.864315,77.892128
99,29.864315,77.892128
100,29.8643169,77.892128
101,29.8643169,77.892128
102,29.8643169,77.892128
103,29.8643169,77.892128
104,29.8643169,77.892128
105,29.8643188,77.892128
106,29.8643188,77.892128
107,29.8643188,77.8921204
108,29.8643188,77.8921204
109,29.8643188,77.8921204
110,29.8643208,77.8921204
111,29.8643208,77.8921204
112,29.8643208,77.8921204
113,29.8643227,77.8920975
114,29.8643246,77.8921051
115,29.8643265,77.8921051
116,29.8643284,77.8920975
117,29.8643322,77.8920822
118,29.8643379,77.8920898
119,29.8643398,77.8920898
120,29.8643475,77.8920898
121,29.8643513,77.8920975
122,29.8643513,77.8920975
123,29.8643456,77.8921051
124,29.8643436,77.8921051
125,29.8643436,77.8921051
126,29.8643417,77.8921051
127,29.8643417,77.8921204
128,29.8643417,77.8921127
129,29.8643417,77.8920975
130,29.8643417,77.8921051
131,29.8643417,77.8921051
132,29.8643417,77.8921051
133,29.8643398,77.8921051
134,29.8643379,77.8921051
135,29.864336,77.8921051
136,29.864336,77.8921051
137,29.864336,77.8921051
138,29.864336,77.8921051
139,29.8643341,77.8921051
140,29.864336,77.8921051
141,29.864336,77.8921051
142,29.8643379,77.8921051
143,29.864336,77.8921051
144,29.8643341,77.8921051
145,29.8643341,77.8921051
146,29.8643322,77.8921051
147,29.8643303,77.8921051
148,29.8643284,77.8921051
149,29.8643303,77.8921204
150,29.8643322,77.8921204
151,29.8643284,77.892128
152,29.8643265,77.892128
153,29.8643284,77.8921356
154,29.8643303,77.8921356
155,29.8643303,77.8921432
156,29.8643303,77.8921432
157,29.8643284,77.8921661
158,29.8643265,77.8921661
159,29.8643284,77.8921967
160,29.8643303,77.8921967
161,29.8643379,77.8922043
162,29.8643456,77.8922043
163,29.8643608,77.8922195
164,29.8643723,77.8922195
165,29.8643875,77.8922272
166,29.864399,77.8922272
167,29.8644161,77.8922501
168,29.8644276,77.8922501
169,29.8644485,77.8922424
170,29.8644638,77.8922424
171,29.8644886,77.8922501
172,29.864502,77.8922501
173,29.8645248,77.8922577
174,29.8645363,77.8922501
175,29.8645554,77.8922501
176,29.8645668,77.8922501
177,29.864584,77.8922653
178,29.8645935,77.8922653
179,29.8646183,77.8922653
180,29.8646317,77.8922653
181,29.8646526,77.8922653
182,29.864666,77.8922653
183,29.864687,77.8922729
184,29.8647003,77.8922729
185,29.8647232,77.8922729
186,29.8647385,77.8922729
187,29.8647594,77.8922577
188,29.8647747,77.8922577
189,29.8647976,77.8922424
190,29.864809,77.8922501
191,29.8648281,77.8922501
192,29.8648357,77.8922501
193,29.8648624,77.8922577
194,29.8648796,77.8922501
195,29.8649101,77.8922653
196,29.8649292,77.8922653
197,29.8649597,77.8922577
198,29.8649769,77.8922577
199,29.8649979,77.8922501
200,29.8650131,77.8922577
201,29.8650379,77.8922501
202,29.865057,77.8922501
203,29.8650837,77.8922272
204,29.865099,77.8922272
205,29.8651142,77.8922272
206,29.8651218,77.8922272
207,29.8651409,77.8922272
208,29.8651562,77.8922272
209,29.865181,77.8922195
210,29.8651981,77.8922195
211,29.8652191,77.8922119
212,29.8652344,77.8922119
213,29.865263,77.8922043
214,29.8652725,77.8922043
215,29.8652992,77.8921814
216,29.8653011,77.892189
217,29.8653221,77.8921661
218,29.8653316,77.8921661
219,29.8653488,77.8921585
220,29.8653584,77.8921585
221,29.8653793,77.8921509
222,29.8653965,77.8921509
223,29.8654308,77.8921509
224,29.8654499,77.8921509
225,29.8654823,77.8921585
226,29.8654861,77.8921585
227,29.8655243,77.8921814
228,29.8655243,77.8921814
229,29.865551,77.892189
230,29.8655453,77.892189
231,29.8655663,77.8922195
232,29.8655643,77.8922195
233,29.8655682,77.8922501
234,29.8655663,77.8922424
235,29.8655643,77.8922806
236,29.8655624,77.8922806
237,29.8655586,77.8923187
238,29.8655567,77.8923111
239,29.8655548,77.8923492
240,29.865551,77.8923492
241,29.865551,77.8923874
242,29.865551,77.8923874
243,29.8655567,77.8924179
244,29.8655624,77.8924179
245,29.8655663,77.8924561
246,29.8655701,77.8924484
247,29.8655701,77.8924713
248,29.865572,77.8924713
249,29.8655701,77.8925095
250,29.8655682,77.8925018
251,29.8655682,77.8925247
252,29.8655682,77.8925247
253,29.8655682,77.8925629
254,29.8655682,77.8925552
255,29.8655701,77.8926086
256,29.865572,77.8926086
257,29.865572,77.8926544
258,29.8655701,77.8926544
259,29.865572,77.8927078
261,29.865572,77.8927307
262,29.865572,77.892746
263,29.865572,77.8927917
