sequence_no,KF_lat,KF_long
72,29.900990833333335,78.04868570000001
73,29.864321400000005,77.89208223333333
74,29.864321399999998,77.89210766666667
75,29.864324566666667,77.89212543333333
76,29.864327733333337,77.89213819999999
77,29.86433286666667,77.89215343333333
78,29.864333433333332,77.89216866666668
79,29.864335999999998,77.8921865
80,29.864338533333335,77.89219666666666
81,29.864340433333336,77.89219920000001
82,29.864342333333337,77.89220683333333
83,29.86434296666667,77.89221189999999
84,29.864342333333337,77.89221443333334
85,29.864342333333337,77.89221696666667
86,29.864340433333336,77.8922221
87,29.8643398,77.89222463333333
88,29.8643398,77.89221696666667
89,29.8643398,77.89221696666667
90,29.864336633333334,77.89221696666667
91,29.864335999999998,77.8922195
92,29.864336633333334,77.89222463333333
93,29.864335999999998,77.89222463333333
94,29.864335999999998,77.89222463333333
95,29.864334099999997,77.8922272
96,29.864334099999997,77.8922272
97,29.864332199999996,77.8922272
98,29.864332199999996,77.8922272
99,29.864332199999996,77.8922272
100,29.864334099999997,77.8922272
101,29.864334099999997,77.89223226666667
102,29.864334099999997,77.89223226666667
103,29.864334099999997,77.8922348
104,29.864332199999996,77.8922348
105,29.864332199999996,77.8922348
106,29.864334099999997,77.8922348
107,29.864334099999997,77.8922348
108,29.864332199999996,77.8922272
109,29.864332199999996,77.8922272
110,29.864332199999996,77.8922272
111,29.864334099999997,77.8922272
112,29.864332199999996,77.8922272
113,29.864332199999996,77.8922272
114,29.864332199999996,77.8922043
115,29.864330299999995,77.8922119
116,29.8643246,77.8922119
117,29.864318799999996,77.8922119
118,29.864318799999996,77.892189
119,29.864315,77.892189
120,29.8643246,77.892189
121,29.8643379,77.892189
122,29.864347499999997,77.8921967
123,29.8643532,77.892189
124,29.8643532,77.8922043
125,29.8643551,77.8922043
126,29.864357,77.8922043
127,29.8643589,77.8922043
128,29.8643608,77.8922119
129,29.8643627,77.8922119
130,29.8643646,77.8922043
131,29.8643646,77.8922043
132,29.8643646,77.8922043
133,29.8643627,77.8922043
134,29.8643608,77.8922043
135,29.8643589,77.8922043
136,29.8643589,77.8922043
137,29.8643589,77.8922043
138,29.8643589,77.8922043
139,29.8643589,77.8922043
140,29.8643589,77.8922043
141,29.8643589,77.8922043
142,29.8643589,77.8922043
143,29.8643589,77.8922043
144,29.8643513,77.8922043
145,29.864345599999996,77.8922043
146,29.8643398,77.8922043
147,29.8643265,77.8921967
148,29.8643131,77.892189
149,29.8643017,77.8921814
150,29.8642998,77.892189
151,29.8642979,77.892189
152,29.8642941,77.8921967
153,29.8642979,77.892189
154,29.8643055,77.8922119
155,29.864316899999995,77.8922043
156,29.864330299999995,77.8922195
157,29.864345599999996,77.8922119
158,29.8643551,77.8922501
159,29.8643589,77.8922348
160,29.8643665,77.8922729
161,29.8643665,77.8922577
162,29.8643799,77.8922882
163,29.864387500000003,77.8922806
164,29.8644085,77.8923035
165,29.8644161,77.8922958
166,29.864439,77.8923111
167,29.864448499999998,77.8923035
168,29.8644695,77.892334
169,29.8644753,77.892334
170,29.8645039,77.892334
171,29.864513400000003,77.892334
172,29.864542,77.892334
173,29.8645496,77.8923264
174,29.8645782,77.8923416
175,29.864585899999998,77.892334
176,29.8646126,77.892334
177,29.8646145,77.892334
178,29.864639300000004,77.8923569
179,29.8646469,77.8923492
180,29.8646736,77.8923492
181,29.8646832,77.8923416
182,29.8647079,77.8923416
183,29.8647194,77.8923416
184,29.8647461,77.8923569
185,29.864751800000004,77.8923569
186,29.8647804,77.8923569
187,29.8647842,77.8923569
188,29.8648129,77.8923416
189,29.8648148,77.8923416
190,29.8648453,77.8923187
191,29.8648491,77.8923187
192,29.864877700000005,77.8923187
193,29.864893,77.8923264
194,29.864932999999997,77.8923416
195,29.864942599999996,77.892334
196,29.8649807,77.8923569
197,29.864984500000002,77.8923492
198,29.8650246,77.892334
199,29.8650341,77.892334
200,29.8650665,77.8923264
201,29.8650684,77.892334
202,29.8651047,77.8923187
203,29.8651085,77.8923264
204,29.865139,77.8923035
205,29.8651371,77.8923111
206,29.865165699999995,77.8923111
207,29.865169499999997,77.8923111
208,29.865202,77.8923187
209,29.8652039,77.8923187
210,29.865234400000002,77.8923111
211,29.8652325,77.8923111
212,29.8652649,77.8922958
213,29.8652649,77.8923035
214,29.8652992,77.8922882
215,29.8652992,77.8922882
216,29.8653278,77.8922577
217,29.8653259,77.8922653
218,29.8653564,77.8922424
219,29.8653564,77.8922501
220,29.8653927,77.8922348
221,29.8654003,77.8922424
222,29.8654404,77.8922348
