sequence_no,KF_lat,KF_long
72,29.9011008,78.0510559
73,29.864322033333334,77.89209496666666
74,29.864322033333334,77.89211526666666
75,29.8643252,77.89214833333334
76,29.864329,77.89219920000001
77,29.8643335,77.89224496666667
78,29.8643373,77.8922755
79,29.864339866666665,77.89230343333334
80,29.864342399999998,77.89231616666666
81,29.86434493333333,77.89232633333334
82,29.8643462,77.89234163333333
83,29.86434746666667,77.89234926666667
84,29.864346866666665,77.89235939999999
85,29.864347499999997,77.8923645
86,29.864346233333332,77.89236703333334
87,29.864346233333332,77.8923696
88,29.864344900000003,77.8923696
89,29.864344900000003,77.89236703333334
90,29.864343,77.89236196666667
91,29.864342333333337,77.89235943333334
92,29.864342333333337,77.89235943333334
93,29.8643417,77.8923569
94,29.864340433333336,77.8923569
95,29.864338533333335,77.8923569
96,29.864336633333334,77.8923569
97,29.864335999999998,77.8923569
98,29.864334099999997,77.8923569
99,29.864334099999997,77.8923569
100,29.864334099999997,77.89236196666667
101,29.864334099999997,77.8923645
102,29.864334099999997,77.8923645
103,29.864334099999997,77.8923645
104,29.864332199999996,77.8923645
105,29.864332199999996,77.8923721
106,29.864334099999997,77.8923721
107,29.864334099999997,77.8923721
108,29.864332199999996,77.8923721
109,29.864332199999996,77.8923721
110,29.864332199999996,77.8923721
111,29.864334099999997,77.8923645
112,29.864334099999997,77.8923645
113,29.864332199999996,77.8923645
114,29.864332199999996,77.8923569
115,29.864330299999995,77.8923492
116,29.8643246,77.8923416
117,29.864318799999996,77.8923416
118,29.864316899999995,77.8923264
119,29.8643131,77.8923187
120,29.864318799999996,77.8923111
121,29.864332199999996,77.8923111
122,29.8643436,77.8923035
123,29.8643513,77.8923035
124,29.8643513,77.8923035
125,29.8643551,77.8923111
126,29.864357,77.8923187
127,29.8643608,77.8923187
128,29.8643627,77.8923264
129,29.8643665,77.892334
130,29.8643684,77.892334
131,29.8643684,77.8923416
132,29.8643703,77.8923416
133,29.8643703,77.8923416
134,29.8643684,77.892334
135,29.8643665,77.892334
136,29.8643646,77.892334
137,29.8643646,77.892334
138,29.8643627,77.892334
139,29.8643627,77.892334
140,29.8643627,77.892334
141,29.8643608,77.892334
142,29.8643627,77.892334
143,29.8643608,77.892334
144,29.8643551,77.8923264
145,29.8643494,77.8923264
146,29.8643398,77.8923264
147,29.8643284,77.8923111
148,29.8643112,77.8923035
149,29.8642998,77.8922882
150,29.8642941,77.8922729
151,29.8642883,77.8922729
152,29.8642845,77.8922653
153,29.8642864,77.8922577
154,29.8642941,77.8922653
155,29.8643093,77.8922729
156,29.8643265,77.8922806
157,29.8643436,77.8922882
158,29.864357,77.8923035
159,29.8643665,77.8923187
160,29.8643742,77.8923416
161,29.8643799,77.8923569
162,29.864391300000005,77.8923721
163,29.864399000000002,77.8923798
164,29.8644161,77.892395
165,29.8644257,77.8924026
166,29.864442799999996,77.8924103
167,29.864456199999996,77.8924179
168,29.8644753,77.8924332
169,29.8644886,77.8924484
170,29.864513400000003,77.8924561
171,29.864528700000005,77.8924637
172,29.8645535,77.8924637
173,29.864566799999995,77.8924637
174,29.8645916,77.8924561
175,29.8646049,77.8924561
176,29.864624000000003,77.8924484
177,29.8646336,77.8924484
178,29.8646507,77.8924561
179,29.8646603,77.8924561
180,29.864681199999996,77.8924561
181,29.8646908,77.8924484
182,29.864709899999998,77.8924408
183,29.8647232,77.8924408
184,29.864748000000002,77.8924484
185,29.864763300000003,77.8924484
186,29.8647881,77.8924561
187,29.864803299999995,77.8924561
188,29.8648262,77.8924561
189,29.8648396,77.8924561
190,29.864862400000003,77.8924484
191,29.864872000000002,77.8924408
192,29.864893,77.8924255
193,29.8649063,77.8924255
194,29.8649387,77.8924332
195,29.8649597,77.8924408
196,29.864990200000005,77.8924484
197,29.8650093,77.8924484
198,29.8650379,77.8924484
199,29.865055099999996,77.8924408
200,29.8650799,77.8924408
201,29.865097000000002,77.8924332
202,29.8651218,77.8924332
203,29.865139,77.8924332
204,29.86516,77.8924255
205,29.865171399999998,77.8924179
206,29.8651886,77.8924179
207,29.8652,77.8924179
208,29.8652191,77.8924255
209,29.8652325,77.8924332
210,29.8652534,77.8924332
211,29.8652649,77.8924332
212,29.8652859,77.8924255
213,29.865297299999998,77.8924255
214,29.8653183,77.8924179
215,29.8653316,77.8924103
216,29.865348800000003,77.892395
217,29.865360300000003,77.8923798
218,29.8653774,77.8923645
219,29.865387,77.8923569
220,29.865407899999997,77.8923416
221,29.865421299999998,77.892334
222,29.8654499,77.892334
223,29.865470900000002,77.8923416
224,29.8654995,77.8923416
225,29.8655148,77.8923416
226,29.8655396,77.8923492
227,29.8655548,77.8923492
228,29.8655777,77.8923569
229,29.865591,77.8923721
230,29.8656101,77.892395
231,29.8656197,77.8924103
232,29.8656292,77.8924332
233,29.8656311,77.8924408
234,29.8656292,77.8924561
235,29.8656216,77.8924484
236,29.8656178,77.8924561
237,29.8656158,77.8924637
238,29.8656139,77.8924866
239,29.8656139,77.8925018
240,29.8656139,77.8925247
241,29.8656139,77.89254
242,29.865612,77.8925629
243,29.8656082,77.8925705
244,29.8656101,77.8925934
245,29.865612,77.8926086
246,29.8656158,77.8926315
247,29.8656197,77.8926468
248,29.8656216,77.8926697
249,29.8656216,77.8926849
250,29.8656197,77.8927078
251,29.8656158,77.8927155
252,29.865612,77.8927383
253,29.8656082,77.892746
254,29.8656063,77.8927689
255,29.8656063,77.8927841
256,29.8656101,77.8928146
257,29.8656139,77.8928299
258,29.8656158,77.8928604
259,29.8656158,77.8928757
260,29.8656178,77.8928986
261,29.8656178,77.8929138
262,29.8656139,77.8929367
263,29.865612,77.892952
264,29.8656101,77.8929749
265,29.8656063,77.8929825
266,29.8656044,77.8930054
267,29.865602500000005,77.8930206
268,29.865600600000004,77.8930511
269,29.865600600000004,77.8930664
270,29.865596800000002,77.8930969
271,29.865593,77.8931198
272,29.865587200000004,77.8931427
273,29.865583400000002,77.893158
274,29.865585300000003,77.8931885
