sequence_no,KF_lat,KF_long
1,30.37261245,69.34193021
2,30.37265407,69.34201624
3,30.37260965,69.34214489
4,30.37263087,69.34224535
5,30.37261265,69.34233030
6,30.37261037,69.34244798
7,30.37262797,69.34254867
8,30.37260931,69.34259520
9,30.37263108,69.34271969
10,30.37262187,69.34284782
11,30.37257520,69.34292246
12,30.37261577,69.34304140
13,30.37266743,69.34319091
14,30.37260754,69.34322059
15,30.37259259,69.34334859
16,30.37262528,69.34346339
17,30.37261728,69.34353674
18,30.37260987,69.34364405
19,30.37259749,69.34376148
20,30.37260790,69.34382335
21,30.37267128,69.34403630
22,30.37259510,69.34405438
23,30.37265549,69.34416559
24,30.37258483,69.34425681
25,30.37259237,69.34429775
26,30.37261437,69.34445873
27,30.37264163,69.34452738
28,30.37259197,69.34466786
29,30.37261478,69.34475480
30,30.37259794,69.34485295
31,30.37260949,69.34491507
32,30.37258450,69.34502055
33,30.37260470,69.34512819
34,30.37257573,69.34524226
35,30.37262685,69.34534139
36,30.37265705,69.34547101
37,30.37259153,69.34552455
38,30.37263168,69.34564366
39,30.37260706,69.34577561
40,30.37261167,69.34582322
41,30.37262644,69.34599238
42,30.37263355,69.34602705
43,30.37260504,69.34614379
44,30.37258503,69.34621368
45,30.37263501,69.34634906
46,30.37263896,69.34645108
47,30.37259531,69.34653848
48,30.37261469,69.34657400
49,30.37261012,69.34672759
50,30.37263106,69.34680008
51,30.37259761,69.34691153
52,30.37262307,69.34696016
53,30.37260559,69.34710093
54,30.37259041,69.34723378
55,30.37263461,69.34732027
56,30.37263965,69.34742575
57,30.37257782,69.34755411
58,30.37264453,69.34766090
59,30.37264796,69.34774094
60,30.37263513,69.34784498
61,30.37259639,69.34794748
62,30.37262936,69.34797898
63,30.37263047,69.34804830
64,30.37262685,69.34818204
65,30.37268849,69.34823282
66,30.37278867,69.34824405
67,30.37285856,69.34816709
68,30.37296457,69.34824467
69,30.37306744,69.34825953
70,30.37317304,69.34818769
71,30.37323393,69.34819817
72,30.37331822,69.34820407
73,30.37336336,69.34822854
74,30.37352735,69.34820722
75,30.37354232,69.34820259
76,30.37364821,69.34818422
77,30.37376841,69.34815918
78,30.37387008,69.34822799
79,30.37386955,69.34819510
80,30.37396628,69.34818918
81,30.37408329,69.34818905
82,30.37411232,69.34817948
83,30.37425229,69.34821359
84,30.37436075,69.34819553
85,30.37438874,69.34818144
86,30.37452578,69.34823909
87,30.37455448,69.34824012
88,30.37468740,69.34823577
89,30.37473762,69.34819146
90,30.37486740,69.34821432
91,30.37491851,69.34825455
92,30.37499744,69.34821316
93,30.37504014,69.34821928
94,30.37518976,69.34823470
95,30.37525283,69.34824612
96,30.37537961,69.34818249
97,30.37549846,69.34822569
98,30.37553381,69.34820050
99,30.37556624,69.34823347
100,30.37571963,69.34822124
101,30.37579239,69.34821724
102,30.37583615,69.34820567
103,30.37595575,69.34820987
104,30.37610167,69.34821255
105,30.37614231,69.34821509
106,30.37619344,69.34819737
107,30.37626874,69.34822166
108,30.37636405,69.34825468
