sequence_no,KF_lat,KF_long
1,30.37260223,69.34192975
2,30.37262495,69.34211960
3,30.37260441,69.34217324
4,30.37266146,69.34223826
5,30.37261657,69.34236119
6,30.37258846,69.34243883
7,30.37267741,69.34252567
8,30.37260852,69.34266985
9,30.37262968,69.34278114
10,30.37268015,69.34289146
11,30.37263884,69.34297214
12,30.37258674,69.34319316
13,30.37266369,69.34320891
14,30.37259455,69.34324770
15,30.37259916,69.34337161
16,30.37255234,69.34345234
17,30.37261833,69.34356474
18,30.37265730,69.34357060
19,30.37265356,69.34378738
20,30.37268205,69.34384294
21,30.37266495,69.34395891
22,30.37257694,69.34404349
23,30.37255913,69.34409239
24,30.37258869,69.34427779
25,30.37261723,69.34437710
26,30.37261734,69.34446771
27,30.37263542,69.34453176
28,30.37260327,69.34464961
29,30.37266653,69.34472576
30,30.37263205,69.34482848
31,30.37263943,69.34487903
32,30.37254919,69.34503291
33,30.37261983,69.34514008
34,30.37264741,69.34525356
35,30.37254386,69.34534030
36,30.37261859,69.34550440
37,30.37265898,69.34549028
38,30.37264010,69.34559239
39,30.37257168,69.34571428
40,30.37258886,69.34578432
41,30.37269646,69.34590055
42,30.37259620,69.34602274
43,30.37260216,69.34615695
44,30.37254180,69.34616471
45,30.37268783,69.34634653
46,30.37258976,69.34644267
47,30.37262813,69.34649510
48,30.37260678,69.34665968
49,30.37261545,69.34674573
50,30.37260467,69.34684098
51,30.37257144,69.34685409
52,30.37261335,69.34701568
53,30.37261055,69.34716750
54,30.37266379,69.34725663
55,30.37259691,69.34733156
56,30.37260152,69.34740106
57,30.37255172,69.34757041
58,30.37266008,69.34759696
59,30.37259574,69.34769894
60,30.37263849,69.34775422
61,30.37261844,69.34786489
62,30.37258522,69.34809226
63,30.37260724,69.34813020
64,30.37260485,69.34813349
65,30.37266045,69.34826077
66,30.37276468,69.34818724
67,30.37289715,69.34818767
68,30.37295772,69.34824535
69,30.37306592,69.34821672
70,30.37313089,69.34827237
71,30.37315290,69.34814365
72,30.37328483,69.34823098
73,30.37338769,69.34816541
74,30.37341917,69.34829084
75,30.37357553,69.34820344
76,30.37365948,69.34829952
77,30.37373201,69.34815737
78,30.37382706,69.34822318
79,30.37393596,69.34821602
80,30.37401418,69.34828217
81,30.37407271,69.34819489
82,30.37412969,69.34832472
83,30.37420024,69.34822432
84,30.37431202,69.34815803
85,30.37445692,69.34820169
86,30.37454579,69.34818547
87,30.37460848,69.34824464
88,30.37472066,69.34816974
89,30.37468893,69.34823297
90,30.37491052,69.34823047
91,30.37488310,69.34819204
92,30.37497740,69.34819583
93,30.37510376,69.34818687
94,30.37515102,69.34823648
95,30.37535037,69.34822534
96,30.37537599,69.34823854
97,30.37538954,69.34817290
98,30.37558210,69.34824237
99,30.37561056,69.34823875
100,30.37574138,69.34814645
101,30.37578866,69.34826340
102,30.37592004,69.34816319
103,30.37599769,69.34826589
104,30.37603836,69.34825607
105,30.37607849,69.34818234
106,30.37624592,69.34815699
107,30.37626689,69.34822170
108,30.37635159,69.34824992
109,30.37646719,69.34821383
110,30.37655085,69.34818793
111,30.37667618,69.34823198
112,30.37673553,69.34819732
113,30.37678650,69.34821497
114,30.37695372,69.34819950
115,30.37695858,69.34823331
116,30.37712756,69.34822914
117,30.37713317,69.34817008
118,30.37720799,69.34820027
119,30.37733441,69.34819040
120,30.37735731,69.34828611
121,30.37749048,69.34810244
122,30.37757587,69.34819616
123,30.37767718,69.34817876
124,30.37778933,69.34821490
125,30.37784791,69.34820527
126,30.37795132,69.34817223
127,30.37806372,69.34824725
128,30.37801371,69.34807698
129,30.37798900,69.34801972
130,30.37803135,69.34798563
131,30.37797542,69.34782399
132,30.37799742,69.34771615
133,30.37807024,69.34761123
134,30.37800298,69.34755697
135,30.37797957,69.34732374
136,30.37800282,69.34734868
137,30.37800054,69.34719050
138,30.37799046,69.34714121
139,30.37804998,69.34703559
140,30.37803421,69.34689198
141,30.37803417,69.34688735
142,30.37801089,69.34675879
143,30.37800430,69.34658246
144,30.37801174,69.34650623
145,30.37802128,69.34640402
146,30.37805900,69.34627768
147,30.37798381,69.34618340
148,30.37798097,69.34610052
149,30.37800840,69.34608540
150,30.37805064,69.34587165
151,30.37803897,69.34574274
152,30.37798142,69.34575813
153,30.37800804,69.34559191
154,30.37808667,69.34556547
155,30.37798815,69.34534846
156,30.37792194,69.34539324
157,30.37801711,69.34511149
158,30.37806440,69.34502443
159,30.37804067,69.34499393
160,30.37799272,69.34494151
161,30.37801105,69.34479744
162,30.37799612,69.34470933
163,30.37802990,69.34453981
164,30.37809319,69.34442748
165,30.37801854,69.34442144
166,30.37803149,69.34432326
167,30.37800750,69.34423866
168,30.37809409,69.34413102
169,30.37799618,69.34399877
170,30.37798041,69.34378647
171,30.37801243,69.34378340
172,30.37798081,69.34372347
173,30.37801775,69.34349636
174,30.37805580,69.34339856
175,30.37804913,69.34336102
176,30.37808212,69.34330262
177,30.37796694,69.34320889
178,30.37800419,69.34300876
179,30.37797955,69.34299107
180,30.37803495,69.34282761
181,30.37805066,69.34272079
182,30.37801928,69.34271729
183,30.37799205,69.34261342
184,30.37800386,69.34251115
185,30.37805801,69.34242546
186,30.37799376,69.34224478
187,30.37795617,69.34214330
188,30.37797480,69.34217420
189,30.37801814,69.34197911
190,30.37796508,69.34197873
191,30.37780699,69.34192529
192,30.37777215,69.34196856
193,30.37767890,69.34199355
194,30.37759104,69.34200102
195,30.37742950,69.34195847
196,30.37735486,69.34195416
197,30.37734995,69.34199900
198,30.37724138,69.34197634
199,30.37712273,69.34197178
200,30.37708630,69.34193712
201,30.37697771,69.34194208
202,30.37682962,69.34201270
203,30.37674591,69.34198999
204,30.37669447,69.34195135
205,30.37665048,69.34196151
206,30.37654893,69.34195964
207,30.37653546,69.34198933
208,30.37632979,69.34196453
209,30.37627985,69.34197539
210,30.37621747,69.34194835
211,30.37608947,69.34199380
212,30.37597583,69.34198891
213,30.37591254,69.34194441
214,30.37581042,69.34196054
215,30.37579309,69.34199223
216,30.37558808,69.34194759
217,30.37557917,69.34200665
218,30.37547455,69.34181283
219,30.37540678,69.34194792
220,30.37528828,69.34192788
221,30.37522659,69.34200179
222,30.37506988,69.34195460
223,30.37505571,69.34195477
224,30.37499291,69.34194316
225,30.37487291,69.34193440
226,30.37476442,69.34196826
227,30.37469613,69.34202012
228,30.37461775,69.34199804
229,30.37452216,69.34193892
230,30.37450564,69.34199811
231,30.37432608,69.34197699
232,30.37424261,69.34204128
233,30.37411493,69.34195950
234,30.37411046,69.34200418
235,30.37398737,69.34191643
236,30.37393372,69.34191982
237,30.37384561,69.34201696
238,30.37373037,69.34197012
239,30.37367154,69.34193852
240,30.37359427,69.34200677
241,30.37345158,69.34199413
242,30.37337415,69.34194861
243,30.37329841,69.34193458
244,30.37319089,69.34201256
245,30.37306029,69.34196806
246,30.37305180,69.34191375
247,30.37294227,69.34196025
248,30.37286476,69.34188406
249,30.37271741,69.34193326
250,30.37273363,69.34193254
