sequence_no,KF_lat,KF_long
1,30.37262404,69.34197829
2,30.37263398,69.34204266
3,30.37262447,69.34214434
4,30.37262805,69.34226292
5,30.37264207,69.34235410
6,30.37260659,69.34243603
7,30.37263871,69.34255933
8,30.37258724,69.34264764
9,30.37262067,69.34275279
10,30.37259007,69.34283357
11,30.37260414,69.34298326
12,30.37262102,69.34305484
13,30.37259710,69.34314655
14,30.37262266,69.34327276
15,30.37260194,69.34334270
16,30.37260864,69.34346209
17,30.37260526,69.34352608
18,30.37261580,69.34363882
19,30.37259927,69.34375681
20,30.37262284,69.34383626
21,30.37262352,69.34390940
22,30.37263209,69.34402140
23,30.37264068,69.34412900
24,30.37259581,69.34424207
25,30.37259825,69.34437477
26,30.37259340,69.34441786
27,30.37258650,69.34453146
28,30.37262876,69.34466264
29,30.37260764,69.34475263
30,30.37263056,69.34482008
31,30.37263717,69.34491021
32,30.37257234,69.34504241
33,30.37262730,69.34510915
34,30.37260999,69.34525556
35,30.37263461,69.34529939
36,30.37265108,69.34542836
37,30.37262301,69.34550286
38,30.37260511,69.34562419
39,30.37261514,69.34573576
40,30.37263672,69.34581738
41,30.37259872,69.34595374
42,30.37260367,69.34606434
43,30.37265455,69.34615152
44,30.37262637,69.34621402
45,30.37263721,69.34635673
46,30.37260801,69.34644600
47,30.37258301,69.34651934
48,30.37260952,69.34664356
49,30.37260071,69.34673058
50,30.37261975,69.34683683
51,30.37260161,69.34690904
52,30.37259359,69.34702136
53,30.37258863,69.34712151
54,30.37260344,69.34719911
55,30.37262364,69.34730227
56,30.37258481,69.34745423
57,30.37262262,69.34750981
58,30.37258612,69.34761630
59,30.37263497,69.34770527
60,30.37261937,69.34782477
61,30.37261248,69.34790236
62,30.37260104,69.34800806
63,30.37261219,69.34808018
64,30.37262910,69.34825658
65,30.37268893,69.34822599
66,30.37278366,69.34820761
67,30.37289348,69.34820995
68,30.37297464,69.34822046
69,30.37306038,69.34818823
70,30.37307811,69.34820301
71,30.37323754,69.34821633
72,30.37331446,69.34821424
73,30.37338712,69.34820317
74,30.37349378,69.34824591
75,30.37354305,69.34821759
76,30.37362866,69.34819675
77,30.37373060,69.34824648
78,30.37381602,69.34822041
79,30.37390839,69.34824083
80,30.37396801,69.34820488
81,30.37411762,69.34821547
82,30.37414786,69.34819354
83,30.37422301,69.34820358
84,30.37430611,69.34818439
85,30.37441651,69.34822584
86,30.37451058,69.34823479
87,30.37459937,69.34822350
88,30.37466974,69.34821605
89,30.37476930,69.34824115
90,30.37487872,69.34823082
91,30.37492495,69.34822592
92,30.37501478,69.34822093
93,30.37509334,69.34822285
94,30.37519215,69.34821233
95,30.37527231,69.34822832
96,30.37534777,69.34819385
97,30.37545965,69.34822788
98,30.37553747,69.34820308
99,30.37560054,69.34820590
100,30.37569809,69.34819447
101,30.37578483,69.34820791
102,30.37586352,69.34823147
103,30.37596706,69.34820919
104,30.37602241,69.34819560
105,30.37609520,69.34823924
106,30.37621582,69.34818088
107,30.37630127,69.34823443
108,30.37638329,69.34823286
109,30.37645626,69.34818299
110,30.37653315,69.34823450
111,30.37662927,69.34822506
112,30.37670808,69.34821146
113,30.37682649,69.34818948
114,30.37690869,69.34821354
115,30.37699102,69.34820887
116,30.37704585,69.34823002
117,30.37716762,69.34821331
118,30.37721864,69.34823135
119,30.37734917,69.34822148
120,30.37741545,69.34822121
121,30.37749685,69.34823998
122,30.37759438,69.34819115
123,30.37764762,69.34817673
124,30.37775280,69.34819248
125,30.37782813,69.34824654
126,30.37791547,69.34822301
127,30.37799615,69.34821332
128,30.37801614,69.34808764
129,30.37799207,69.34798570
130,30.37802245,69.34790846
131,30.37800734,69.34780652
132,30.37801305,69.34773204
133,30.37800321,69.34761434
134,30.37802592,69.34749675
135,30.37799158,69.34740734
136,30.37800733,69.34730678
137,30.37798444,69.34718694
138,30.37798085,69.34710648
139,30.37800263,69.34700802
140,30.37800471,69.34686682
141,30.37799237,69.34678789
142,30.37802076,69.34668915
143,30.37797117,69.34658763
144,30.37796642,69.34650567
145,30.37799745,69.34639243
146,30.37804771,69.34626790
147,30.37803606,69.34620452
148,30.37799013,69.34609668
149,30.37799169,69.34602288
150,30.37798484,69.34589246
151,30.37798882,69.34578181
152,30.37798313,69.34566732
153,30.37801089,69.34559398
154,30.37798322,69.34549310
155,30.37801174,69.34538778
156,30.37801381,69.34528116
157,30.37802932,69.34520718
158,30.37800819,69.34511422
159,30.37798097,69.34499820
160,30.37801110,69.34490323
161,30.37802571,69.34476903
162,30.37801546,69.34467438
163,30.37798530,69.34458818
164,30.37795883,69.34446490
165,30.37801914,69.34438899
166,30.37803692,69.34426842
167,30.37801612,69.34419315
168,30.37799309,69.34408274
169,30.37802217,69.34398702
170,30.37800484,69.34390030
171,30.37802897,69.34379063
172,30.37799280,69.34368016
173,30.37801409,69.34357668
174,30.37798652,69.34348956
175,30.37802109,69.34334546
176,30.37801164,69.34324249
177,30.37804308,69.34317139
178,30.37802633,69.34302871
179,30.37801531,69.34297415
180,30.37795993,69.34287611
181,30.37800643,69.34271537
182,30.37801032,69.34265854
183,30.37800467,69.34257456
184,30.37801033,69.34245609
185,30.37798117,69.34238604
186,30.37802942,69.34225529
187,30.37800935,69.34214755
188,30.37799357,69.34202583
189,30.37800961,69.34194640
190,30.37792659,69.34196658
191,30.37780960,69.34194941
192,30.37773243,69.34197130
193,30.37767588,69.34196840
194,30.37758478,69.34198252
195,30.37749782,69.34194384
196,30.37743444,69.34196781
197,30.37733833,69.34191795
198,30.37720459,69.34197841
199,30.37712998,69.34198612
200,30.37704456,69.34196574
201,30.37696568,69.34194422
202,30.37689362,69.34194280
203,30.37676326,69.34200633
204,30.37669690,69.34198316
205,30.37663124,69.34195930
206,30.37649368,69.34198027
207,30.37646954,69.34195671
208,30.37632424,69.34194666
209,30.37630552,69.34197474
210,30.37617247,69.34195290
211,30.37607218,69.34196210
212,30.37600592,69.34197658
213,30.37592539,69.34195615
214,30.37581028,69.34193263
215,30.37575876,69.34198434
216,30.37566202,69.34197405
217,30.37555318,69.34195597
218,30.37550970,69.34197338
219,30.37539700,69.34198114
220,30.37534819,69.34193736
221,30.37523319,69.34196917
222,30.37515687,69.34202075
223,30.37505946,69.34196374
224,30.37495746,69.34194594
225,30.37486824,69.34196876
226,30.37478513,69.34195962
227,30.37469498,69.34190923
228,30.37461972,69.34197967
229,30.37454542,69.34199777
230,30.37445261,69.34192511
231,30.37435650,69.34197423
232,30.37428704,69.34196539
233,30.37417301,69.34200489
234,30.37410929,69.34194235
235,30.37401644,69.34193368
236,30.37391262,69.34193659
237,30.37381167,69.34196588
238,30.37374633,69.34195257
239,30.37364002,69.34198797
240,30.37356265,69.34194088
241,30.37349654,69.34197192
242,30.37339103,69.34195376
243,30.37328740,69.34197530
244,30.37321150,69.34197246
245,30.37313710,69.34195327
246,30.37305233,69.34195078
247,30.37298189,69.34193282
248,30.37284926,69.34197740
249,30.37279270,69.34192547
250,30.37270372,69.34195471
