sequence_no,KF_lat,KF_long
599,29.8681679,77.8997421
600,29.868166,77.8997498
601,29.8681622,77.8997574
602,29.868145,77.8997803
603,29.8681145,77.8998032
604,29.868063,77.899826
605,29.8680153,77.8998413
606,29.8679562,77.8998566
607,29.8679161,77.8998642
608,29.8678665,77.8998642
609,29.8678341,77.8998718
610,29.8677921,77.8998718
611,29.8677635,77.8998795
612,29.8677235,77.8998871
613,29.8676949,77.8999023
614,29.8676548,77.8999176
615,29.8676262,77.8999252
616,29.8675861,77.8999405
617,29.8675575,77.8999557
618,29.8675175,77.899971
619,29.8674908,77.8999863
620,29.8674564,77.8999939
621,29.8674335,77.8999939
622,29.8673992,77.9000015
623,29.8673763,77.9000015
624,29.867342,77.9000092
625,29.8673191,77.9000168
626,29.8672886,77.9000244
627,29.8672676,77.9000244
628,29.8672333,77.900032
629,29.8672104,77.9000397
630,29.8671741,77.9000473
631,29.8671513,77.9000549
632,29.867115,77.9000702
633,29.8670883,77.9000778
634,29.8670464,77.9001007
635,29.8670177,77.900116
636,29.8669739,77.9001312
637,29.8669415,77.9001389
638,29.8668938,77.9001541
639,29.8668594,77.9001694
640,29.8668098,77.900177
641,29.8667755,77.900177
642,29.866724,77.900177
643,29.8666859,77.900177
644,29.8666325,77.9001923
645,29.8665943,77.9001923
646,29.866539,77.9002151
647,29.8664989,77.9002228
648,29.8664494,77.9002457
649,29.8664131,77.9002686
650,29.8663673,77.9002914
651,29.8663368,77.9003143
652,29.8662872,77.9003448
653,29.8662548,77.9003677
654,29.8662033,77.9003906
655,29.866169,77.9004059
656,29.8661194,77.9004211
657,29.8660831,77.9004364
658,29.8660278,77.9004517
659,29.8659878,77.9004669
660,29.8659344,77.9004898
661,29.8658962,77.9004974
662,29.8658447,77.9005203
663,29.8658066,77.900528
664,29.865757,77.9005508
665,29.8657227,77.9005661
666,29.8656788,77.900589
667,29.8656483,77.9006042
668,29.8656101,77.9006271
669,29.8655834,77.90065
670,29.8655491,77.9006653
671,29.8655243,77.9006805
672,29.8654919,77.9007034
673,29.865469,77.9007187
674,29.8654385,77.9007339
675,29.8654175,77.9007492
676,29.865387,77.9007645
