sequence_no,KF_lat,KF_long
600,29.8681011,77.8997574
601,29.8648415,77.8972092
602,29.8675919,77.8996506
603,29.8679256,77.8998413
604,29.8679676,77.8997955
605,29.8679485,77.8997879
606,29.8678703,77.8998032
607,29.8678608,77.8998032
608,29.8677979,77.8998108
609,29.8677883,77.8998184
610,29.8677311,77.8998184
611,29.8677235,77.899826
612,29.8676682,77.8998489
613,29.8676567,77.8998566
614,29.8675995,77.8998642
615,29.867588,77.8998718
616,29.8675308,77.8998947
617,29.8675175,77.8999023
618,29.8645229,77.8972702
619,29.867384,77.8999252
620,29.8674126,77.89991
621,29.8674011,77.8999176
622,29.8673496,77.8999252
623,29.8673439,77.8999252
624,29.8672943,77.8999405
625,29.8672886,77.8999405
626,29.8672447,77.8999557
627,29.867239,77.8999557
628,29.8671837,77.8999634
629,29.8671761,77.899971
630,29.8671246,77.899971
631,29.8671169,77.8999786
632,29.8670616,77.9000092
633,29.8670521,77.9000168
634,29.866991,77.9000397
635,29.8669796,77.9000473
636,29.8669109,77.9000549
637,29.8668976,77.9000626
638,29.866827,77.9000702
639,29.8668118,77.9000778
640,29.8667412,77.9000702
641,29.8667259,77.9000778
642,29.8641186,77.9000854
643,29.8665562,77.9000854
644,29.8665485,77.9001236
645,29.8666,77.9001312
646,29.8664742,77.9001617
647,29.8664494,77.9001617
648,29.8663788,77.9002075
649,29.8639736,77.8974152
650,29.8662605,77.9002533
651,29.866293,77.9002533
652,29.8662205,77.9002914
653,29.866209,77.9002991
654,29.8638573,77.9003296
655,29.8660812,77.9003296
656,29.8660526,77.9003601
657,29.8660412,77.9003601
658,29.8659477,77.900383
659,29.8659382,77.9003906
660,29.8658562,77.9004211
661,29.8658466,77.9004288
662,29.8657684,77.9004593
663,29.8657589,77.9004593
664,29.8656864,77.9005127
665,29.8656769,77.9005203
666,29.8656178,77.9005508
667,29.8665943,77.897583
668,29.8656387,77.900589
669,29.8655472,77.9005814
670,29.8654995,77.9006119
671,29.8654938,77.9006119
672,29.8654461,77.9006424
673,29.8654404,77.9006424
674,29.8653927,77.9006729
675,29.865387,77.9006729
676,29.8653431,77.9007034
677,29.8653374,77.9007111
678,29.8652992,77.9007339
679,29.8652935,77.9007416
680,29.8652611,77.9007721
681,29.8652554,77.9007797
682,29.8652248,77.900795
683,29.8652191,77.9008026
684,29.8651867,77.9008102
685,29.8651791,77.9008179
686,29.8651485,77.9008179
687,29.8651409,77.9008255
688,29.865099,77.9008102
689,29.8650894,77.9008179
690,29.8650646,77.9007721
691,29.8650608,77.9007797
692,29.8650246,77.9007263
693,29.8650188,77.9007339
694,29.8649826,77.9006653
695,29.8649769,77.9006729
696,29.8632565,77.9005966
697,29.8649025,77.9005966
698,29.8648777,77.9005203
699,29.8648643,77.900528
700,29.8648186,77.9004593
701,29.8648129,77.9004593
702,29.864769,77.9003754
703,29.8647633,77.9003754
704,29.8647251,77.9003067
705,29.8647194,77.9003143
706,29.8646927,77.9002686
707,29.8646889,77.9002762
708,29.8646622,77.9002457
709,29.8646584,77.9002533
710,29.8646374,77.9002304
711,29.8646336,77.9002304
712,29.8630962,77.8974075
713,29.8645973,77.9001999
714,29.8645954,77.9001541
715,29.8645763,77.9001541
716,29.8645382,77.9001007
717,29.8645325,77.9001007
718,29.8644962,77.9000397
719,29.8644924,77.9000397
720,29.8644485,77.899971
721,29.8644428,77.899971
722,29.864399,77.8999023
723,29.8643932,77.8999023
724,29.8643475,77.899826
725,29.8643398,77.8998337
726,29.8642921,77.8997498
727,29.8642845,77.8997574
728,29.8642426,77.8996506
729,29.8642368,77.8996582
730,29.864193,77.899559
731,29.8641872,77.8995667
732,29.864151,77.8994522
733,29.8641472,77.8994522
734,29.8641243,77.8993378
735,29.8641224,77.8993378
736,29.864109,77.8992157
737,29.864109,77.8992157
738,29.8640957,77.8991089
739,29.8640957,77.8991013
740,29.8640842,77.8990021
741,29.8640842,77.8989944
742,29.8640766,77.89888
743,29.8640785,77.8988724
744,29.8640709,77.8987656
745,29.8640747,77.8987579
746,29.8640652,77.8986511
747,29.8640671,77.8986435
748,29.8640594,77.8985443
749,29.8640614,77.8985367
750,29.8640537,77.8984375
751,29.8640575,77.8984299
752,29.8640518,77.8983383
753,29.8640556,77.8983307
754,29.8640499,77.8982468
755,29.8640537,77.8982391
756,29.864048,77.8981552
757,29.8640518,77.8981476
