sequence_no,KF_lat,KF_long
599,29.8681679,77.8997421
600,29.8681679,77.8997421
601,29.8680763,77.8997574
602,29.8680725,77.8997803
603,29.868009600000004,77.8998032
604,29.8679905,77.899826
605,29.8679295,77.8998413
606,29.8679047,77.8998413
607,29.8678455,77.8998566
608,29.8678207,77.8998566
609,29.8677692,77.8998566
610,29.867744400000003,77.8998566
611,29.867700599999996,77.8998642
612,29.8676796,77.8998718
613,29.8676376,77.8999023
614,29.8676147,77.89991
615,29.8675709,77.8999252
616,29.867548,77.8999252
617,29.8675022,77.8999557
618,29.8674774,77.8999557
619,29.8674355,77.8999863
620,29.867412600000005,77.8999863
621,29.8673782,77.8999786
622,29.8673611,77.8999786
623,29.867324799999995,77.8999863
624,29.8673058,77.8999863
625,29.867271400000003,77.9000015
626,29.8672523,77.9000015
627,29.8672199,77.9000244
628,29.8672028,77.9000168
629,29.8671646,77.900032
630,29.867143600000002,77.9000244
631,29.867105499999997,77.9000397
632,29.8670845,77.900032
633,29.8670406,77.9000778
634,29.8670197,77.9000778
635,29.8669682,77.900116
636,29.8669434,77.9001083
637,29.8668804,77.9001312
638,29.866853699999997,77.9001236
639,29.8667908,77.9001541
640,29.8667641,77.9001465
641,29.8667011,77.9001465
642,29.866672500000004,77.9001389
643,29.8666096,77.9001617
644,29.866581,77.9001541
645,29.8665161,77.9001923
646,29.8664875,77.9001923
647,29.8664227,77.9002304
648,29.866394,77.9002304
649,29.8663406,77.9002762
650,29.866313900000005,77.9002762
651,29.8662643,77.9003296
652,29.8662415,77.900322
653,29.866186100000004,77.9003754
654,29.8661594,77.9003677
655,29.8660965,77.9004059
656,29.8660679,77.9004059
657,29.8660126,77.9004288
658,29.8659878,77.9004211
659,29.8659096,77.9004593
660,29.8658829,77.9004593
661,29.865818,77.9005051
662,29.8657894,77.9004974
663,29.8657303,77.900528
664,29.8657017,77.9005203
665,29.8656502,77.9005737
666,29.8656254,77.9005814
667,29.8655815,77.9006195
668,29.8655624,77.9006119
669,29.8655224,77.90065
670,29.8655033,77.9006424
671,29.8654671,77.9006805
672,29.8654518,77.9006805
673,29.865417499999996,77.9007187
674,29.865402199999995,77.9007111
675,29.8653717,77.9007416
676,29.8653545,77.9007416
677,29.8653259,77.9007721
678,29.865308799999998,77.9007645
679,29.8652821,77.9008026
680,29.8652668,77.900795
681,29.865242,77.9008408
682,29.8652287,77.9008408
683,29.8652058,77.9008636
