sequence_no,KF_lat,KF_long
599,29.8648739,77.897049
600,29.8674793,77.8991852
601,29.8677273,77.8994064
602,29.8679447,77.8996201
603,29.8681145,77.8998108
604,29.8681774,77.8999329
605,29.8682194,77.9000168
606,29.8681793,77.9000549
607,29.8681202,77.9000549
608,29.8675861,77.9003601
609,29.8682423,77.9005814
610,29.8686428,77.9006348
611,29.8688183,77.9005966
612,29.8688221,77.9005356
613,29.8687229,77.9004364
614,29.8685455,77.9003372
615,29.8683529,77.900238
616,29.8684158,77.9001541
617,29.8683815,77.9000778
618,29.8682613,77.900032
619,29.8681202,77.9000015
620,29.8679543,77.8999786
621,29.8678036,77.8999634
622,29.8676529,77.8999557
623,29.8675327,77.8999557
624,29.867424,77.8999634
625,29.8673458,77.899971
626,29.8672714,77.8999863
627,29.8672237,77.8999939
628,29.8671722,77.9000092
629,29.8671398,77.9000168
630,29.8671017,77.900032
631,29.8670788,77.9000397
632,29.8670444,77.9000549
633,29.8670235,77.9000702
634,29.8669872,77.9000931
635,29.8669643,77.9001083
636,29.8669205,77.9001236
637,29.86689,77.9001312
638,29.8668404,77.9001465
639,29.866806,77.9001617
640,29.8667545,77.9001617
641,29.8667183,77.9001617
642,29.866663,77.9001694
643,29.8666267,77.9001694
644,29.8665695,77.900177
645,29.8665333,77.9001846
646,29.8664761,77.9001999
647,29.8664398,77.9002151
648,29.8663864,77.900238
649,29.8663521,77.9002609
650,29.8663044,77.9002914
651,29.8662739,77.9003067
652,29.8662262,77.9003372
654,29.8661423,77.900383
655,29.8661098,77.9003983
656,29.8660583,77.9004135
657,29.8660259,77.9004288
658,29.8659706,77.900444
659,29.8659325,77.9004593
660,29.8658752,77.9004822
661,29.8658352,77.9004898
662,29.8657799,77.9005127
663,29.8657436,77.9005203
664,29.865694,77.9005432
665,29.8656616,77.9005585
666,29.8656178,77.9005814
667,29.8660851,77.9005966
668,29.8661156,77.9006195
669,29.866087,77.9006348
670,29.8660049,77.9006577
671,29.8659096,77.9006729
672,29.8657951,77.9006882
673,29.865694,77.9007034
674,29.8655891,77.9007263
675,29.865509,77.9007416
676,29.8654289,77.9007568
677,29.8653717,77.9007721
678,29.8653164,77.9007874
679,29.8652802,77.900795
680,29.8652458,77.9008179
681,29.8651276,77.9005432
682,29.8654346,77.9010544
683,29.865612,77.9013596
684,29.8656769,77.9015198
685,29.865675,77.9015579
686,29.8656197,77.9015274
687,29.8655434,77.9014587
688,29.8654442,77.9013596
689,29.8653507,77.9012604
690,29.8652592,77.9011536
691,29.8651867,77.901062
692,29.8651161,77.9009705
693,29.8650627,77.9008942
694,29.8650112,77.9008179
695,29.8649769,77.9007645
696,29.8649349,77.9007034
697,29.8649082,77.9006653
698,29.8648701,77.9006119
699,29.8648472,77.9005814
700,29.8648129,77.9005356
701,29.8647919,77.9004974
702,29.8647614,77.900444
703,29.8647423,77.9004059
704,29.8647175,77.9003601
705,29.8647041,77.9003296
706,29.864687,77.9002991
707,29.8646755,77.9002762
708,29.8646603,77.9002609
709,29.8646488,77.9002533
710,29.8646336,77.9002457
711,29.864624,77.9002457
712,29.8646126,77.9002457
713,29.8646049,77.9002533
714,29.8645897,77.9002457
715,29.8645782,77.900238
716,29.8645573,77.9002151
717,29.864542,77.9001923
718,29.8645172,77.9001617
719,29.8644981,77.9001312
720,29.8644695,77.9000931
721,29.8644505,77.9000626
722,29.8647614,77.9000092
723,29.8649273,77.8999786
724,29.8649693,77.8999329
725,29.8649426,77.8999023
726,29.8648548,77.8998489
727,29.8647518,77.8998184
728,29.8646317,77.899765
729,29.8645229,77.8997192
730,29.8644123,77.8996658
731,29.8643246,77.8996277
732,29.8642426,77.899559
733,29.8641815,77.8995209
734,29.8641319,77.8994522
735,29.8641014,77.8994064
736,29.8640766,77.8993301
737,29.8640652,77.8992767
738,29.8640575,77.8992004
739,29.8640556,77.8991547
740,29.8640537,77.8990784
741,29.8640537,77.8990402
742,29.8640556,77.8989639
743,29.8640575,77.8989182
744,29.8640594,77.8988495
745,29.8640614,77.8988037
746,29.8640614,77.8987274
747,29.8640633,77.8986816
748,29.8640614,77.898613
749,29.8640614,77.8985672
750,29.8640594,77.8985062
751,29.8640594,77.898468
752,29.8640594,77.8983994
753,29.8640575,77.924675
754,29.8640575,77.9127045
755,29.8640575,77.9039307
756,29.8640556,77.8978806
757,29.8640556,77.8940887
758,29.8640537,77.8920059
759,29.8640537,77.8911972
760,29.8640499,77.891243
761,29.864048,77.8918381
762,29.8640461,77.8927002
763,29.8640442,77.8936844
764,29.8640423,77.8946304
765,29.8640404,77.8955002
766,29.8640423,77.8962097
767,29.8640442,77.8967819
768,29.8640461,77.8971939
769,29.8640499,77.8974838
770,29.8640518,77.8976517
771,29.8640556,77.8977432
772,29.8646202,77.8977127
773,29.8647423,77.8976822
774,29.8647022,77.8976212
775,29.8646221,77.8975601
776,29.8645229,77.8974838
777,29.8644218,77.8974228
778,29.8643284,77.8973541
779,29.8642464,77.8973007
780,29.8641796,77.8972473
781,29.86413,77.8972092
782,29.8640919,77.8971634
783,29.8640652,77.8971405
784,29.8640499,77.8971024
785,29.8640423,77.8970795
786,29.8640404,77.897049
787,29.8640423,77.8970337
788,29.8640461,77.8970108
789,29.8640518,77.8969955
790,29.8640575,77.8969727
791,29.8640633,77.8969574
792,29.8640709,77.8969193
793,29.8640747,77.896904
794,29.8640785,77.8968658
795,29.8640823,77.8968353
796,29.8640842,77.8967972
797,29.8640862,77.8967667
798,29.86409,77.8967209
799,29.8640919,77.8966827
800,29.8640957,77.8966446
801,29.8640976,77.8966141
802,29.863924,77.8968201
803,29.8640919,77.8971176
804,29.8642006,77.8972321
805,29.8642597,77.8972473
806,29.8642826,77.8971634
807,29.8642826,77.897049
808,29.8642673,77.8968964
809,29.8642426,77.896759
810,29.8642178,77.8966141
811,29.8641911,77.8964996
812,29.8641663,77.8963852
813,29.8641453,77.8963013
814,29.8641281,77.896225
815,29.8641148,77.8961639
816,29.8641071,77.8961105
817,29.8640995,77.8960724
818,29.8640957,77.8960266
819,29.8640919,77.8959961
820,29.86409,77.8959579
821,29.86409,77.8959274
822,29.86409,77.8958817
823,29.8640919,77.8958588
824,29.8640919,77.8958206
825,29.8640919,77.8957977
826,29.8644829,77.8957672
827,29.8646965,77.8957443
828,29.8647804,77.8957138
829,29.8647747,77.8956985
830,29.8647118,77.895668
831,29.8646202,77.8956528
832,29.8645115,77.8956299
833,29.8644066,77.8956146
834,29.8643074,77.8955917
835,29.8642216,77.8955765
836,29.8641472,77.8955688
837,29.8640919,77.8955536
838,29.8640366,77.895546
839,29.8640003,77.895546
840,29.8639641,77.8955383
841,29.8639393,77.8955307
842,29.8639164,77.8955307
843,29.8638992,77.8955307
844,29.8638744,77.8955307
845,29.863863,77.8955307
846,29.8638401,77.8955231
847,29.8638248,77.8955231
848,29.8637981,77.8955231
849,29.863781,77.8955231
850,29.8644409,77.895462
851,29.8642273,77.8955307
852,29.8640327,77.8955688
853,29.8638802,77.8955841
854,29.8637505,77.8955917
855,29.8636608,77.8955841
856,29.8635864,77.8955765
857,29.8635387,77.8955688
858,29.8635006,77.8955536
859,29.8634815,77.8955383
860,29.8634624,77.8955307
861,29.8634548,77.8955154
862,29.8634434,77.8955078
863,29.8634415,77.8955002
864,29.8634319,77.8954926
865,29.86343,77.8954926
866,29.8634205,77.8954926
867,29.8634167,77.8954926
868,29.8634071,77.8954926
869,29.8634052,77.8955002
870,29.8634014,77.8955078
871,29.8633995,77.8955154
872,29.8633957,77.8955231
873,29.8633957,77.8955231
874,29.86339,77.8955307
875,29.8633881,77.8955307
876,29.8633823,77.8955307
877,29.8633804,77.8955307
878,29.8633785,77.8955383
879,29.8633785,77.8955383
880,29.863369,77.8955307
881,29.8633614,77.8955307
882,29.8633518,77.8955383
883,29.8633442,77.8955383
884,29.8633404,77.8955536
885,29.8633385,77.8955612
886,29.8633366,77.8955765
887,29.8633366,77.8955841
888,29.8633366,77.8955917
889,29.8633385,77.8955917
890,29.8633385,77.8955994
891,29.8633404,77.895607
892,29.8633366,77.8956223
893,29.8633347,77.8956299
894,29.8633327,77.8956528
895,29.8633327,77.895668
896,29.8633366,77.8956909
897,29.8633404,77.8956985
898,29.8633461,77.8957214
899,29.8633499,77.8957367
900,29.8633537,77.895752
901,29.8633575,77.8957672
902,29.8633595,77.8957825
903,29.8632259,77.8962784
904,29.8632011,77.8971786
905,29.8633995,77.897583
906,29.8635197,77.8976974
907,29.8635597,77.8975143
908,29.8635902,77.8973236
909,29.8635864,77.8970566
910,29.863575,77.8968048
911,29.8635521,77.8965683
912,29.8635349,77.8963699
913,29.8635159,77.8962097
914,29.8635063,77.89608
915,29.8634968,77.8959961
916,29.8634949,77.8959351
917,29.8634911,77.8958969
918,29.863493,77.8958817
919,29.863493,77.895874
920,29.8634968,77.8958817
921,29.8634949,77.8958893
922,29.8634911,77.8958969
923,29.8634892,77.8959122
924,29.8634872,77.8959274
925,29.8634872,77.8959351
926,29.8634872,77.8959351
927,29.8634911,77.8959427
928,29.8634949,77.8959427
929,29.8635006,77.8959427
930,29.8635044,77.8959351
931,29.8635082,77.8959198
932,29.8635159,77.8959122
933,29.8635197,77.8959045
934,29.8635235,77.8959198
935,29.8635235,77.8959274
936,29.8635216,77.8959427
937,29.8635197,77.8959503
938,29.8637753,77.8959579
939,29.8640976,77.8959579
940,29.8642502,77.8959579
941,29.8642807,77.8959656
942,29.8642368,77.8959579
943,29.864151,77.8959579
944,29.8640442,77.8959579
945,29.8639336,77.8959579
946,29.8638306,77.8959579
947,29.8637409,77.8959579
948,29.8635006,77.8963394
949,29.8635788,77.8966827
950,29.8636246,77.896843
951,29.8636475,77.8968735
952,29.8636532,77.8968124
953,29.8636475,77.8967056
954,29.8636341,77.8965759
955,29.8636189,77.8964386
956,29.8636017,77.8963165
957,29.8634491,77.896553
