sequence_no,KF_lat,KF_long
599,29.8681679,77.8997421
600,29.8681679,77.8997421
601,29.868166,77.8997574
602,29.8681583,77.8997803
603,29.8681316,77.8998032
604,29.8680897,77.8998337
605,29.8680191,77.8998566
606,29.86796,77.8998718
607,29.8678818,77.8998947
608,29.8678303,77.8998947
609,29.8677673,77.8999023
610,29.8677292,77.8998947
611,29.8676815,77.8999023
612,29.8676548,77.8999023
613,29.8676147,77.8999176
614,29.8675938,77.8999329
615,29.8675556,77.8999481
616,29.8675346,77.8999557
617,29.8674946,77.8999786
618,29.8674717,77.8999863
619,29.8674335,77.9000092
620,29.8674107,77.9000244
621,29.8673763,77.9000244
622,29.8673573,77.900032
623,29.8673229,77.900032
624,29.8673038,77.900032
625,29.8672695,77.9000397
626,29.8672504,77.9000473
627,29.8672199,77.9000549
628,29.8672009,77.9000626
629,29.8671665,77.9000702
630,29.8671455,77.9000702
631,29.8671074,77.9000778
632,29.8670845,77.9000854
633,29.8670444,77.9001083
634,29.8670216,77.9001236
635,29.8669777,77.9001465
636,29.8669491,77.9001617
637,29.8668957,77.900177
638,29.8668633,77.9001846
639,29.866806,77.9001999
640,29.8667698,77.9002151
641,29.8667107,77.9002228
642,29.8666744,77.9002228
643,29.8666153,77.9002228
644,29.866581,77.9002228
645,29.8665199,77.9002304
646,29.8664856,77.900238
647,29.8664265,77.9002533
648,29.8663921,77.9002609
649,29.8663387,77.9002914
650,29.8663082,77.9003143
651,29.8662605,77.9003448
652,29.8662319,77.9003601
653,29.8661842,77.9003983
654,29.8661556,77.9004135
655,29.8661003,77.9004364
656,29.8660698,77.9004517
657,29.8660164,77.9004669
658,29.8659878,77.9004745
659,29.8659267,77.9004898
660,29.8658905,77.9005051
661,29.8658295,77.900528
662,29.8657932,77.9005432
663,29.8657341,77.9005585
664,29.8656998,77.9005661
665,29.8656483,77.9005966
666,29.8656197,77.9006119
667,29.8655777,77.9006348
668,29.8655529,77.90065
669,29.8655167,77.9006729
670,29.8654957,77.9006882
671,29.8654633,77.9007111
672,29.8654442,77.9007263
673,29.8654137,77.9007492
674,29.8653984,77.9007568
675,29.8653698,77.9007797
676,29.8653545,77.9007874
677,29.8653259,77.9008102
678,29.8653088,77.9008179
679,29.8652821,77.9008331
680,29.8652668,77.9008408
681,29.865242,77.9008636
682,29.8652287,77.9008789
683,29.8652058,77.9008942
684,29.8651943,77.9009018
685,29.8651714,77.9009094
